죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,특별경제범죄,특경법(재산국외도피),1,5,4,4,5,1,-,-,3,2,2,1
총계,특별경제범죄,기타경제범죄,754,595,1474,860,967,1332,815,1733,1198,2060,1899,1399
총계,마약범죄,소계,4160,4268,4598,4825,6411,7329,7501,6513,8038,9186,8088,10331
총계,마약범죄,아편·몰핀에관한죄,-,-,-,-,-,-,1,1,-,1,-,-
총계,마약범죄,마약류관리에관한법률(대마),550,525,501,589,672,637,765,625,1098,1339,1408,1530
총계,마약범죄,마약류관리에관한법률(마약),623,463,542,547,1045,1154,1241,1208,1404,1852,1306,2020
총계,마약범죄,마약류관리에관한법률(향정),2986,3280,3547,3623,4686,5465,5484,4625,5433,5966,5359,6736
총계,마약범죄,마약류불법거래방지에관한특례법,-,-,4,65,8,69,8,54,102,24,8,29
총계,마약범죄,특가법(마약),-,-,2,-,-,1,1,-,-,3,-,4
총계,마약범죄,특가법(향정),-,-,2,1,-,3,1,-,1,1,7,12
총계,마약범죄,향정신성의약품관리법,1,-,-,-,-,-,-,-,-,-,-,-
총계,보건범죄,소계,14083,16800,20383,14657,14602,14662,12561,11033,12570,14595,16936,17749
총계,보건범죄,음용수에관한죄,20,20,14,16,21,29,17,17,15,23,27,30
총계,보건범죄,공중위생관리법,522,1548,571,644,888,1317,1148,1137,1378,1631,1106,1088
총계,보건범죄,식품위생법,8203,9484,13363,7218,7172,7847,6066,4805,5503,5161,3898,4115
총계,보건범죄,의료법,2338,2250,1966,2154,2439,2158,2663,2986,3358,2937,2370,1980
총계,보건범죄,약사법,1579,2031,1978,2579,2085,1261,873,624,740,953,703,779
총계,보건범죄,감염병예방법,40,1,2,-,2,1,-,1,-,2469,7439,8827
총계,보건범죄,보건범죄특조법(부정식품),1,4,159,10,6,4,1,-,3,1,1,-
총계,보건범죄,보건범죄특조법(부정의료업자),355,311,264,201,210,180,202,131,150,106,153,106
