죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
특별법범,공중위생법,소계,미성년,범죄자[명],명,6,10,6,14,11,5,,,,,,,,,,,
특별법범,공중위생법,소계,14세미만,범죄자[명],명,1,3,2,1,1,,,,,,,,,,,,
특별법범,공중위생법,소계,성인,범죄자[명],명,2636,3919,3814,4242,6321,3276,242,113,93,97,,,,,,,
특별법범,공중위생법,소계,미상,범죄자[명],명,12,1,2,2,9,11,,,,2,,,,,,,
특별법범,공직선거 및 부정방지법,소계,미성년,범죄자[명],명,,,,,,2,,,,,,,,,,,
특별법범,공직선거 및 부정방지법,소계,성인,범죄자[명],명,,,,,,244,,,,,,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,미성년,범죄자[명],명,,,,5,28,,38,,14,5,36,2,,,,,
특별법범,공직선거 및 선거부정방지법,소계,14세미만,범죄자[명],명,,,,1,,,2,,1,,,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,성인,범죄자[명],명,,,,112,2943,,2328,141,5467,559,2950,276,144,2,1,,2
특별법범,공직선거 및 선거부정방지법,소계,미상,범죄자[명],명,,,,1,2,,11,2,26,,115,3,7,,,,
특별법범,공직선거법,소계,미성년,범죄자[명],명,,,,,,,,,,,,,7,27,5,,3
특별법범,공직선거법,소계,14세미만,범죄자[명],명,,,,,,,,,,,,,,5,,,
특별법범,공직선거법,소계,성인,범죄자[명],명,,,,,,,,,,,,,3877,780,3408,256,3033
특별법범,공직선거법,소계,미상,범죄자[명],명,,,,,,,,,,,,,58,7,48,20,108
특별법범,관세법,소계,성인,범죄자[명],명,16,16,23,2,19,13,8,2,10,5,15,16,43,50,13,27,17
특별법범,관세법,소계,미상,범죄자[명],명,,,,,1,,,,,,1,,2,,,2,5
특별법범,교통사고처리특례법,소계,미성년,범죄자[명],명,,,,,,,,,,,5302,4689,5172,6001,5029,4806,4277
특별법범,교통사고처리특례법,소계,14세미만,범죄자[명],명,,,,,,,,,,,33,77,61,71,54,35,39
특별법범,교통사고처리특례법,소계,성인,범죄자[명],명,,,,,,,,,,,209862,193099,196384,194557,189936,203202,200847
특별법범,교통사고처리특례법,소계,미상,범죄자[명],명,,,,,,,,,,,2583,657,95,77,64,27,625
특별법범,교통사고특례법,소계,미성년,범죄자[명],명,8178,8240,8193,7946,6825,8357,9447,8381,6641,5806,,,,,,,
특별법범,교통사고특례법,소계,14세미만,범죄자[명],명,187,183,192,134,98,116,86,74,77,80,,,,,,,
특별법범,교통사고특례법,소계,성인,범죄자[명],명,245780,230216,241395,224117,208132,235769,251331,231162,208850,209632,,,,,,,
특별법범,교통사고특례법,소계,미상,범죄자[명],명,1188,118,165,138,123,368,272,413,265,484,,,,,,,
특별법범,구국가보안법,소계,미성년,범죄자[명],명,4,2,17,6,8,5,,,1,1,,,,,,,
특별법범,구국가보안법,소계,14세미만,범죄자[명],명,1,,,,,,,,,,,,,,,,
특별법범,구국가보안법,소계,성인,범죄자[명],명,96,44,78,88,78,55,37,17,9,1,,,,,,,
특별법범,국가보안법,소계,미성년,범죄자[명],명,11,4,6,11,8,4,2,,,,1,,,,,,
특별법범,국가보안법,소계,14세미만,범죄자[명],명,,,1,,,,,,,,,,,,,,
특별법범,국가보안법,소계,성인,범죄자[명],명,323,206,369,529,378,226,102,49,33,33,86,37,39,48,33,37,74
특별법범,국가보안법,소계,미상,범죄자[명],명,,4,,,2,2,,1,2,,1,2,,2,,,
특별법범,국민건강보험법,소계,성인,범죄자[명],명,,,,,,,,,,,7,11,8,29,29,59,31
특별법범,국민건강보험법,소계,미상,범죄자[명],명,,,,,,,,,,,2,2,,1,6,3,2
특별법범,국민연금법,소계,성인,범죄자[명],명,,,,,,,,,,,166,77,96,37,39,27,37
특별법범,국민연금법,소계,미상,범죄자[명],명,,,,,,,,,,,17,9,1,,1,1,1
특별법범,국토의계획 및 이용에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,,,,3,1,,
특별법범,국토의계획 및 이용에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,1810,2971,2190,2013,1705,1285,1236
특별법범,국토의계획 및 이용에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,50,28,14,27,22,16,25
특별법범,국회의원 선거법,소계,성인,범죄자[명],명,1,,1,,,,,,,,,,,,,,
특별법범,근로기준법,소계,미성년,범죄자[명],명,,,,,,,1,1,1,,,,6,1,,1,
특별법범,근로기준법,소계,성인,범죄자[명],명,7,23,30,36,36,196,93,95,69,33,24,35,35,35,39,47,39
특별법범,근로기준법,소계,미상,범죄자[명],명,,,,,,,,1,,1,4,5,2,,2,4,5
특별법범,낚시어선업법,소계,성인,범죄자[명],명,,,,,,,,,,,294,313,245,210,223,193,202
특별법범,낚시어선업법,소계,미상,범죄자[명],명,,,,,,,,,,,6,2,,,,,1
특별법범,내수면어업법,소계,미성년,범죄자[명],명,,,,,,,,,,,1,,,2,,,1
특별법범,내수면어업법,소계,성인,범죄자[명],명,,,,,,,,,,,260,258,234,233,308,296,126
특별법범,내수면어업법,소계,미상,범죄자[명],명,,,,,,,,,,,5,5,5,,5,10,3
특별법범,노동쟁의조정법,소계,성인,범죄자[명],명,55,10,9,3,,,,,,,,,,,,,
특별법범,노동조합 및 노동관계 조정법,소계,성인,범죄자[명],명,,,,,,,,,,,,60,8,36,7,11,9
특별법범,노동조합 및 노동관계 조정법,소계,미상,범죄자[명],명,,,,,,,,,,,,2,6,1,,,
특별법범,농산물품질관리법,소계,성인,범죄자[명],명,,,,,,,,,,,360,152,69,54,227,200,77
특별법범,농산물품질관리법,소계,미상,범죄자[명],명,,,,,,,,,,,8,3,1,,4,,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,성인,범죄자[명],명,62,5,37,55,80,49,236,133,74,560,107,124,76,44,124,91,109
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,1,,,,,,,4
특별법범,농지법,소계,미성년,범죄자[명],명,,,,,,,,,,,,1,,,,,
특별법범,농지법,소계,성인,범죄자[명],명,,,,,,,,,,,1511,1422,1596,1482,1256,966,865
특별법범,농지법,소계,미상,범죄자[명],명,,,,,,,,,,,72,26,9,6,15,15,15
특별법범,농지의 보전 및 이용에 관한 법률,소계,성인,범죄자[명],명,749,697,202,42,28,7,2,2,,4,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,미상,범죄자[명],명,,1,,1,,,,,,,,,,,,,
특별법범,담배사업법,소계,미성년,범죄자[명],명,,,,,,,,,,,,,1,,,1,1
특별법범,담배사업법,소계,성인,범죄자[명],명,,,,,,,,,,,427,463,1109,741,409,546,242
특별법범,담배사업법,소계,미상,범죄자[명],명,,,,,,,,,,,16,13,11,3,2,,1
특별법범,대기환경보전법,소계,미성년,범죄자[명],명,6,1,1,,1,1,6,2,9,1,2,,2,,,,
특별법범,대기환경보전법,소계,14세미만,범죄자[명],명,5,,1,,1,,2,1,2,,,,,,,,
특별법범,대기환경보전법,소계,성인,범죄자[명],명,1454,1340,1261,1157,1024,1249,3860,3450,3200,2338,2035,1232,1142,1098,676,706,570
특별법범,대기환경보전법,소계,미상,범죄자[명],명,46,40,34,19,19,21,14,18,9,7,104,32,27,12,23,3,33
특별법범,대마관리법,소계,미성년,범죄자[명],명,146,106,49,64,66,32,26,12,14,6,,,,,,,
특별법범,대마관리법,소계,14세미만,범죄자[명],명,1,,,,1,1,2,1,,,,,,,,,
특별법범,대마관리법,소계,성인,범죄자[명],명,835,754,544,600,891,1391,1404,970,1285,1145,,,,,,,
특별법범,대마관리법,소계,미상,범죄자[명],명,10,1,3,,2,1,5,1,3,,,,,,,,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,,,,,,8,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,1208,702,802,4730,7108,16848,3754
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,39,30,19,39,80,263,201
특별법범,대통령 선거법,소계,성인,범죄자[명],명,4,3,,,,,,,,,,,,,,,
특별법범,도로교통법(공동위험행위),소계,미성년,범죄자[명],명,,,,,,,,,,,,,,,237,443,313
특별법범,도로교통법(공동위험행위),소계,성인,범죄자[명],명,,,,,,,,,,,,,,,75,377,72
특별법범,도로교통법(공동위험행위),소계,미상,범죄자[명],명,,,,,,,,,,,,,,,15,21,3
특별법범,도로교통법(교통사고),소계,미성년,범죄자[명],명,14827,21836,30040,36536,33879,31991,28707,24383,18241,11411,1994,3069,2646,3353,2765,969,865
특별법범,도로교통법(교통사고),소계,14세미만,범죄자[명],명,252,224,243,289,197,161,163,170,164,156,12,203,88,69,54,27,63
특별법범,도로교통법(교통사고),소계,성인,범죄자[명],명,212297,244533,279079,392923,438725,365149,324400,350004,351798,291753,43976,66173,55130,54889,47285,23321,20536
특별법범,도로교통법(교통사고),소계,미상,범죄자[명],명,2268,219,409,457,887,1199,756,2796,1623,2397,8437,2189,328,238,84,38,511
특별법범,도로교통법(무면허운전),소계,미성년,범죄자[명],명,,,,,,,,,,,10360,7983,9370,15321,12018,8953,7133
특별법범,도로교통법(무면허운전),소계,14세미만,범죄자[명],명,,,,,,,,,,,27,15,24,63,57,24,14
특별법범,도로교통법(무면허운전),소계,성인,범죄자[명],명,,,,,,,,,,,98962,71230,50598,76219,145760,90686,54228
특별법범,도로교통법(무면허운전),소계,미상,범죄자[명],명,,,,,,,,,,,1347,29,20,20,29,17,29
특별법범,도로교통법(사고후미조치),소계,미성년,범죄자[명],명,,,,,,,,,,,,,,,12,311,309
특별법범,도로교통법(사고후미조치),소계,14세미만,범죄자[명],명,,,,,,,,,,,,,,,,29,51
특별법범,도로교통법(사고후미조치),소계,성인,범죄자[명],명,,,,,,,,,,,,,,,909,15049,20307
특별법범,도로교통법(사고후미조치),소계,미상,범죄자[명],명,,,,,,,,,,,,,,,4,12,842
특별법범,도로교통법(음주운전),소계,미성년,범죄자[명],명,,,,,,,,,,,3177,1702,1343,1629,991,792,591
특별법범,도로교통법(음주운전),소계,14세미만,범죄자[명],명,,,,,,,,,,,33,1,,,2,4,2
특별법범,도로교통법(음주운전),소계,성인,범죄자[명],명,,,,,,,,,,,460986,323774,283990,347377,383605,286886,267428
특별법범,도로교통법(음주운전),소계,미상,범죄자[명],명,,,,,,,,,,,2274,36,13,18,28,8,33
특별법범,도로교통법(음주측정거부),소계,미성년,범죄자[명],명,,,,,,,,,,,8,6,6,6,10,5,1
특별법범,도로교통법(음주측정거부),소계,14세미만,범죄자[명],명,,,,,,,,,,,2,,,,1,,
특별법범,도로교통법(음주측정거부),소계,성인,범죄자[명],명,,,,,,,,,,,6076,4246,3650,3959,4025,3211,3021
특별법범,도로교통법(음주측정거부),소계,미상,범죄자[명],명,,,,,,,,,,,38,,,,,3,2
특별법범,도로법,소계,미성년,범죄자[명],명,132,97,82,76,18,37,116,44,31,45,9,,1,1,1,,1
특별법범,도로법,소계,14세미만,범죄자[명],명,54,12,7,6,2,6,9,4,8,9,5,,,,1,,1
특별법범,도로법,소계,성인,범죄자[명],명,40015,24281,23575,23769,17244,19131,20359,23602,35750,41144,40997,34218,37180,40139,40321,37397,31399
특별법범,도로법,소계,미상,범죄자[명],명,2168,265,480,442,458,499,418,227,322,157,2864,988,1207,1067,1160,863,2062
특별법범,도로운송차량법,소계,성인,범죄자[명],명,197,1,,,,2,,,2,,,,,,,,
특별법범,도로운송차량법,소계,미상,범죄자[명],명,7,,,,,1,,,,,,,,,,,
특별법범,도시가스사업법,소계,성인,범죄자[명],명,33,71,110,81,45,59,26,19,23,59,52,34,23,28,24,14,77
특별법범,도시가스사업법,소계,미상,범죄자[명],명,,,3,1,2,,1,,1,,5,2,,1,,1,1
특별법범,도시계획법,소계,미성년,범죄자[명],명,5,5,3,6,5,3,3,2,1,,,,,,,,
특별법범,도시계획법,소계,14세미만,범죄자[명],명,1,2,,2,4,2,1,,,,,,,,,,
특별법범,도시계획법,소계,성인,범죄자[명],명,1986,2511,2766,2909,2526,2461,2743,1486,1353,488,,1,,,,,
특별법범,도시계획법,소계,미상,범죄자[명],명,20,6,11,11,7,5,3,6,2,2,,,,,,,
특별법범,도시공원및녹지등에관한법률,소계,성인,범죄자[명],명,,,,,,,,,,,,,,160,124,153,93
특별법범,도시공원및녹지등에관한법률,소계,미상,범죄자[명],명,,,,,,,,,,,,,,2,2,3,3
특별법범,도시공원법,소계,성인,범죄자[명],명,,,,,,,,,,,221,250,19,,,,
특별법범,도시공원법,소계,미상,범죄자[명],명,,,,,,,,,,,6,9,1,,,,
특별법범,독물 및 극물에 관한 법률,소계,성인,범죄자[명],명,,,1,,,,,,,,,,,,,,
특별법범,독점규제 및 공정거래에 관한 법률,소계,성인,범죄자[명],명,5,1,3,2,4,10,14,20,5,2,4,14,7,,,,
특별법범,독점규제 및 공정거래에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,,8,4,,,,
특별법범,디자인보호법,소계,성인,범죄자[명],명,,,,,,,,,,,,,,,,,241
특별법범,디자인보호법,소계,미상,범죄자[명],명,,,,,,,,,,,,,,,,,38
특별법범,마약류 관리에 관한 법률(마약),소계,미성년,범죄자[명],명,,,,,,,,,,,1,,,,,2,
특별법범,마약류 관리에 관한 법률(마약),소계,성인,범죄자[명],명,,,,,,,,,,,809,494,653,757,1197,2014,895
특별법범,마약류 관리에 관한 법률(마약),소계,미상,범죄자[명],명,,,,,,,,,,,12,4,5,7,1,2,8
특별법범,마약류관리에 관한법률(대마),소계,미성년,범죄자[명],명,,,,,,,,,,,4,12,9,1,5,12,8
특별법범,마약류관리에 관한법률(대마),소계,성인,범죄자[명],명,,,,,,,,,,,984,727,672,837,750,1239,1279
특별법범,마약류관리에 관한법률(대마),소계,미상,범죄자[명],명,,,,,,,,,,,22,18,8,9,8,4,16
특별법범,마약류관리에 관한법률(향정),소계,미성년,범죄자[명],명,,,,,,,,,,,4,4,15,7,11,15,6
특별법범,마약류관리에 관한법률(향정),소계,성인,범죄자[명],명,,,,,,,,,,,2772,2754,3538,5432,4754,4910,3624
특별법범,마약류관리에 관한법률(향정),소계,미상,범죄자[명],명,,,,,,,,,,,133,77,81,75,50,40,32
특별법범,마약법,소계,미성년,범죄자[명],명,5,12,,2,2,3,2,5,4,2,,,,,,,
특별법범,마약법,소계,14세미만,범죄자[명],명,1,,,2,,,,,,,,,,,,,
특별법범,마약법,소계,성인,범죄자[명],명,693,564,454,420,482,522,911,521,755,824,,,,,,,
특별법범,마약법,소계,미상,범죄자[명],명,,1,,1,,2,1,1,,1,,,,,,,
특별법범,매장 및 묘지등에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,2,,,,,,,,
특별법범,매장 및 묘지등에 관한 법률,소계,성인,범죄자[명],명,155,145,137,160,178,302,219,105,84,15,,,,,,,
특별법범,매장 및 묘지등에 관한 법률,소계,미상,범죄자[명],명,1,,,3,,,,,,,,,,,,,
특별법범,문화재보호법,소계,미성년,범죄자[명],명,,,,,,,1,,,,1,,,,,1,
특별법범,문화재보호법,소계,14세미만,범죄자[명],명,,,,,,,1,,,,,,,,,,
특별법범,문화재보호법,소계,성인,범죄자[명],명,37,37,23,47,61,78,147,96,105,184,210,156,131,103,76,150,131
특별법범,문화재보호법,소계,미상,범죄자[명],명,,,,,1,,1,,,1,7,9,,1,1,4,3
특별법범,물가안정에 관한 법률,소계,성인,범죄자[명],명,36,1,,,21,,,,,1,,,,,,,
특별법범,미성년자보호법,소계,미성년,범죄자[명],명,13,5,11,16,21,10,,,,,,,,,,,
특별법범,미성년자보호법,소계,14세미만,범죄자[명],명,,,,,1,1,,,,,,,,,,,
특별법범,미성년자보호법,소계,성인,범죄자[명],명,448,569,726,866,875,562,4,1,1,,,,,,,,
특별법범,미성년자보호법,소계,미상,범죄자[명],명,2,1,,,,1,,,,,,,,,,,
특별법범,민방위기본법,소계,미성년,범죄자[명],명,1,1,,,,,,,,,,,,,,,
특별법범,민방위기본법,소계,성인,범죄자[명],명,1512,117,2,,,,,,1,,,,,,,,
특별법범,민방위기본법,소계,미상,범죄자[명],명,24,,,,,,,,,,,,,,,,
특별법범,민사소송법,소계,성인,범죄자[명],명,,,,,,,,,,,60,37,38,8,17,13,10
특별법범,민사소송법,소계,미상,범죄자[명],명,,,,,,,,,,,2,,,,,,
특별법범,밀항단속법,소계,미성년,범죄자[명],명,5,2,,,3,,,3,1,1,,,,,,,
특별법범,밀항단속법,소계,14세미만,범죄자[명],명,,,,,1,,,,,,,,,,,,
특별법범,밀항단속법,소계,성인,범죄자[명],명,86,87,68,63,39,47,51,82,98,108,168,154,255,323,270,185,105
특별법범,밀항단속법,소계,미상,범죄자[명],명,,,,,,1,,,,,7,4,6,10,4,2,
특별법범,방문판매등에 관한 법률,소계,미성년,범죄자[명],명,16,,2,2,10,2,1,8,5,,1,,,,,3,
특별법범,방문판매등에 관한 법률,소계,14세미만,범죄자[명],명,16,,,,,1,,,,,,,,,,,
특별법범,방문판매등에 관한 법률,소계,성인,범죄자[명],명,152,80,641,489,1091,474,670,1375,1252,482,555,930,550,674,922,2517,22
특별법범,방문판매등에 관한 법률,소계,미상,범죄자[명],명,2,,3,10,7,1,2,11,2,3,30,42,21,38,16,20,1
특별법범,배타적경제수역의 외국인어업등에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,2,6,5,2,2,,
특별법범,배타적경제수역의 외국인어업등에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,649,816,624,649,555,383,393
특별법범,배타적경제수역의 외국인어업등에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,37,8,43,2,1,,1
특별법범,변호사법,소계,미성년,범죄자[명],명,,,,,1,1,2,,,,,,,,,,
특별법범,변호사법,소계,14세미만,범죄자[명],명,,,,,1,,,,,,,,,,,,
특별법범,변호사법,소계,성인,범죄자[명],명,429,377,405,352,412,524,502,495,435,413,495,602,524,534,581,636,631
특별법범,변호사법,소계,미상,범죄자[명],명,3,,,,,4,3,6,4,5,55,52,29,13,20,13,8
특별법범,병역법,소계,미성년,범죄자[명],명,89,75,75,79,150,155,148,222,275,252,670,440,413,249,,1,
특별법범,병역법,소계,14세미만,범죄자[명],명,16,6,3,4,,,2,8,1,1,1,,,,,,
특별법범,병역법,소계,성인,범죄자[명],명,16739,14157,5555,4613,5663,6292,10193,11468,14915,18035,19258,15756,12262,11829,10362,9407,11021
특별법범,병역법,소계,미상,범죄자[명],명,57,8,2,4,6,31,25,53,65,73,118,28,9,7,6,4,5
특별법범,병역의무특례규제에 관한 법률,소계,성인,범죄자[명],명,3,1,,,,,,1,,,,,,,,,
특별법범,보건범죄특조법(부정식품),소계,성인,범죄자[명],명,27,24,45,27,27,91,72,58,39,48,10,12,5,6,14,92,32
특별법범,보건범죄특조법(부정식품),소계,미상,범죄자[명],명,2,,,,,1,,,,,,,,,,,
특별법범,보건범죄특조법(부정유독물),소계,성인,범죄자[명],명,11,3,2,2,,1,3,2,2,3,3,,,,,,
특별법범,보건범죄특조법(부정의료업자),소계,미성년,범죄자[명],명,,1,,,,1,,,1,2,,3,1,,,1,
특별법범,보건범죄특조법(부정의료업자),소계,14세미만,범죄자[명],명,,,,,,,,,,1,,,,,,,
특별법범,보건범죄특조법(부정의료업자),소계,성인,범죄자[명],명,225,300,202,246,213,596,599,502,359,465,1274,793,472,551,625,912,511
특별법범,보건범죄특조법(부정의료업자),소계,미상,범죄자[명],명,,,,,,5,4,6,,3,17,10,8,9,7,11,4
특별법범,보건범죄특조법(부정의약품),소계,미성년,범죄자[명],명,,,,,,,,,,1,,,,,,,
특별법범,보건범죄특조법(부정의약품),소계,14세미만,범죄자[명],명,,,,,,,,,,1,,,,,,,
특별법범,보건범죄특조법(부정의약품),소계,성인,범죄자[명],명,13,24,24,16,17,44,36,19,24,8,45,58,41,18,146,84,24
특별법범,보건범죄특조법(부정의약품),소계,미상,범죄자[명],명,,,,,,,,,,,,,,,,3,
특별법범,보건범죄특조법(허위정보),소계,미성년,범죄자[명],명,,,,,,1,,,,,,,,,,,
특별법범,보건범죄특조법(허위정보),소계,성인,범죄자[명],명,,,1,1,2,3,1,2,1,5,,,,,,,
특별법범,보안관찰법,소계,성인,범죄자[명],명,,1,1,5,3,1,,4,3,4,3,2,,,,,
특별법범,복표발행등사행행위단속법,소계,성인,범죄자[명],명,2,,1,,3,1,,,,,,,,,,,
특별법범,부동산중개업법,소계,미성년,범죄자[명],명,1,,,,1,,,,,,1,,,,,,
특별법범,부동산중개업법,소계,14세미만,범죄자[명],명,,,,,,,,,,,1,,,,,,
특별법범,부동산중개업법,소계,성인,범죄자[명],명,571,660,524,528,620,1191,741,804,836,,1339,1976,1612,1427,1267,1444,1503
특별법범,부동산중개업법,소계,미상,범죄자[명],명,5,,,1,1,6,1,1,7,,121,72,57,35,12,47,32
특별법범,부동산중계업법,소계,성인,범죄자[명],명,,,,,,,,,,1068,,,,,,,
특별법범,부동산중계업법,소계,미상,범죄자[명],명,,,,,,,,,,4,,,,,,,
특별법범,부정경쟁방지 및 영업비밀보호에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,,,2,1,,,
특별법범,부정경쟁방지 및 영업비밀보호에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,842,687,987,772,1034,910,858
특별법범,부정경쟁방지 및 영업비밀보호에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,90,80,52,47,126,44,9
특별법범,부정경쟁방지법,소계,성인,범죄자[명],명,327,225,175,236,219,281,159,209,99,79,,,,,,,
특별법범,부정경쟁방지법,소계,미상,범죄자[명],명,1,1,,2,2,3,1,,1,,,,,,,,
특별법범,부정수표단속법,소계,미성년,범죄자[명],명,47,42,50,48,37,15,9,9,8,6,5,4,7,7,4,17,23
특별법범,부정수표단속법,소계,14세미만,범죄자[명],명,31,22,26,28,18,7,5,5,5,2,4,3,1,,,,
특별법범,부정수표단속법,소계,성인,범죄자[명],명,42942,56420,53197,45364,63500,31476,15706,12234,9716,12024,21418,13494,10088,7902,8024,8922,5532
특별법범,부정수표단속법,소계,미상,범죄자[명],명,262,37,60,87,112,147,58,44,29,52,929,547,943,577,410,477,344
특별법범,사격 및 사격장단속법,소계,성인,범죄자[명],명,1,4,,2,,,2,1,,,5,2,3,2,1,4,4
특별법범,사설강습소에 관한법률,소계,성인,범죄자[명],명,,,3,,,,,,,,,,,,,,
특별법범,사행행위등 규제 및 처벌특례법,소계,미성년,범죄자[명],명,5,,4,1,,3,1,,,,2,1,54,61,51,18,2
특별법범,사행행위등 규제 및 처벌특례법,소계,성인,범죄자[명],명,357,126,194,163,210,314,49,35,34,44,1268,1104,3679,5051,6915,7622,5787
특별법범,사행행위등 규제 및 처벌특례법,소계,미상,범죄자[명],명,2,,1,1,,1,,,,,52,30,30,40,77,148,126
특별법범,산림법,소계,미성년,범죄자[명],명,10,1,3,7,1,3,9,9,8,1,,1,,2,,,
특별법범,산림법,소계,14세미만,범죄자[명],명,2,,,,1,2,1,1,5,1,,,,,,,
특별법범,산림법,소계,성인,범죄자[명],명,420,409,356,379,398,672,779,670,662,580,528,420,355,62,34,44,11
특별법범,산림법,소계,미상,범죄자[명],명,3,1,8,1,1,4,4,8,1,1,52,26,6,1,8,7,
특별법범,산업안전보건법,소계,성인,범죄자[명],명,40,66,28,57,29,39,61,49,57,37,30,30,15,8,19,31,21
특별법범,산업안전보건법,소계,미상,범죄자[명],명,,3,1,,1,,1,,1,1,7,9,2,,3,6,13
특별법범,상법,소계,성인,범죄자[명],명,26,20,27,54,53,24,150,65,167,267,103,293,162,115,105,143,216
특별법범,상법,소계,미상,범죄자[명],명,,,,,,,,,,,1,13,8,8,3,,10
특별법범,상표법,소계,미성년,범죄자[명],명,,1,,,6,3,5,4,14,16,11,5,11,24,16,9,5
특별법범,상표법,소계,14세미만,범죄자[명],명,,1,,,2,,3,,,1,,,,,,,
특별법범,상표법,소계,성인,범죄자[명],명,404,411,440,632,684,1847,1495,2319,2790,2396,4137,1693,5965,2496,5109,4745,4250
특별법범,상표법,소계,미상,범죄자[명],명,7,2,1,8,1,7,5,3,7,8,250,166,107,89,89,66,120
특별법범,상품권법,소계,성인,범죄자[명],명,8,9,35,19,8,5,,1,,,,,,,,,
특별법범,상품권법,소계,미상,범죄자[명],명,,,2,,,,,,,,,,,,,,
특별법범,상호신용금고법,소계,성인,범죄자[명],명,12,14,40,98,49,72,69,35,63,,,,,,,,
특별법범,새마을금고법,소계,성인,범죄자[명],명,37,19,23,45,38,34,30,24,19,22,47,25,11,59,46,16,10
특별법범,새마을금고법,소계,미상,범죄자[명],명,1,,,1,1,,,,,,1,1,,,1,,1
특별법범,석유 및 석유대체연료사업법,소계,미성년,범죄자[명],명,,,,,,,,,,,,16,24,17,5,8,8
특별법범,석유 및 석유대체연료사업법,소계,성인,범죄자[명],명,,,,,,,,,,,,4592,7179,6107,3701,3934,3020
특별법범,석유 및 석유대체연료사업법,소계,미상,범죄자[명],명,,,,,,,,,,,,51,53,60,45,47,58
특별법범,석유사업법,소계,미성년,범죄자[명],명,,,,,,,,,,,44,13,,,,,
특별법범,석유사업법,소계,성인,범죄자[명],명,,,,,,,,,,,7532,3203,268,62,31,47,21
특별법범,석유사업법,소계,미상,범죄자[명],명,,,,,,,,,,,161,56,7,1,1,4,2
특별법범,선박안전법,소계,미성년,범죄자[명],명,,,2,,1,1,1,1,,,,1,,,,,
특별법범,선박안전법,소계,14세미만,범죄자[명],명,,,1,,,,,,,,,,,,,,
특별법범,선박안전법,소계,성인,범죄자[명],명,290,349,349,584,528,531,519,564,591,479,401,455,439,343,360,237,12
특별법범,선박안전법,소계,미상,범죄자[명],명,3,,6,13,4,,,1,2,3,20,1,1,,1,1,4
특별법범,선박직원법,소계,미성년,범죄자[명],명,,,,,,,,,,,,,,,,,1
특별법범,선박직원법,소계,성인,범죄자[명],명,,,,,,,,,,,636,810,708,1156,560,412,544
특별법범,선박직원법,소계,미상,범죄자[명],명,,,,,,,,,,,26,2,2,2,1,1,3
특별법범,선박투자회사법,소계,성인,범죄자[명],명,,,,,,,,,,,1,,,,,,
특별법범,성매매알선등 행위의 처벌에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,60,215,308,475,388,386,202
특별법범,성매매알선등 행위의 처벌에 관한 법률,소계,14세미만,범죄자[명],명,,,,,,,,,,,,,,2,,2,
특별법범,성매매알선등 행위의 처벌에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,2712,14029,31754,35245,47144,68528,26247
특별법범,성매매알선등 행위의 처벌에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,52,205,174,211,363,373,270
특별법범,성폭력범죄의 처벌 및 피해자보호등에 관한 법률,소계,미성년,범죄자[명],명,,,,,,,,,,,827,681,979,1014,1134,1332,
특별법범,성폭력범죄의 처벌 및 피해자보호등에 관한 법률,소계,14세미만,범죄자[명],명,,,,,,,,,,,9,18,29,35,30,23,
특별법범,성폭력범죄의 처벌 및 피해자보호등에 관한 법률,소계,성인,범죄자[명],명,,,,,,,,,,,3548,3471,4030,3892,4125,4470,
특별법범,성폭력범죄의 처벌 및 피해자보호등에 관한 법률,소계,미상,범죄자[명],명,,,,,,,,,,,210,123,88,83,119,97,
특별법범,성폭력범죄의 처벌 및 피해자보호에 관한 법,소계,미성년,범죄자[명],명,925,861,846,948,755,815,765,643,850,865,,,,,,,
