죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
형법범,절도범,특수절도(상습),14세미만,범죄자[명],명,2,,,,,,,,,,,,,,,,
형법범,절도범,특수절도(상습),성인,범죄자[명],명,5,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,미성년,범죄자[명],명,130,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,14세미만,범죄자[명],명,5,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,성인,범죄자[명],명,146,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,미상,범죄자[명],명,1,,,,,,,,,,,,,,,,
형법범,폭력범,소계,미성년,범죄자[명],명,40611,47317,47735,56747,52111,52205,54178,49410,37375,31510,27424,26635,27223,32265,30294,30241,24578
형법범,폭력범,소계,14세미만,범죄자[명],명,483,376,426,369,305,321,353,345,361,350,326,428,396,646,597,273,133
형법범,폭력범,소계,성인,범죄자[명],명,290172,277499,288029,292906,334480,420955,462110,462869,398113,402128,410404,400788,396763,413009,419512,415786,370120
형법범,폭력범,소계,미상,범죄자[명],명,1964,248,330,368,688,1893,1333,1656,1427,2026,14725,8342,5742,5360,4836,4718,4486
형법범,지능범,소계,미성년,범죄자[명],명,1884,2159,2391,2701,3419,3683,4328,5975,8564,8554,7762,5679,5421,6091,5434,8051,7822
형법범,지능범,소계,14세미만,범죄자[명],명,107,97,112,72,66,93,90,81,79,127,302,91,35,26,42,22,17
형법범,지능범,소계,성인,범죄자[명],명,133070,173719,213360,206990,252609,280536,212703,215181,222009,251832,360782,330064,342810,319102,329810,361060,324279
형법범,지능범,소계,미상,범죄자[명],명,1011,157,253,329,464,1281,737,828,868,1387,28208,19361,19258,17179,27918,31588,28544
형법범,풍속범,소계,미성년,범죄자[명],명,186,169,154,138,146,104,177,120,86,76,40,22,754,72,26,102,48
형법범,풍속범,소계,14세미만,범죄자[명],명,23,16,11,6,10,11,27,14,10,9,9,,,,,,2
형법범,풍속범,소계,성인,범죄자[명],명,45664,45000,42479,42453,45800,54290,62145,61176,55243,42145,48616,39634,62270,45618,45389,70556,42506
형법범,풍속범,소계,미상,범죄자[명],명,334,65,117,123,150,263,158,213,202,256,1937,1369,1183,887,850,1029,637
형법범,기타형법범,소계,미성년,범죄자[명],명,1556,1392,1605,1614,1634,1592,1531,1371,1100,839,1095,772,865,1324,1211,1358,1423
형법범,기타형법범,소계,14세미만,범죄자[명],명,70,61,75,62,35,44,49,66,39,28,70,21,23,31,25,32,11
형법범,기타형법범,소계,성인,범죄자[명],명,32068,31749,33262,36189,40116,47680,47596,49061,48612,49180,52137,56793,66989,77864,82692,90624,82548
형법범,기타형법범,소계,미상,범죄자[명],명,223,53,70,78,94,247,241,256,292,392,5889,4386,3300,2685,2520,2644,2370
형법범,기타형법범,장물에 관한죄,미성년,범죄자[명],명,771,709,638,634,675,554,454,299,291,195,198,213,280,406,346,466,487
형법범,기타형법범,장물에 관한죄,14세미만,범죄자[명],명,14,9,11,5,8,4,2,2,,2,1,1,4,4,,1,
형법범,기타형법범,장물에 관한죄,성인,범죄자[명],명,1423,1297,1350,1374,2550,2923,2413,1800,1496,1580,1705,2131,2441,3176,2103,3386,3962
형법범,기타형법범,장물에 관한죄,미상,범죄자[명],명,7,1,1,3,9,23,17,8,7,10,93,86,89,77,84,73,44
형법범,기타형법범,특가법(장물),미성년,범죄자[명],명,,1,3,,2,,,1,,,,1,2,,,2,
형법범,기타형법범,특가법(장물),성인,범죄자[명],명,,15,41,31,45,79,83,46,25,59,45,118,59,44,23,66,51
형법범,기타형법범,특가법(장물),미상,범죄자[명],명,,,,,1,,,1,,,3,4,5,,,,
형법범,기타형법범,내란의 죄,성인,범죄자[명],명,,,,,,,,,,,2,,,,,,
형법범,기타형법범,외환의 죄,성인,범죄자[명],명,9,,,,1,1,,7,1,,,,,,,,
형법범,기타형법범,국기에 관한 죄,성인,범죄자[명],명,,,,1,,,,1,,,,,,,,,
형법범,기타형법범,공안을 해하는 죄,미성년,범죄자[명],명,7,6,1,51,40,,2,1,1,8,,,,1,,4,
형법범,기타형법범,공안을 해하는 죄,14세미만,범죄자[명],명,1,,,,,,,,,,,,,,,4,
형법범,기타형법범,공안을 해하는 죄,성인,범죄자[명],명,46,48,51,72,41,104,63,79,58,35,40,41,62,46,55,22,21
형법범,기타형법범,공안을 해하는 죄,미상,범죄자[명],명,,,,,,,,,1,,2,,20,4,12,,
형법범,기타형법범,폭발물에 관한 죄,미성년,범죄자[명],명,,,,,,,,4,,,,1,,,6,,2
형법범,기타형법범,폭발물에 관한 죄,성인,범죄자[명],명,,,1,1,2,1,,2,,1,,1,,,3,,2
형법범,기타형법범,폭발물에 관한 죄,미상,범죄자[명],명,,,,,,,,,,,,,,1,,,
형법범,기타형법범,공무방해에 관한 죄,미성년,범죄자[명],명,247,228,371,383,378,428,442,447,372,255,509,214,210,323,241,198,192
형법범,기타형법범,공무방해에 관한 죄,14세미만,범죄자[명],명,3,,3,1,2,3,5,5,4,1,1,,,,,,
형법범,기타형법범,공무방해에 관한 죄,성인,범죄자[명],명,5862,5638,6625,7769,8787,9070,9029,10182,10882,10982,11821,11594,13779,17838,19533,19737,15998
