대분류,중분류,소분류,교육정도별(1),교육정도별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,살인기수,대학원,재중,-,-,1,2,1,-,-,1,-,1,-,1
소계,강력범죄,살인기수,대학원,중퇴,-,-,1,-,-,-,1,-,-,-,-,-
소계,강력범죄,살인기수,대학원,졸업,-,4,4,2,4,1,4,5,1,6,2,2
소계,강력범죄,살인기수,기타,소계,18,12,5,1,4,3,4,8,2,3,2,2
소계,강력범죄,살인기수,미상,소계,108,93,88,132,103,88,87,91,109,102,93,100
소계,강력범죄,살인미수등,불취학,소계,13,9,15,10,8,10,7,9,10,13,5,3
소계,강력범죄,살인미수등,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,초등학교,중퇴,23,19,27,23,27,15,22,16,13,10,9,11
소계,강력범죄,살인미수등,초등학교,졸업,64,38,55,48,59,57,48,38,53,30,27,36
소계,강력범죄,살인미수등,중학교,재중,-,-,5,-,3,1,1,-,3,2,2,-
소계,강력범죄,살인미수등,중학교,중퇴,39,35,29,32,25,33,24,15,20,17,15,15
소계,강력범죄,살인미수등,중학교,졸업,80,74,87,76,62,79,62,59,59,46,43,49
소계,강력범죄,살인미수등,고등학교,재중,3,6,10,3,4,6,2,2,3,2,-,4
소계,강력범죄,살인미수등,고등학교,중퇴,45,52,32,30,35,46,41,24,25,26,14,20
소계,강력범죄,살인미수등,고등학교,졸업,289,203,177,171,195,192,186,181,159,136,134,129
소계,강력범죄,살인미수등,대학(4년미만),재중,-,1,1,-,2,1,2,-,1,1,2,1
소계,강력범죄,살인미수등,대학(4년미만),중퇴,7,3,7,2,2,4,3,4,7,4,4,5
소계,강력범죄,살인미수등,대학(4년미만),졸업,23,13,24,18,22,14,15,9,11,10,17,9
소계,강력범죄,살인미수등,대학(4년이상),재중,10,2,8,7,7,5,7,10,1,9,7,5
소계,강력범죄,살인미수등,대학(4년이상),중퇴,15,16,10,13,12,11,11,12,13,9,12,10
소계,강력범죄,살인미수등,대학(4년이상),졸업,34,37,29,29,30,33,27,33,35,28,29,31
소계,강력범죄,살인미수등,대학원,소계,14,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,대학원,재중,-,-,1,-,1,1,-,2,1,-,1,1
소계,강력범죄,살인미수등,대학원,중퇴,-,-,1,-,2,1,2,2,-,-,1,1
소계,강력범죄,살인미수등,대학원,졸업,-,1,-,3,1,2,4,2,3,3,3,2
소계,강력범죄,살인미수등,기타,소계,53,18,13,15,6,16,12,9,4,4,8,9
소계,강력범죄,살인미수등,미상,소계,124,83,89,95,83,89,85,89,104,104,76,88
소계,강력범죄,강도,불취학,소계,22,11,10,16,13,9,4,6,6,12,-,2
소계,강력범죄,강도,초등학교,재중,3,-,-,-,1,-,-,1,2,-,-,-
소계,강력범죄,강도,초등학교,중퇴,45,37,16,26,22,14,20,19,14,8,11,8
소계,강력범죄,강도,초등학교,졸업,138,108,81,60,62,59,43,34,41,27,23,25
소계,강력범죄,강도,중학교,재중,125,88,99,50,35,41,18,39,69,85,54,30
소계,강력범죄,강도,중학교,중퇴,329,229,221,137,125,85,68,41,56,28,33,26
소계,강력범죄,강도,중학교,졸업,397,244,221,159,201,146,105,98,82,75,64,57
소계,강력범죄,강도,고등학교,재중,367,347,154,144,121,110,84,53,107,128,77,68
소계,강력범죄,강도,고등학교,중퇴,621,438,315,230,250,180,152,136,176,126,64,89
소계,강력범죄,강도,고등학교,졸업,1474,957,744,692,643,568,505,390,452,387,208,241
소계,강력범죄,강도,대학(4년미만),재중,38,21,15,18,10,7,2,10,8,6,2,5
소계,강력범죄,강도,대학(4년미만),중퇴,43,22,24,23,25,23,8,14,19,11,4,6
소계,강력범죄,강도,대학(4년미만),졸업,87,61,66,67,53,58,34,36,22,23,21,13
소계,강력범죄,강도,대학(4년이상),재중,91,75,67,37,39,36,24,18,18,17,8,12
소계,강력범죄,강도,대학(4년이상),중퇴,78,64,58,56,61,45,50,40,25,22,19,17
소계,강력범죄,강도,대학(4년이상),졸업,171,106,103,81,75,72,91,60,52,37,31,32
소계,강력범죄,강도,대학원,소계,51,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강도,대학원,재중,-,16,8,3,9,5,3,-,4,1,-,-
소계,강력범죄,강도,대학원,중퇴,-,5,4,5,6,7,3,2,1,-,1,-
소계,강력범죄,강도,대학원,졸업,-,9,11,4,14,6,8,-,3,6,1,3
소계,강력범죄,강도,기타,소계,204,107,42,18,19,23,41,5,14,9,8,15
소계,강력범죄,강도,미상,소계,606,377,334,252,215,222,193,163,165,194,119,115
소계,강력범죄,강간・강제추행,불취학,소계,89,128,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,초등학교,재중,4,8,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,초등학교,중퇴,181,196,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,초등학교,졸업,619,703,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,중학교,재중,300,441,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,중학교,중퇴,373,406,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,중학교,졸업,862,915,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,고등학교,재중,890,1118,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,고등학교,중퇴,752,720,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,고등학교,졸업,4352,4362,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년미만),재중,128,118,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년미만),중퇴,114,111,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년미만),졸업,631,687,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년이상),재중,610,815,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년이상),중퇴,261,331,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학(4년이상),졸업,1716,1798,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학원,소계,400,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학원,재중,-,109,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학원,중퇴,-,31,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,대학원,졸업,-,280,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,기타,소계,539,335,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,미상,소계,4831,4400,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간,불취학,소계,-,-,45,24,32,25,21,26,16,14,13,8
소계,강력범죄,강간,초등학교,재중,-,-,-,2,2,2,-,1,-,-,1,3
소계,강력범죄,강간,초등학교,중퇴,-,-,55,56,62,45,39,32,45,35,40,23
소계,강력범죄,강간,초등학교,졸업,-,-,181,166,123,147,145,106,119,96,63,59
소계,강력범죄,강간,중학교,재중,-,-,111,119,99,106,89,92,87,69,77,98
소계,강력범죄,강간,중학교,중퇴,-,-,161,133,112,114,104,89,60,77,48,51
소계,강력범죄,강간,중학교,졸업,-,-,264,268,262,244,247,212,225,227,177,146
소계,강력범죄,강간,고등학교,재중,-,-,378,332,312,316,310,292,237,191,216,153
소계,강력범죄,강간,고등학교,중퇴,-,-,326,317,262,279,261,241,227,204,172,156
소계,강력범죄,강간,고등학교,졸업,-,-,1408,1333,1348,1358,1331,1285,1301,1357,1329,1209
소계,강력범죄,강간,대학(4년미만),재중,-,-,65,54,47,40,43,55,53,47,39,21
소계,강력범죄,강간,대학(4년미만),중퇴,-,-,44,49,40,35,58,42,45,30,46,31
소계,강력범죄,강간,대학(4년미만),졸업,-,-,210,232,215,222,217,232,229,231,208,221
소계,강력범죄,강간,대학(4년이상),재중,-,-,295,288,273,253,283,237,275,252,239,303
소계,강력범죄,강간,대학(4년이상),중퇴,-,-,129,135,149,170,167,161,178,172,178,149
소계,강력범죄,강간,대학(4년이상),졸업,-,-,461,432,482,504,511,499,540,616,579,618
소계,강력범죄,강간,대학원,재중,-,-,38,32,41,47,30,19,28,26,21,54
소계,강력범죄,강간,대학원,중퇴,-,-,8,10,16,15,12,7,11,9,12,9
소계,강력범죄,강간,대학원,졸업,-,-,68,66,68,66,74,65,86,69,80,83
소계,강력범죄,강간,기타,소계,-,-,62,61,62,48,85,33,57,34,52,53
소계,강력범죄,강간,미상,소계,-,-,1547,1408,1614,1793,1916,2221,2319,2357,2003,2158
소계,강력범죄,유사강간,불취학,소계,-,-,-,1,4,3,5,6,2,3,5,3
소계,강력범죄,유사강간,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,유사강간,초등학교,중퇴,-,-,4,5,8,7,6,10,5,10,8,9
소계,강력범죄,유사강간,초등학교,졸업,-,-,3,21,11,28,21,19,17,22,14,14
소계,강력범죄,유사강간,중학교,재중,-,-,8,17,20,27,33,20,23,18,26,22
소계,강력범죄,유사강간,중학교,중퇴,-,-,3,15,11,8,16,14,13,6,7,15
소계,강력범죄,유사강간,중학교,졸업,-,-,14,17,31,19,40,40,39,44,26,24
소계,강력범죄,유사강간,고등학교,재중,-,-,7,39,41,37,55,61,60,38,36,38
소계,강력범죄,유사강간,고등학교,중퇴,-,-,6,16,28,14,31,38,28,28,28,23
소계,강력범죄,유사강간,고등학교,졸업,-,-,39,89,128,162,166,200,198,242,195,235
소계,강력범죄,유사강간,대학(4년미만),재중,-,-,2,7,6,8,5,8,13,4,5,4
