대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,국민건강보험법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
특별법범,국민건강보험법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
특별법범,국민건강보험법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,3
특별법범,국민건강보험법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
특별법범,국민건강보험법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민건강보험법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,3,3,-,19,15,36,13
특별법범,국민건강보험법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,8,2
특별법범,국민건강보험법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
특별법범,국민건강보험법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,3,7,6,8,18,16,14
특별법범,국민연금법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-
특별법범,국민연금법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민연금법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
특별법범,국민연금법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,8,3,1,3,-,1,-
특별법범,국민연금법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민연금법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
특별법범,국민연금법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,14,3,2,2,1,2,5
특별법범,국민연금법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민연금법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-
특별법범,국민연금법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,41,18,37,10,8,6,13
특별법범,국민연금법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민연금법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
특별법범,국민연금법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,9,9,6,2,3,2,1
특별법범,국민연금법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-
특별법범,국민연금법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,4,2,2,-,1,1,-
특별법범,국민연금법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,44,18,16,8,6,4,8
특별법범,국민연금법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,12,3,3,-,1,-,-
특별법범,국민연금법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,1,2
특별법범,국민연금법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,42,23,26,11,20,10,9
특별법범,국민투표법,소계,미상,소계,-,-,-,-,-,246,-,-,-,-,-,-,-,-,-,-,-
특별법범,국토의계획 및 이용에 관한 법률,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,41,45,28,24,19,18,20
특별법범,국토의계획 및 이용에 관한 법률,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
특별법범,국토의계획 및 이용에 관한 법률,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,30,37,21,26,11,6,11
특별법범,국토의계획 및 이용에 관한 법률,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,206,320,169,148,105,77,81
특별법범,국토의계획 및 이용에 관한 법률,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
특별법범,국토의계획 및 이용에 관한 법률,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,29,33,13,19,11,12,10
특별법범,국토의계획 및 이용에 관한 법률,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,219,303,172,141,130,88,92
특별법범,국토의계획 및 이용에 관한 법률,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-
특별법범,국토의계획 및 이용에 관한 법률,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,24,37,25,17,11,10,19
특별법범,국토의계획 및 이용에 관한 법률,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,667,1242,739,726,599,445,393
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,4,9,3,2,3,2,2
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,76,143,76,73,67,41,57
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,10,10,9,8,3,4,2
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,17,42,20,11,7,8,9
특별법범,국토의계획 및 이용에 관한 법률,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,275,449,313,291,197,154,147
특별법범,국토의계획 및 이용에 관한 법률,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,41,59,38,50,25,15,33
특별법범,국토의계획 및 이용에 관한 법률,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,13,14,56,30,24,17,20
특별법범,국토의계획 및 이용에 관한 법률,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,205,253,520,475,516,401,365
특별법범,국회의원 선거법,소계,중학교,중퇴,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국회의원 선거법,소계,대학(4년이상),졸업,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,불취학,소계,-,1,-,-,1,-,1,1,-,-,1,1,1,-,-,-,-
특별법범,근로기준법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,초등학교,중퇴,-,-,-,1,-,2,-,2,-,1,-,-,-,-,-,-,-
특별법범,근로기준법,소계,초등학교,졸업,3,4,2,5,5,11,8,11,5,2,-,2,1,2,1,-,1
특별법범,근로기준법,소계,중학교,재중,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,중학교,중퇴,-,-,-,1,1,8,2,5,1,-,-,1,-,1,1,1,-
특별법범,근로기준법,소계,중학교,졸업,1,3,6,5,2,34,14,10,12,5,4,3,2,2,3,2,-
특별법범,근로기준법,소계,고등학교,재중,-,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-
특별법범,근로기준법,소계,고등학교,중퇴,-,2,1,-,2,17,5,9,5,4,-,-,2,1,-,-,1
특별법범,근로기준법,소계,고등학교,졸업,-,8,13,17,19,95,52,41,32,14,8,12,15,10,10,14,14
특별법범,근로기준법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,대학(4년미만),중퇴,-,1,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,대학(4년미만),졸업,1,1,1,2,-,3,3,5,3,2,2,1,3,1,2,3,-
특별법범,근로기준법,소계,대학(4년이상),재중,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-
특별법범,근로기준법,소계,대학(4년이상),중퇴,-,-,1,-,-,3,-,1,-,1,-,-,-,-,-,1,2
특별법범,근로기준법,소계,대학(4년이상),졸업,2,2,2,4,2,8,3,3,6,1,5,5,2,3,4,7,4
특별법범,근로기준법,소계,대학원,소계,-,-,-,-,-,-,-,-,2,-,-,1,-,1,1,1,-
특별법범,근로기준법,소계,기타,소계,-,-,1,1,1,1,-,-,-,2,1,1,1,1,1,1,2
특별법범,근로기준법,소계,미상,소계,-,1,3,-,2,49,5,7,4,2,6,13,12,14,18,21,20
특별법범,낚시어선업법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,7,11,5,4,3,7,2
특별법범,낚시어선업법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,낚시어선업법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,11,6,6,8,7,6,8
특별법범,낚시어선업법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,77,74,72,45,49,46,49
특별법범,낚시어선업법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,낚시어선업법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,15,8,7,7,3,2,10
특별법범,낚시어선업법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,62,74,49,44,51,34,35
특별법범,낚시어선업법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,낚시어선업법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,7,7,4,8,5,9,8
특별법범,낚시어선업법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,77,95,71,69,73,69,58
특별법범,낚시어선업법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1
특별법범,낚시어선업법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,1,3,1,-,1,-,1
특별법범,낚시어선업법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,16,15,9,5,5,9,8
특별법범,낚시어선업법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
특별법범,낚시어선업법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,-,1
특별법범,낚시어선업법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,7,4,5,5,5,3,6
특별법범,낚시어선업법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
특별법범,낚시어선업법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
특별법범,낚시어선업법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,19,16,14,12,17,8,14
특별법범,내수면어업법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,14,6,3,13,7,6,2
특별법범,내수면어업법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,내수면어업법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,11,8,7,5,5,9,3
특별법범,내수면어업법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,74,61,42,35,43,38,22
특별법범,내수면어업법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,내수면어업법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,12,7,4,6,1,9,-
특별법범,내수면어업법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,36,49,34,46,50,48,11
특별법범,내수면어업법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
특별법범,내수면어업법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,5,10,5,12,5,2,3
특별법범,내수면어업법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,77,88,91,86,134,112,54
특별법범,내수면어업법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
특별법범,내수면어업법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1
특별법범,내수면어업법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,7,3,6,3,3,-,1
특별법범,내수면어업법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-
특별법범,내수면어업법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
특별법범,내수면어업법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,6,5,3,3,3,2,5
특별법범,내수면어업법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
특별법범,내수면어업법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,12,6
특별법범,내수면어업법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,21,25,41,22,56,68,21
특별법범,노동쟁의조정법,소계,불취학,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,초등학교,졸업,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,중학교,재중,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,중학교,중퇴,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,중학교,졸업,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,고등학교,중퇴,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,고등학교,졸업,35,7,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,대학(4년미만),중퇴,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,대학(4년미만),졸업,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,대학(4년이상),졸업,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,대학원,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동쟁의조정법,소계,미상,소계,1,-,-,-,-,196,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,-,32,10,1,-,-,4
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,-,-,1,31,-,2,-
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,-,8,-,1,-,3,-
특별법범,노동조합 및 노동관계 조정법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,-,22,-,4,7,6,5
특별법범,농산물품질관리법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,10,4,2,-,2,1,-
특별법범,농산물품질관리법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농산물품질관리법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,5,10,-,-,-,2,-
특별법범,농산물품질관리법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,48,19,4,2,19,16,4
특별법범,농산물품질관리법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
특별법범,농산물품질관리법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,7,3,1,1,1,1,-
특별법범,농산물품질관리법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,48,21,6,3,12,20,7
특별법범,농산물품질관리법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,농산물품질관리법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,4,3,1,-,1,2,2
특별법범,농산물품질관리법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,153,64,27,23,117,93,31
특별법범,농산물품질관리법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
특별법범,농산물품질관리법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
특별법범,농산물품질관리법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,18,9,2,7,12,8,2
특별법범,농산물품질관리법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
특별법범,농산물품질관리법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,12,1,-,-,2,4,-
특별법범,농산물품질관리법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,31,15,8,5,23,16,8
특별법범,농산물품질관리법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,2
특별법범,농산물품질관리법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,2,1,8,1,4,1,2
특별법범,농산물품질관리법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,24,3,11,12,34,32,20
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,불취학,소계,1,-,-,-,3,2,5,2,-,6,1,-,2,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,초등학교,중퇴,2,-,4,2,1,2,2,3,1,5,2,-,-,-,-,-,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,초등학교,졸업,17,1,8,22,18,5,32,21,13,86,17,14,4,4,3,9,5
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,중학교,재중,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,중학교,중퇴,-,-,2,1,3,1,5,3,2,17,-,3,-,1,1,1,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,중학교,졸업,13,1,7,10,16,8,38,26,20,75,14,20,13,4,7,16,7
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,고등학교,중퇴,-,-,1,2,1,2,6,2,2,19,4,4,1,1,-,-,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,고등학교,졸업,18,1,12,17,30,22,52,52,28,247,51,65,40,24,48,43,74
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년미만),중퇴,-,-,1,-,1,-,4,1,-,1,-,-,-,-,-,1,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년미만),졸업,4,1,1,-,3,1,10,9,3,32,6,6,-,4,3,5,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년이상),중퇴,1,-,-,-,-,1,5,1,3,5,6,-,2,-,-,-,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학(4년이상),졸업,4,1,1,-,4,4,12,12,2,44,3,6,2,2,6,9,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,대학원,소계,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,1,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,기타,소계,-,-,-,-,-,-,1,-,-,2,1,-,4,-,2,-,3
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,미상,소계,1,-,-,1,-,8,63,1,-,16,2,4,8,4,53,6,21
특별법범,농지법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,36,20,22,23,18,15,12
특별법범,농지법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
특별법범,농지법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,27,26,16,15,10,16,14
특별법범,농지법,소계,초등학교,졸업,-,-,-,-,-,-,-,-,-,-,226,210,172,164,139,82,76
특별법범,농지법,소계,중학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
특별법범,농지법,소계,중학교,중퇴,-,-,-,-,-,-,-,-,-,-,29,22,21,17,16,13,6
특별법범,농지법,소계,중학교,졸업,-,-,-,-,-,-,-,-,-,-,186,154,155,140,112,69,77
특별법범,농지법,소계,고등학교,재중,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
특별법범,농지법,소계,고등학교,중퇴,-,-,-,-,-,-,-,-,-,-,30,26,22,24,15,5,14
특별법범,농지법,소계,고등학교,졸업,-,-,-,-,-,-,-,-,-,-,529,512,522,517,421,332,280
특별법범,농지법,소계,대학(4년미만),재중,-,-,-,-,-,-,-,-,-,-,2,4,1,1,1,-,-
특별법범,농지법,소계,대학(4년미만),중퇴,-,-,-,-,-,-,-,-,-,-,4,6,3,1,1,-,-
특별법범,농지법,소계,대학(4년미만),졸업,-,-,-,-,-,-,-,-,-,-,57,43,54,65,43,28,27
특별법범,농지법,소계,대학(4년이상),재중,-,-,-,-,-,-,-,-,-,-,3,1,4,1,6,1,-
특별법범,농지법,소계,대학(4년이상),중퇴,-,-,-,-,-,-,-,-,-,-,11,12,10,9,17,8,7
특별법범,농지법,소계,대학(4년이상),졸업,-,-,-,-,-,-,-,-,-,-,161,142,113,158,105,75,77
특별법범,농지법,소계,대학원,소계,-,-,-,-,-,-,-,-,-,-,22,29,20,18,9,16,17
특별법범,농지법,소계,기타,소계,-,-,-,-,-,-,-,-,-,-,26,17,7,14,22,23,29
특별법범,농지법,소계,미상,소계,-,-,-,-,-,-,-,-,-,-,233,223,463,319,336,298,244
특별법범,농지의 보전 및 이용에 관한 법률,소계,불취학,소계,41,37,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,초등학교,중퇴,15,18,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,초등학교,졸업,142,155,36,5,8,4,-,-,-,2,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,중학교,중퇴,21,17,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,중학교,졸업,125,102,24,5,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,고등학교,재중,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,고등학교,중퇴,17,11,4,2,3,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,고등학교,졸업,227,226,79,16,9,3,-,-,-,1,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년미만),재중,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년미만),중퇴,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년미만),졸업,24,27,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년이상),재중,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년이상),중퇴,12,7,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학(4년이상),졸업,101,70,24,8,3,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,대학원,소계,9,14,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,기타,소계,-,3,6,1,1,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,농지의 보전 및 이용에 관한 법률,소계,미상,소계,12,8,2,1,3,22,-,-,-,-,-,-,-,-,-,-,-
특별법범,담배사업법,소계,불취학,소계,-,-,-,-,-,-,-,-,-,-,15,21,101,35,3,8,4
특별법범,담배사업법,소계,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-
특별법범,담배사업법,소계,초등학교,중퇴,-,-,-,-,-,-,-,-,-,-,8,22,37,34,5,6,9
