대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,소계,고등학교,재중,1868,1236,1095,1313,1567,1131,977,726,584,732,698,442,596,617,746,856,1278
형법범,강력범,소계,고등학교,중퇴,1775,1328,1403,1581,1911,1656,1699,1396,1290,1446,1221,977,871,895,979,1178,1431
형법범,강력범,소계,고등학교,졸업,3895,3100,3460,3665,4461,4410,4179,4062,4063,4769,4616,4353,4954,5023,5225,5942,6724
형법범,강력범,소계,대학(4년미만),재중,122,104,130,186,275,240,210,187,184,198,159,99,123,106,142,153,211
형법범,강력범,소계,대학(4년미만),중퇴,74,56,86,85,128,123,126,152,178,184,146,129,131,125,129,159,184
형법범,강력범,소계,대학(4년미만),졸업,239,244,259,259,352,377,423,470,431,558,557,524,567,630,617,735,858
형법범,강력범,소계,대학(4년이상),재중,159,155,192,218,319,290,315,318,318,360,411,328,369,402,412,464,709
형법범,강력범,소계,대학(4년이상),중퇴,122,114,114,140,155,168,199,201,233,252,231,190,200,222,205,261,370
형법범,강력범,소계,대학(4년이상),졸업,394,324,340,369,552,551,602,630,646,912,843,846,929,1031,1036,1155,1868
형법범,강력범,소계,대학원,소계,35,33,48,44,52,76,92,105,89,113,77,86,89,79,98,142,382
형법범,강력범,소계,기타,소계,56,74,93,87,82,99,127,149,150,142,166,61,136,113,144,209,501
형법범,강력범,소계,미상,소계,294,183,282,458,683,623,480,610,492,635,2273,2544,3463,3833,4540,5562,6692
형법범,강력범,살인,불취학,소계,35,24,27,27,37,40,29,35,28,30,36,29,32,32,28,22,23
형법범,강력범,살인,초등학교,재중,-,1,2,1,1,2,1,1,-,4,-,-,1,1,2,1,-
형법범,강력범,살인,초등학교,중퇴,32,32,34,37,54,55,57,56,40,51,48,37,36,34,36,40,29
형법범,강력범,살인,초등학교,졸업,126,115,108,135,167,163,156,163,133,152,145,145,121,107,100,129,122
형법범,강력범,살인,중학교,재중,8,9,1,3,3,1,4,3,7,2,1,2,2,-,-,-,2
형법범,강력범,살인,중학교,중퇴,68,58,54,84,77,85,67,92,70,63,67,76,67,64,41,73,51
형법범,강력범,살인,중학교,졸업,117,118,132,116,170,162,147,163,139,152,167,188,177,159,157,175,140
형법범,강력범,살인,고등학교,재중,16,17,20,11,21,20,10,12,12,6,7,13,8,11,7,13,12
형법범,강력범,살인,고등학교,중퇴,79,79,74,88,84,100,119,107,107,89,87,73,50,65,62,83,84
형법범,강력범,살인,고등학교,졸업,175,195,208,223,289,293,288,313,300,312,334,349,370,394,416,473,428
형법범,강력범,살인,대학(4년미만),재중,5,3,3,3,12,9,5,7,4,3,2,3,2,1,3,1,8
형법범,강력범,살인,대학(4년미만),중퇴,5,3,6,8,10,10,6,10,6,5,5,8,12,3,8,9,13
형법범,강력범,살인,대학(4년미만),졸업,15,13,23,24,19,30,19,30,23,40,40,22,20,26,36,47,39
형법범,강력범,살인,대학(4년이상),재중,2,2,1,4,5,5,5,10,15,9,12,6,9,16,11,9,13
형법범,강력범,살인,대학(4년이상),중퇴,13,8,8,10,13,12,18,12,18,20,13,11,14,11,15,19,26
형법범,강력범,살인,대학(4년이상),졸업,18,18,17,19,30,45,53,44,45,72,45,51,45,66,61,53,63
형법범,강력범,살인,대학원,소계,1,2,4,4,6,5,6,9,12,6,4,4,8,8,8,11,11
형법범,강력범,살인,기타,소계,2,6,9,7,8,6,12,17,12,9,15,11,12,15,17,21,41
형법범,강력범,살인,미상,소계,20,20,45,53,89,82,56,87,80,60,172,150,246,299,243,336,239
형법범,강력범,강도,불취학,소계,50,32,23,38,52,61,44,48,49,48,40,43,34,26,25,33,27
형법범,강력범,강도,초등학교,재중,10,3,3,6,6,1,3,2,5,2,3,1,4,-,-,-,1
형법범,강력범,강도,초등학교,중퇴,130,128,97,107,137,123,131,116,96,134,118,89,55,51,56,52,45
형법범,강력범,강도,초등학교,졸업,362,271,261,254,413,366,288,284,297,331,294,217,202,173,162,243,157
형법범,강력범,강도,중학교,재중,435,273,189,274,283,207,217,187,174,179,195,126,124,201,205,212,134
형법범,강력범,강도,중학교,중퇴,854,695,608,813,1099,1011,868,629,593,729,527,465,349,411,437,606,382
형법범,강력범,강도,중학교,졸업,906,596,571,694,854,746,704,560,604,684,668,580,505,549,666,864,487
형법범,강력범,강도,고등학교,재중,1430,1025,893,1119,1311,880,760,570,452,606,540,281,373,366,522,628,374
형법범,강력범,강도,고등학교,중퇴,1016,816,858,1025,1329,1046,1029,811,780,954,729,525,528,521,610,813,594
형법범,강력범,강도,고등학교,졸업,1405,1125,1165,1458,1864,1670,1559,1464,1569,2152,1806,1485,1623,1709,1748,2531,1561
형법범,강력범,강도,대학(4년미만),재중,71,61,78,108,178,138,107,90,92,93,79,41,44,45,64,79,51
형법범,강력범,강도,대학(4년미만),중퇴,24,20,40,35,59,48,55,60,90,103,69,47,54,49,60,83,59
형법범,강력범,강도,대학(4년미만),졸업,52,58,50,62,95,73,94,103,122,165,161,117,140,156,137,226,122
형법범,강력범,강도,대학(4년이상),재중,53,62,86,116,167,130,102,129,105,152,154,108,121,124,136,186,113
형법범,강력범,강도,대학(4년이상),중퇴,37,36,18,37,50,66,70,73,72,104,95,64,69,85,75,113,74
형법범,강력범,강도,대학(4년이상),졸업,74,49,46,59,100,87,88,112,114,181,150,140,135,151,180,258,214
형법범,강력범,강도,대학원,소계,5,3,7,6,8,12,13,17,21,24,17,15,6,7,18,25,37
형법범,강력범,강도,기타,소계,27,28,26,36,45,43,52,78,70,68,74,18,43,42,50,83,140
형법범,강력범,강도,미상,소계,113,45,79,147,283,258,153,214,148,261,747,722,776,805,1023,1518,970
형법범,강력범,강간,불취학,소계,129,86,99,107,104,111,100,88,76,68,80,63,68,59,55,50,133
형법범,강력범,강간,초등학교,재중,1,3,1,3,2,5,4,3,6,1,1,-,2,2,3,2,8
형법범,강력범,강간,초등학교,중퇴,165,146,167,177,135,158,162,126,122,122,105,107,93,90,66,68,185
형법범,강력범,강간,초등학교,졸업,785,557,603,602,581,641,523,514,408,446,409,397,312,360,316,274,656
형법범,강력범,강간,중학교,재중,90,69,80,69,37,44,30,28,31,29,13,34,53,43,71,59,350
형법범,강력범,강간,중학교,중퇴,456,315,316,296,332,332,293,244,229,216,176,174,189,154,146,152,427
형법범,강력범,강간,중학교,졸업,947,655,706,737,713,730,617,567,500,525,540,512,564,539,514,539,937
형법범,강력범,강간,고등학교,재중,414,190,176,171,210,210,194,127,107,106,122,104,162,164,156,163,826
형법범,강력범,강간,고등학교,중퇴,637,386,425,424,425,440,458,387,329,320,298,298,233,241,233,211,686
형법범,강력범,강간,고등학교,졸업,2146,1630,1885,1772,1974,2161,2034,1959,1820,1862,2009,2002,2475,2452,2492,2411,4270
