"행정구역별(1)","특성별(1)","특성별(2)",항목,2010,2012,2014,2016,2018,2020,2022
"전국","전체","계",아주 잘 지킨다,6.3,5.4,8.3,7.4,8.8,19.6,21.4
"전국","전체","계",비교적 잘 지킨다,32.4,26.6,29.7,30.2,34.3,41.5,43.5
"전국","전체","계",보통,41.4,42.0,39.7,40.3,39.0,29.4,26.8
"전국","전체","계",비교적 지키지 않는다,18.3,22.7,19.6,19.3,15.8,8.5,7.5
"전국","전체","계",전혀 지키지 않는다,1.6,3.3,2.8,2.8,2.1,1.0,0.8
