대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,체포・감금,외국인,중국,3,5,1,15,12,16,18,10,24,10,3,22
소계,폭력범죄,체포・감금,외국인,일본,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,외국인,몽골,-,2,2,-,-,-,1,-,-,-,1,1
소계,폭력범죄,체포・감금,외국인,베트남,1,3,-,1,1,-,-,2,2,1,1,-
소계,폭력범죄,체포・감금,외국인,태국,-,-,-,-,-,-,-,2,2,-,1,-
소계,폭력범죄,체포・감금,외국인,대만,-,-,-,-,-,-,1,-,1,-,-,1
소계,폭력범죄,체포・감금,외국인,러시아,-,-,-,-,-,-,-,1,5,1,4,3
소계,폭력범죄,체포・감금,외국인,방글라데시,-,-,-,-,-,1,-,-,-,-,-,1
소계,폭력범죄,체포・감금,외국인,스리랑카,-,-,-,-,1,-,-,-,-,-,1,-
소계,폭력범죄,체포・감금,외국인,우즈베키스탄,-,-,-,1,1,1,2,3,4,1,1,1
소계,폭력범죄,체포・감금,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,외국인,캐나다,1,-,-,-,-,1,-,2,-,-,-,-
소계,폭력범죄,체포・감금,외국인,키르기스스탄,-,-,-,-,-,-,-,1,2,-,-,-
소계,폭력범죄,체포・감금,외국인,필리핀,-,-,-,-,-,-,1,-,1,-,-,1
소계,폭력범죄,체포・감금,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,외국인,기타,-,-,3,1,-,2,8,1,-,-,4,4
소계,폭력범죄,협박,한국,소계,3813,4667,4633,5073,9018,16415,16240,17952,21862,21972,21536,21911
소계,폭력범죄,협박,외국인,소계,42,65,49,87,179,410,359,385,515,535,487,540
소계,폭력범죄,협박,외국인,미국,4,7,5,9,11,25,17,16,16,15,15,20
소계,폭력범죄,협박,외국인,중국,25,38,34,51,109,268,251,246,342,310,302,338
소계,폭력범죄,협박,외국인,일본,-,-,1,-,2,1,4,2,5,3,-,6
소계,폭력범죄,협박,외국인,몽골,1,1,-,3,6,9,5,8,11,15,10,15
소계,폭력범죄,협박,외국인,베트남,-,2,1,1,6,35,16,25,46,55,42,31
소계,폭력범죄,협박,외국인,태국,-,-,-,-,2,6,10,10,8,11,15,17
소계,폭력범죄,협박,외국인,대만,1,1,-,1,5,6,8,4,8,8,6,7
소계,폭력범죄,협박,외국인,러시아,-,-,-,4,2,3,9,14,8,6,12,17
소계,폭력범죄,협박,외국인,방글라데시,2,-,-,-,1,-,-,2,1,4,2,-
소계,폭력범죄,협박,외국인,스리랑카,-,-,-,-,1,2,3,3,4,8,3,5
소계,폭력범죄,협박,외국인,우즈베키스탄,4,4,6,3,8,14,4,19,11,31,20,29
소계,폭력범죄,협박,외국인,인도네시아,-,-,-,-,1,-,-,2,-,-,-,1
소계,폭력범죄,협박,외국인,캐나다,-,3,-,3,4,2,6,4,5,7,10,5
소계,폭력범죄,협박,외국인,키르기스스탄,-,-,-,1,-,3,1,-,3,1,3,3
소계,폭력범죄,협박,외국인,필리핀,-,1,-,3,5,3,4,4,7,10,9,5
소계,폭력범죄,협박,외국인,파키스탄,-,2,1,2,-,2,1,3,4,-,4,-
소계,폭력범죄,협박,외국인,기타,5,6,1,6,16,31,20,23,36,51,34,41
소계,폭력범죄,약취・유인,한국,소계,334,266,253,243,236,297,279,256,340,291,313,305
소계,폭력범죄,약취・유인,외국인,소계,6,4,7,9,16,8,6,4,11,5,5,16
소계,폭력범죄,약취・유인,외국인,미국,1,-,2,-,-,-,1,-,-,-,-,1
소계,폭력범죄,약취・유인,외국인,중국,-,2,2,2,4,-,2,1,3,1,2,9
소계,폭력범죄,약취・유인,외국인,일본,-,-,-,-,-,-,-,-,1,-,-,-
소계,폭력범죄,약취・유인,외국인,몽골,-,-,-,1,3,-,-,-,1,-,-,-
소계,폭력범죄,약취・유인,외국인,베트남,2,1,1,2,2,5,2,-,2,-,-,2
소계,폭력범죄,약취・유인,외국인,태국,-,-,-,-,-,-,-,-,-,-,1,-
소계,폭력범죄,약취・유인,외국인,대만,1,-,-,-,-,-,-,1,-,-,-,-
소계,폭력범죄,약취・유인,외국인,러시아,-,-,-,-,-,-,-,-,-,-,-,1
소계,폭력범죄,약취・유인,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,외국인,우즈베키스탄,-,1,1,3,2,1,-,1,1,2,-,-
소계,폭력범죄,약취・유인,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,1,-
소계,폭력범죄,약취・유인,외국인,캐나다,-,-,-,-,-,-,-,-,-,1,-,-
소계,폭력범죄,약취・유인,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,외국인,파키스탄,2,-,-,-,3,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,외국인,기타,-,-,1,1,2,2,1,1,3,1,1,3
소계,폭력범죄,폭력행위등,한국,소계,99791,102799,86460,76618,69509,39146,35193,30576,27477,24383,19939,20728
소계,폭력범죄,폭력행위등,외국인,소계,3632,3457,3398,3495,3493,1817,1454,1309,1148,959,587,698
소계,폭력범죄,폭력행위등,외국인,미국,141,107,118,93,88,75,45,45,33,19,17,28
소계,폭력범죄,폭력행위등,외국인,중국,2246,2322,2325,2453,2385,1243,954,838,709,463,356,428
소계,폭력범죄,폭력행위등,외국인,일본,8,7,7,7,7,8,4,-,5,-,2,-
소계,폭력범죄,폭력행위등,외국인,몽골,199,211,158,141,114,85,61,54,28,44,16,15
소계,폭력범죄,폭력행위등,외국인,베트남,380,308,272,245,169,61,56,45,61,61,32,57
소계,폭력범죄,폭력행위등,외국인,태국,101,86,70,71,126,43,44,71,51,25,22,26
소계,폭력범죄,폭력행위등,외국인,대만,33,37,31,21,23,16,4,12,10,3,6,4
소계,폭력범죄,폭력행위등,외국인,러시아,21,20,25,26,31,18,47,44,50,42,11,26
소계,폭력범죄,폭력행위등,외국인,방글라데시,36,20,26,11,10,2,8,4,4,11,-,1
소계,폭력범죄,폭력행위등,외국인,스리랑카,115,73,57,73,107,41,14,21,19,16,3,3
소계,폭력범죄,폭력행위등,외국인,우즈베키스탄,96,46,81,102,106,54,50,74,31,39,25,29
소계,폭력범죄,폭력행위등,외국인,인도네시아,25,17,12,14,47,16,4,4,9,29,4,11
소계,폭력범죄,폭력행위등,외국인,캐나다,21,25,9,12,14,12,14,4,7,3,7,1
소계,폭력범죄,폭력행위등,외국인,키르기스스탄,-,5,4,4,6,2,5,5,5,7,1,3
소계,폭력범죄,폭력행위등,외국인,필리핀,66,24,34,23,29,21,21,4,4,11,5,5
소계,폭력범죄,폭력행위등,외국인,파키스탄,23,27,13,9,18,2,20,1,3,-,15,-
소계,폭력범죄,폭력행위등,외국인,기타,121,122,156,190,213,118,103,83,119,186,65,61
소계,폭력범죄,공갈,한국,소계,3768,5430,3173,3640,2890,3561,3469,3431,3389,3247,2664,2626
소계,폭력범죄,공갈,외국인,소계,18,25,16,34,40,77,104,90,163,187,111,128
소계,폭력범죄,공갈,외국인,미국,2,4,3,-,1,2,3,-,4,1,3,3
소계,폭력범죄,공갈,외국인,중국,10,17,6,26,32,66,80,75,107,157,97,112
소계,폭력범죄,공갈,외국인,일본,1,-,-,-,-,1,-,-,-,-,-,-
소계,폭력범죄,공갈,외국인,몽골,-,1,1,-,-,2,-,1,-,-,2,1
소계,폭력범죄,공갈,외국인,베트남,-,-,2,-,-,-,4,-,1,-,2,4
소계,폭력범죄,공갈,외국인,태국,-,-,-,3,-,1,-,2,-,-,1,1
소계,폭력범죄,공갈,외국인,대만,-,-,1,-,1,-,-,1,-,1,1,-
소계,폭력범죄,공갈,외국인,러시아,-,-,-,-,-,-,3,-,2,-,-,-
소계,폭력범죄,공갈,외국인,방글라데시,2,-,-,-,3,1,1,-,1,-,-,-
소계,폭력범죄,공갈,외국인,스리랑카,-,-,-,-,-,-,1,-,-,1,-,-
소계,폭력범죄,공갈,외국인,우즈베키스탄,-,3,2,1,1,2,4,-,2,1,2,3
소계,폭력범죄,공갈,외국인,인도네시아,-,-,-,-,-,-,-,-,3,1,-,-
소계,폭력범죄,공갈,외국인,캐나다,2,-,-,3,1,-,4,-,-,-,-,-
소계,폭력범죄,공갈,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,1,-
소계,폭력범죄,공갈,외국인,필리핀,-,-,-,-,-,1,-,-,-,-,-,-
소계,폭력범죄,공갈,외국인,파키스탄,1,-,-,-,-,1,1,-,-,-,-,1
소계,폭력범죄,공갈,외국인,기타,-,-,1,1,1,-,3,11,43,25,2,3
소계,폭력범죄,손괴,한국,소계,28319,29092,28751,29285,31044,34305,34192,34938,37621,37927,35165,36093
소계,폭력범죄,손괴,외국인,소계,430,539,544,622,705,690,708,752,817,789,679,766
소계,폭력범죄,손괴,외국인,미국,60,61,51,71,63,61,64,58,75,63,48,72
소계,폭력범죄,손괴,외국인,중국,255,309,328,378,434,421,413,430,446,402,376,385
소계,폭력범죄,손괴,외국인,일본,2,2,6,3,8,8,2,6,2,5,1,2
소계,폭력범죄,손괴,외국인,몽골,43,53,44,39,44,39,50,50,51,49,53,60
소계,폭력범죄,손괴,외국인,베트남,8,13,17,17,21,14,16,16,31,36,31,39
소계,폭력범죄,손괴,외국인,태국,-,4,2,1,6,5,5,10,7,9,7,13
소계,폭력범죄,손괴,외국인,대만,6,14,11,11,9,10,4,7,13,10,12,9
소계,폭력범죄,손괴,외국인,러시아,3,3,9,11,13,24,14,40,43,32,28,25
소계,폭력범죄,손괴,외국인,방글라데시,-,2,-,1,-,1,1,1,3,3,2,1
소계,폭력범죄,손괴,외국인,스리랑카,1,1,2,-,4,2,3,2,1,4,3,1
소계,폭력범죄,손괴,외국인,우즈베키스탄,13,13,21,23,29,21,32,36,32,46,28,32
소계,폭력범죄,손괴,외국인,인도네시아,-,-,1,1,-,-,1,1,2,-,1,1
소계,폭력범죄,손괴,외국인,캐나다,9,10,12,9,9,16,10,15,15,10,10,12
소계,폭력범죄,손괴,외국인,키르기스스탄,1,1,1,3,1,-,2,1,2,6,2,5
소계,폭력범죄,손괴,외국인,필리핀,3,1,1,2,3,4,8,5,4,9,5,6
소계,폭력범죄,손괴,외국인,파키스탄,-,2,1,3,-,2,3,3,3,4,-,3
소계,폭력범죄,손괴,외국인,기타,26,50,37,49,61,62,80,71,87,101,72,100
소계,지능범죄,소계,한국,소계,325838,278012,301726,283211,290598,283258,265579,288268,304394,302695,206450,215520
소계,지능범죄,소계,외국인,소계,3561,2231,2299,2888,3781,3767,3538,3846,4388,5011,3931,4180
소계,지능범죄,소계,외국인,미국,247,209,220,245,244,243,258,277,287,229,179,220
소계,지능범죄,소계,외국인,중국,2214,1249,1275,1847,2543,2435,2146,2203,2418,2942,2434,2446
소계,지능범죄,소계,외국인,일본,31,26,20,30,28,25,27,30,22,37,21,26
소계,지능범죄,소계,외국인,몽골,81,52,52,43,77,68,82,83,88,97,53,113
소계,지능범죄,소계,외국인,베트남,408,285,239,160,202,209,227,212,407,457,347,431
소계,지능범죄,소계,외국인,태국,36,29,40,26,31,33,35,42,47,94,77,174
소계,지능범죄,소계,외국인,대만,164,72,98,124,81,88,78,97,107,95,68,68
소계,지능범죄,소계,외국인,러시아,25,11,18,31,36,49,79,60,72,77,91,76
소계,지능범죄,소계,외국인,방글라데시,15,15,6,12,9,17,12,5,13,30,17,11
소계,지능범죄,소계,외국인,스리랑카,35,23,24,23,29,21,25,23,23,18,8,4
소계,지능범죄,소계,외국인,우즈베키스탄,35,29,42,54,65,71,101,111,127,167,149,155
소계,지능범죄,소계,외국인,인도네시아,19,6,9,13,11,25,18,10,19,28,28,16
소계,지능범죄,소계,외국인,캐나다,28,46,45,37,48,46,34,60,35,41,44,36
소계,지능범죄,소계,외국인,키르기스스탄,8,5,3,4,13,14,11,15,5,7,8,9
소계,지능범죄,소계,외국인,필리핀,26,21,16,21,38,59,30,39,32,57,44,35
소계,지능범죄,소계,외국인,파키스탄,54,23,34,19,23,31,24,20,22,35,27,9
소계,지능범죄,소계,외국인,기타,135,130,158,199,303,333,351,559,664,600,336,351
소계,지능범죄,직무유기,한국,소계,669,823,802,801,859,642,663,713,788,946,810,834
소계,지능범죄,직무유기,외국인,소계,-,-,-,-,1,-,-,-,-,1,-,-
소계,지능범죄,직무유기,외국인,미국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,중국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,일본,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,몽골,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,베트남,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,태국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,대만,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,러시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,우즈베키스탄,-,-,-,-,1,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,캐나다,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,외국인,기타,-,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,직권남용,한국,소계,357,409,523,595,587,577,679,811,974,1021,857,1019
소계,지능범죄,직권남용,외국인,소계,-,-,-,-,-,-,-,-,-,-,-,1
소계,지능범죄,직권남용,외국인,미국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,중국,-,-,-,-,-,-,-,-,-,-,-,1
소계,지능범죄,직권남용,외국인,일본,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,몽골,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,베트남,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,태국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,대만,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,러시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,우즈베키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,캐나다,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,외국인,기타,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,한국,소계,1238,829,854,847,839,784,1126,1130,938,803,650,702
소계,지능범죄,증수뢰,외국인,소계,1,3,1,1,3,4,2,1,4,4,1,1
소계,지능범죄,증수뢰,외국인,미국,-,1,-,-,1,-,-,-,1,-,-,-
소계,지능범죄,증수뢰,외국인,중국,1,2,1,-,2,4,2,1,3,2,1,1
소계,지능범죄,증수뢰,외국인,일본,-,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,증수뢰,외국인,몽골,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,베트남,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,태국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,대만,-,-,-,1,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,러시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,우즈베키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,캐나다,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,외국인,기타,-,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,통화,한국,소계,112,162,427,329,284,216,523,250,130,78,58,40
소계,지능범죄,통화,외국인,소계,9,1,7,5,2,4,8,5,13,8,-,2
소계,지능범죄,통화,외국인,미국,3,-,-,-,-,1,4,-,2,-,-,-
소계,지능범죄,통화,외국인,중국,-,-,-,1,1,1,2,-,6,1,-,1
소계,지능범죄,통화,외국인,일본,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,몽골,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,베트남,1,-,1,-,-,-,1,-,-,-,-,-
소계,지능범죄,통화,외국인,태국,-,-,1,1,-,-,-,-,-,1,-,-
소계,지능범죄,통화,외국인,대만,-,-,-,-,-,-,-,1,1,2,-,-
소계,지능범죄,통화,외국인,러시아,1,-,-,-,-,-,-,2,2,1,-,-
소계,지능범죄,통화,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,스리랑카,-,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,통화,외국인,우즈베키스탄,3,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,통화,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,캐나다,-,-,-,-,-,1,-,-,-,-,-,-
소계,지능범죄,통화,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,필리핀,1,-,2,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,파키스탄,-,-,3,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,외국인,기타,-,1,-,3,1,1,1,2,2,1,-,1
소계,지능범죄,문서・인장,한국,소계,20878,18680,19805,18932,18406,17505,15478,15322,15854,15138,11204,11579
소계,지능범죄,문서・인장,외국인,소계,1227,799,601,528,616,519,440,254,399,327,237,285
소계,지능범죄,문서・인장,외국인,미국,14,12,13,22,12,12,12,24,20,14,15,8
소계,지능범죄,문서・인장,외국인,중국,709,418,301,297,269,230,215,87,93,96,66,62
소계,지능범죄,문서・인장,외국인,일본,2,1,5,-,1,-,2,3,3,3,-,3
소계,지능범죄,문서・인장,외국인,몽골,18,17,11,9,12,6,8,12,7,3,4,14
소계,지능범죄,문서・인장,외국인,베트남,338,244,162,98,121,123,98,49,189,115,38,107
소계,지능범죄,문서・인장,외국인,태국,25,24,20,13,15,11,8,3,5,5,5,13
소계,지능범죄,문서・인장,외국인,대만,4,3,9,9,5,3,2,4,4,9,5,2
소계,지능범죄,문서・인장,외국인,러시아,2,1,2,2,4,9,10,1,11,9,5,8
소계,지능범죄,문서・인장,외국인,방글라데시,7,7,4,5,4,4,1,1,3,10,2,1
소계,지능범죄,문서・인장,외국인,스리랑카,35,17,11,3,13,10,4,6,2,5,1,-
소계,지능범죄,문서・인장,외국인,우즈베키스탄,7,6,7,18,14,15,17,26,22,18,46,26
소계,지능범죄,문서・인장,외국인,인도네시아,3,4,3,11,3,6,2,-,1,1,2,2
소계,지능범죄,문서・인장,외국인,캐나다,2,3,6,2,5,3,-,3,-,1,3,2
소계,지능범죄,문서・인장,외국인,키르기스스탄,2,2,1,1,3,2,5,-,2,2,1,2
소계,지능범죄,문서・인장,외국인,필리핀,8,11,9,7,7,21,10,1,-,3,2,3
소계,지능범죄,문서・인장,외국인,파키스탄,29,11,16,6,10,12,5,2,2,4,5,4
소계,지능범죄,문서・인장,외국인,기타,22,18,21,25,118,52,41,32,35,29,37,28
소계,지능범죄,유가증권인지,한국,소계,1017,632,547,551,397,373,326,293,204,116,68,78
소계,지능범죄,유가증권인지,외국인,소계,8,1,1,1,2,-,4,2,4,1,-,-
소계,지능범죄,유가증권인지,외국인,미국,1,-,-,-,-,-,-,1,1,1,-,-
소계,지능범죄,유가증권인지,외국인,중국,1,-,-,-,-,-,2,-,2,-,-,-
소계,지능범죄,유가증권인지,외국인,일본,-,-,-,1,-,-,-,1,-,-,-,-
소계,지능범죄,유가증권인지,외국인,몽골,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,베트남,3,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,태국,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,대만,1,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,러시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,우즈베키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,캐나다,-,1,-,-,-,-,-,-,1,-,-,-
소계,지능범죄,유가증권인지,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,필리핀,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,외국인,기타,2,-,1,-,2,-,2,-,-,-,-,-
소계,지능범죄,사기,한국,소계,262539,219696,237887,220165,225486,220561,206059,227013,242988,241119,159695,166300
소계,지능범죄,사기,외국인,소계,2095,1191,1422,2008,2719,2649,2423,2841,3172,3890,3141,3228
소계,지능범죄,사기,외국인,미국,186,150,163,167,179,189,186,182,190,168,128,158
소계,지능범죄,사기,외국인,중국,1407,728,849,1385,2077,1907,1603,1765,1898,2419,2059,2010
소계,지능범죄,사기,외국인,일본,26,20,10,22,21,16,18,20,17,28,18,16
소계,지능범죄,사기,외국인,몽골,52,25,33,30,36,42,37,35,48,71,29,83
소계,지능범죄,사기,외국인,베트남,55,30,58,45,48,58,86,123,159,284,264,274
소계,지능범죄,사기,외국인,태국,6,3,17,9,10,14,20,28,30,71,66,153
소계,지능범죄,사기,외국인,대만,152,51,73,102,63,57,58,69,86,72,47,45
소계,지능범죄,사기,외국인,러시아,18,6,13,21,29,32,49,34,40,47,62,58
소계,지능범죄,사기,외국인,방글라데시,7,7,2,5,3,9,9,4,9,16,12,8
소계,지능범죄,사기,외국인,스리랑카,-,5,11,9,8,5,12,13,18,10,6,3
소계,지능범죄,사기,외국인,우즈베키스탄,23,16,29,24,33,34,50,51,58,109,84,98
소계,지능범죄,사기,외국인,인도네시아,15,2,4,-,7,7,5,4,15,20,19,8
소계,지능범죄,사기,외국인,캐나다,22,34,30,28,28,31,28,49,26,36,31,23
소계,지능범죄,사기,외국인,키르기스스탄,4,3,1,3,9,9,2,10,2,4,7,5
소계,지능범죄,사기,외국인,필리핀,11,7,4,7,25,27,13,24,25,43,39,26
소계,지능범죄,사기,외국인,파키스탄,24,11,13,11,9,17,16,14,11,26,19,5
소계,지능범죄,사기,외국인,기타,87,93,112,140,134,195,231,416,540,466,251,255
소계,지능범죄,횡령,한국,소계,31181,29298,32486,31669,35542,35016,32942,34564,34409,35216,27465,29369
소계,지능범죄,횡령,외국인,소계,208,209,237,306,403,567,638,706,754,714,505,637
소계,지능범죄,횡령,외국인,미국,37,35,34,47,37,31,45,57,54,39,24,48
소계,지능범죄,횡령,외국인,중국,94,97,119,143,188,291,316,344,411,379,293,362
소계,지능범죄,횡령,외국인,일본,2,3,1,5,3,9,7,2,2,5,2,7
소계,지능범죄,횡령,외국인,몽골,11,10,8,4,29,20,36,36,33,22,20,16
소계,지능범죄,횡령,외국인,베트남,11,11,18,17,30,28,42,40,57,51,34,47
소계,지능범죄,횡령,외국인,태국,5,2,2,3,6,8,7,10,12,17,5,8
소계,지능범죄,횡령,외국인,대만,7,12,13,10,11,24,17,19,11,9,12,18
소계,지능범죄,횡령,외국인,러시아,3,4,3,6,3,8,20,23,18,20,24,10
소계,지능범죄,횡령,외국인,방글라데시,1,1,-,2,2,4,2,-,1,4,3,2
소계,지능범죄,횡령,외국인,스리랑카,-,1,2,11,8,6,9,4,3,2,1,1
소계,지능범죄,횡령,외국인,우즈베키스탄,2,6,6,12,17,22,34,33,46,37,19,31
소계,지능범죄,횡령,외국인,인도네시아,1,-,2,2,1,12,11,6,2,7,7,6
소계,지능범죄,횡령,외국인,캐나다,3,7,7,7,11,8,2,5,5,4,8,9
소계,지능범죄,횡령,외국인,키르기스스탄,2,-,1,-,1,3,4,5,1,1,-,2
소계,지능범죄,횡령,외국인,필리핀,6,3,1,7,6,11,7,14,7,11,3,6
소계,지능범죄,횡령,외국인,파키스탄,1,1,2,2,4,2,3,4,9,5,3,-
소계,지능범죄,횡령,외국인,기타,22,16,18,28,46,80,76,104,82,101,47,64
소계,지능범죄,배임,한국,소계,7847,7483,8395,9322,8198,7584,7783,8172,8109,8258,5643,5599
소계,지능범죄,배임,외국인,소계,13,27,30,39,35,24,23,37,42,66,47,26
소계,지능범죄,배임,외국인,미국,6,11,10,9,15,10,11,13,19,7,12,6
소계,지능범죄,배임,외국인,중국,2,4,5,21,6,2,6,6,5,45,15,9
소계,지능범죄,배임,외국인,일본,1,2,4,2,3,-,-,4,-,-,1,-
소계,지능범죄,배임,외국인,몽골,-,-,-,-,-,-,1,-,-,1,-,-
소계,지능범죄,배임,외국인,베트남,-,-,-,-,3,-,-,-,2,7,11,3
소계,지능범죄,배임,외국인,태국,-,-,-,-,-,-,-,1,-,-,1,-
소계,지능범죄,배임,외국인,대만,-,6,3,2,2,4,1,4,5,3,4,3
소계,지능범죄,배임,외국인,러시아,1,-,-,2,-,-,-,-,1,-,-,-
소계,지능범죄,배임,외국인,방글라데시,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,배임,외국인,스리랑카,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,배임,외국인,우즈베키스탄,-,1,-,-,-,-,-,1,1,2,-,-
