대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,살인미수등,외국인,러시아,-,-,-,1,1,2,3,-,2,2,-,1
소계,강력범죄,살인미수등,외국인,방글라데시,2,1,-,-,1,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,외국인,스리랑카,1,6,-,1,1,1,1,1,1,-,-,-
소계,강력범죄,살인미수등,외국인,우즈베키스탄,1,2,-,2,6,2,1,-,3,1,-,6
소계,강력범죄,살인미수등,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,외국인,캐나다,-,-,-,1,-,-,-,-,-,-,1,-
소계,강력범죄,살인미수등,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,1,-,-
소계,강력범죄,살인미수등,외국인,필리핀,1,1,-,2,-,-,-,-,1,-,1,-
소계,강력범죄,살인미수등,외국인,파키스탄,-,-,-,-,-,-,-,-,-,1,1,-
소계,강력범죄,살인미수등,외국인,기타,1,3,1,3,3,9,9,10,5,7,3,3
소계,강력범죄,강도,한국,소계,4737,3181,2489,2004,1881,1639,1393,1114,1266,1136,697,682
소계,강력범죄,강도,외국인,소계,153,141,104,74,118,77,63,51,70,66,51,82
소계,강력범죄,강도,외국인,미국,20,10,7,3,10,3,1,4,1,-,1,2
소계,강력범죄,강도,외국인,중국,54,50,39,30,37,37,31,17,24,21,16,40
소계,강력범죄,강도,외국인,일본,-,-,-,-,1,-,-,-,-,-,-,-
소계,강력범죄,강도,외국인,몽골,16,12,9,5,7,5,3,-,3,4,-,1
소계,강력범죄,강도,외국인,베트남,33,28,14,10,11,8,5,11,1,3,2,18
소계,강력범죄,강도,외국인,태국,-,7,1,-,8,1,2,3,-,3,2,-
소계,강력범죄,강도,외국인,대만,2,-,2,1,6,2,-,-,-,2,-,-
소계,강력범죄,강도,외국인,러시아,4,5,9,3,5,5,4,4,13,2,5,8
소계,강력범죄,강도,외국인,방글라데시,-,-,-,-,2,-,-,-,-,4,-,-
소계,강력범죄,강도,외국인,스리랑카,1,6,1,1,9,-,1,2,-,2,-,-
소계,강력범죄,강도,외국인,우즈베키스탄,3,10,18,8,10,3,3,-,5,5,10,7
소계,강력범죄,강도,외국인,인도네시아,-,5,-,3,4,-,-,-,-,-,-,-
소계,강력범죄,강도,외국인,캐나다,1,-,-,-,1,-,1,1,1,-,-,-
소계,강력범죄,강도,외국인,키르기스스탄,-,-,-,-,-,-,-,-,3,3,-,2
소계,강력범죄,강도,외국인,필리핀,6,-,1,-,-,2,-,-,-,-,-,-
소계,강력범죄,강도,외국인,파키스탄,1,-,-,-,2,2,-,-,-,2,-,-
소계,강력범죄,강도,외국인,기타,12,8,3,10,5,9,12,9,19,15,15,4
소계,강력범죄,강간・강제추행,한국,소계,17340,17664,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,소계,312,348,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,미국,27,24,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,중국,101,120,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,일본,3,4,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,몽골,28,30,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,베트남,23,24,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,태국,-,2,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,대만,7,1,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,러시아,4,6,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,방글라데시,8,14,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,스리랑카,19,17,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,우즈베키스탄,25,29,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,인도네시아,1,6,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,캐나다,3,9,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,키르기스스탄,3,2,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,필리핀,5,5,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,파키스탄,20,13,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,외국인,기타,35,42,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간,한국,소계,-,-,5735,5421,5507,5703,5822,5825,5974,5974,5439,5376
