대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,강도,지인,179,138,117,89,110,84,80,77,87,53,60,51
소계,강력범죄,강도,타인,3172,2495,1893,1592,1481,1235,995,785,890,805,513,543
소계,강력범죄,강도,기타,695,235,146,43,73,102,63,29,35,40,16,25
소계,강력범죄,강도,미상,490,250,221,177,153,158,138,185,222,212,93,73
소계,강력범죄,강간・강제추행,국가,1,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,공무원,12,7,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,고용자,114,98,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,피고용자,125,203,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,직장동료,206,359,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,친구,359,533,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,애인,388,407,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,동거친족,292,345,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,기타친족,97,175,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,거래상대방,91,111,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,이웃,451,576,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,지인,835,1380,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,타인,8506,9419,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,기타,1811,314,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간・강제추행,미상,4364,4085,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,강간,국가,-,-,-,-,-,-,1,5,1,-,1,-
소계,강력범죄,강간,공무원,-,-,-,1,1,1,3,-,1,1,-,1
소계,강력범죄,강간,고용자,-,-,27,24,23,25,30,29,22,33,13,18
소계,강력범죄,강간,피고용자,-,-,49,61,52,46,62,37,43,29,16,19
소계,강력범죄,강간,직장동료,-,-,144,150,129,146,175,124,124,136,125,130
소계,강력범죄,강간,친구,-,-,275,318,260,323,303,234,230,206,218,209
소계,강력범죄,강간,애인,-,-,398,338,358,453,407,403,440,420,394,384
소계,강력범죄,강간,동거친족,-,-,185,185,192,193,223,212,186,165,169,151
소계,강력범죄,강간,기타친족,-,-,82,63,76,72,71,74,74,58,70,74
소계,강력범죄,강간,거래상대방,-,-,28,25,24,28,32,28,19,29,12,11
소계,강력범죄,강간,이웃,-,-,139,123,116,138,93,92,91,63,55,39
소계,강력범죄,강간,지인,-,-,665,712,614,608,617,835,946,1021,927,860
소계,강력범죄,강간,타인,-,-,1988,2060,2059,1907,1982,1488,1525,1548,1508,1492
소계,강력범죄,강간,기타,-,-,479,176,241,223,162,211,211,181,237,218
