대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,손괴,고용자,161,113,99,109,119,119,102,92,79,81,72,57
소계,폭력범죄,손괴,피고용자,45,60,58,42,62,53,46,76,75,80,55,66
소계,폭력범죄,손괴,직장동료,139,179,164,162,193,196,215,187,187,179,176,173
소계,폭력범죄,손괴,친구,169,238,236,235,243,261,250,175,193,194,197,196
소계,폭력범죄,손괴,애인,1086,1096,1122,1269,1286,1502,1633,1581,1748,1602,1681,1741
소계,폭력범죄,손괴,동거친족,504,640,855,943,1894,2528,2292,2667,3832,3856,3942,3758
소계,폭력범죄,손괴,기타친족,471,472,472,506,630,719,679,711,805,762,720,776
소계,폭력범죄,손괴,거래상대방,480,697,649,680,586,663,677,637,597,586,481,469
소계,폭력범죄,손괴,이웃,1703,1736,1734,1830,1702,1983,2035,1994,2118,2209,2092,1813
소계,폭력범죄,손괴,지인,1065,1042,1077,1111,1085,1169,1074,1610,1617,1693,1567,1343
소계,폭력범죄,손괴,타인,15585,16783,17353,17975,17388,18450,18640,17879,18304,18298,16567,17679
소계,폭력범죄,손괴,기타,3635,2995,1818,1042,1801,1969,1522,1318,1371,1445,1508,1597
소계,폭력범죄,손괴,미상,3583,3401,3526,3893,4649,5266,5618,6647,7411,7634,6706,7106
소계,지능범죄,소계,국가,12636,10830,10584,10066,8970,8783,8601,7202,8042,6063,3089,3237
소계,지능범죄,소계,공무원,265,249,199,222,219,197,191,133,198,122,139,101
소계,지능범죄,소계,고용자,3557,3134,3236,3237,3492,3124,2768,2488,2216,2019,1545,1769
소계,지능범죄,소계,피고용자,724,1030,1131,1050,1181,1033,939,1420,1397,1423,1074,1235
소계,지능범죄,소계,직장동료,982,1179,1295,1375,1454,1545,1532,1370,1309,1278,1083,1123
소계,지능범죄,소계,친구,1511,1621,1911,1956,2172,2306,2175,1791,1797,1841,1338,1399
소계,지능범죄,소계,애인,959,927,1005,1002,1135,1177,1199,1229,1193,1221,894,1024
소계,지능범죄,소계,동거친족,322,337,322,275,276,261,268,218,207,196,171,197
소계,지능범죄,소계,기타친족,1132,1204,1276,1101,1117,981,953,1054,1004,843,797,776
소계,지능범죄,소계,거래상대방,26705,27792,30729,29683,27743,27956,26362,24690,25464,24748,17778,17462
소계,지능범죄,소계,이웃,1515,1533,1445,1433,1351,1432,1266,923,745,685,510,499
소계,지능범죄,소계,지인,5096,5493,6741,6560,7918,7996,7568,12240,13012,12752,9570,10286
소계,지능범죄,소계,타인,39972,45279,57781,60088,68176,66684,66008,72472,82191,84290,66830,66886
소계,지능범죄,소계,기타,38837,30189,20850,22379,22384,22177,19220,18412,21422,22316,18517,18676
소계,지능범죄,소계,미상,195186,149446,165520,145672,146791,141373,130067,146472,148585,147909,87046,95030
소계,지능범죄,직무유기,국가,116,97,92,83,111,104,82,36,52,41,24,29
소계,지능범죄,직무유기,공무원,4,-,-,1,1,1,-,-,3,7,8,2
소계,지능범죄,직무유기,고용자,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,피고용자,-,-,-,-,-,-,-,1,-,-,-,-
소계,지능범죄,직무유기,직장동료,-,-,-,-,-,1,-,5,-,-,-,1
소계,지능범죄,직무유기,친구,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,애인,-,-,-,-,-,1,-,-,-,-,-,-
소계,지능범죄,직무유기,동거친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,기타친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,거래상대방,10,5,-,-,-,5,2,-,2,2,2,2
소계,지능범죄,직무유기,이웃,1,-,-,1,1,-,-,-,-,-,-,1
소계,지능범죄,직무유기,지인,-,1,1,-,3,-,-,4,-,-,-,1
소계,지능범죄,직무유기,타인,9,37,39,35,23,20,20,28,25,21,50,10
소계,지능범죄,직무유기,기타,58,56,37,24,33,21,16,12,15,6,23,11
소계,지능범죄,직무유기,미상,471,627,633,657,688,489,543,627,691,870,703,777
소계,지능범죄,직권남용,국가,20,32,23,17,23,28,35,67,38,43,25,17
소계,지능범죄,직권남용,공무원,7,5,3,1,8,8,11,9,21,13,8,1
소계,지능범죄,직권남용,고용자,1,-,-,1,1,-,-,1,-,-,-,-
소계,지능범죄,직권남용,피고용자,-,-,-,-,-,-,1,1,1,-,-,-
소계,지능범죄,직권남용,직장동료,-,4,6,2,1,3,5,15,5,5,8,3
소계,지능범죄,직권남용,친구,-,-,1,-,1,1,-,-,-,-,-,-
소계,지능범죄,직권남용,애인,-,-,-,-,1,-,-,-,-,-,-,-
소계,지능범죄,직권남용,동거친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직권남용,기타친족,-,-,-,-,-,1,1,-,-,-,-,-
소계,지능범죄,직권남용,거래상대방,1,7,1,5,7,1,5,10,4,4,2,5
소계,지능범죄,직권남용,이웃,-,-,-,-,-,-,-,1,-,-,-,-
소계,지능범죄,직권남용,지인,-,1,-,-,-,1,-,-,-,1,1,1
소계,지능범죄,직권남용,타인,42,25,67,50,29,25,50,46,54,49,48,14
소계,지능범죄,직권남용,기타,31,24,17,26,21,26,35,29,35,16,57,28
소계,지능범죄,직권남용,미상,255,311,405,493,495,483,536,632,816,890,708,951
소계,지능범죄,증수뢰,국가,550,421,400,445,309,420,558,537,374,271,165,182
소계,지능범죄,증수뢰,공무원,15,21,6,4,37,8,24,6,5,5,3,3
소계,지능범죄,증수뢰,고용자,2,-,1,3,3,3,-,-,3,4,1,2
소계,지능범죄,증수뢰,피고용자,2,1,-,-,-,1,-,-,3,1,-,1
소계,지능범죄,증수뢰,직장동료,1,-,1,1,3,7,2,5,2,6,2,-
소계,지능범죄,증수뢰,친구,-,-,-,-,-,-,-,-,2,1,2,-
소계,지능범죄,증수뢰,애인,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,동거친족,-,-,-,-,-,-,-,-,-,1,-,-
소계,지능범죄,증수뢰,기타친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,거래상대방,67,22,28,9,9,26,33,15,14,14,7,8
소계,지능범죄,증수뢰,이웃,1,2,-,-,-,1,-,-,-,-,-,-
소계,지능범죄,증수뢰,지인,4,6,3,4,8,3,17,15,15,9,4,4
소계,지능범죄,증수뢰,타인,67,14,54,23,34,15,70,61,88,84,41,25
소계,지능범죄,증수뢰,기타,313,174,184,167,211,132,176,174,181,127,155,170
소계,지능범죄,증수뢰,미상,217,171,178,192,228,172,248,318,255,284,271,308
소계,지능범죄,통화,국가,51,38,89,63,64,53,59,20,18,7,13,7
소계,지능범죄,통화,공무원,-,-,1,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,고용자,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,피고용자,-,1,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,직장동료,-,-,1,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,친구,-,1,-,-,1,1,-,-,-,-,-,-
소계,지능범죄,통화,애인,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,동거친족,-,-,-,-,-,-,1,-,-,-,-,-
소계,지능범죄,통화,기타친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,거래상대방,7,-,5,2,10,1,3,-,1,1,1,1
소계,지능범죄,통화,이웃,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,지인,-,-,-,-,1,-,-,-,-,-,-,-
소계,지능범죄,통화,타인,13,36,26,18,22,21,62,47,34,10,6,6
소계,지능범죄,통화,기타,16,29,6,7,7,17,15,8,3,9,3,2
소계,지능범죄,통화,미상,34,58,306,244,181,127,391,180,87,59,35,26
소계,지능범죄,문서・인장,국가,5357,4336,4242,3246,3018,2907,2431,1802,1969,1695,1143,1326
소계,지능범죄,문서・인장,공무원,118,118,107,108,113,112,72,39,114,61,85,70
소계,지능범죄,문서・인장,고용자,86,87,105,87,78,80,84,90,91,69,66,56
소계,지능범죄,문서・인장,피고용자,24,48,39,45,61,53,44,60,49,52,48,37
소계,지능범죄,문서・인장,직장동료,88,102,110,126,122,141,121,101,97,94,96,82
소계,지능범죄,문서・인장,친구,80,102,138,165,204,212,146,117,96,86,74,58
소계,지능범죄,문서・인장,애인,59,69,46,71,71,63,47,69,45,61,36,29
소계,지능범죄,문서・인장,동거친족,234,232,224,206,207,187,187,152,149,136,119,128
소계,지능범죄,문서・인장,기타친족,361,371,381,397,388,374,313,357,352,289,309,267
소계,지능범죄,문서・인장,거래상대방,743,701,923,1034,795,825,810,599,614,557,447,377
소계,지능범죄,문서・인장,이웃,95,121,96,98,99,117,90,90,72,61,54,52
소계,지능범죄,문서・인장,지인,215,289,334,371,453,441,359,486,524,529,419,397
소계,지능범죄,문서・인장,타인,1411,1935,2392,2664,2496,2320,2051,1679,1682,1730,1509,1568
소계,지능범죄,문서・인장,기타,2863,2204,1782,1685,1780,1617,1244,1047,1182,1238,1096,1411
소계,지능범죄,문서・인장,미상,10371,8764,9487,9157,9137,8575,7919,8888,9217,8807,5940,6006
소계,지능범죄,유가증권인지,국가,45,23,40,51,21,21,25,22,16,10,-,4
소계,지능범죄,유가증권인지,공무원,-,-,-,-,-,-,4,-,-,-,-,-
소계,지능범죄,유가증권인지,고용자,4,4,2,5,3,1,1,1,4,-,-,-
소계,지능범죄,유가증권인지,피고용자,-,-,-,2,1,-,2,1,-,-,-,-
소계,지능범죄,유가증권인지,직장동료,3,1,-,2,-,2,2,1,1,1,1,1
소계,지능범죄,유가증권인지,친구,1,4,2,1,2,2,2,2,-,-,1,1
소계,지능범죄,유가증권인지,애인,1,-,1,2,1,-,-,2,1,-,-,-
소계,지능범죄,유가증권인지,동거친족,7,2,2,-,2,5,2,-,-,1,1,1
소계,지능범죄,유가증권인지,기타친족,7,5,5,1,1,5,2,2,4,-,2,3
소계,지능범죄,유가증권인지,거래상대방,71,49,30,47,35,29,25,12,10,7,6,3
소계,지능범죄,유가증권인지,이웃,2,-,1,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,지인,11,6,12,12,7,13,8,6,9,8,2,2
소계,지능범죄,유가증권인지,타인,93,77,66,64,59,38,44,30,14,7,7,7
소계,지능범죄,유가증권인지,기타,97,63,32,40,34,23,26,5,12,10,7,4
소계,지능범죄,유가증권인지,미상,683,399,355,325,233,234,187,211,137,73,41,52
소계,지능범죄,사기,국가,5568,5101,4738,5254,4465,4446,4688,4158,5092,3515,1454,1469
소계,지능범죄,사기,공무원,103,97,70,92,45,63,75,69,41,24,34,19
소계,지능범죄,사기,고용자,1630,1245,1270,1319,1395,1211,1074,966,885,798,578,720
소계,지능범죄,사기,피고용자,353,521,557,519,515,497,469,571,576,523,421,492
소계,지능범죄,사기,직장동료,539,658,700,754,822,936,922,783,755,708,596,676
소계,지능범죄,사기,친구,1229,1285,1518,1562,1710,1862,1829,1509,1546,1589,1152,1219
소계,지능범죄,사기,애인,829,806,889,853,995,1056,1088,1099,1074,1097,808,944
소계,지능범죄,사기,동거친족,61,77,72,56,58,55,59,54,45,48,38,54
소계,지능범죄,사기,기타친족,420,455,504,402,408,353,378,375,386,333,284,340
소계,지능범죄,사기,거래상대방,23385,24382,26702,25334,23861,24288,22935,21919,22728,22241,16077,15946
소계,지능범죄,사기,이웃,1096,1072,1001,999,964,957,861,561,453,401,283,277
소계,지능범죄,사기,지인,4191,4464,5607,5413,6558,6772,6467,10577,11358,11092,8354,9141
소계,지능범죄,사기,타인,33586,37291,46725,49142,55138,52681,51243,58487,67254,68552,52828,51452
소계,지능범죄,사기,기타,30714,23477,15202,16378,16761,16858,14554,14428,17461,18377,14976,14719
소계,지능범죄,사기,미상,160930,119956,133754,114096,114510,111175,101840,114298,116506,115711,64953,72060
소계,지능범죄,횡령,국가,670,575,694,628,652,567,505,370,357,278,183,153
소계,지능범죄,횡령,공무원,16,6,12,12,11,4,5,10,5,7,1,2
소계,지능범죄,횡령,고용자,1607,1573,1618,1565,1682,1514,1289,1186,988,930,714,795
소계,지능범죄,횡령,피고용자,307,395,455,410,487,415,360,639,620,686,449,573
소계,지능범죄,횡령,직장동료,304,354,418,413,436,383,378,379,373,364,303,296
소계,지능범죄,횡령,친구,193,213,234,208,244,216,189,159,143,158,107,116
소계,지능범죄,횡령,애인,69,50,67,74,65,57,63,57,71,63,49,50
소계,지능범죄,횡령,동거친족,20,26,23,12,8,13,19,12,9,8,11,12
소계,지능범죄,횡령,기타친족,313,293,308,263,283,218,216,283,189,186,168,144
소계,지능범죄,횡령,거래상대방,1921,2134,2446,2650,2520,2265,2006,1675,1650,1579,996,958
소계,지능범죄,횡령,이웃,229,245,245,247,227,281,254,219,189,177,139,152
소계,지능범죄,횡령,지인,582,610,663,660,761,654,613,969,929,940,653,643
소계,지능범죄,횡령,타인,4414,5466,7797,7248,9842,11112,11830,11602,12610,13406,12043,13589
소계,지능범죄,횡령,기타,3664,3203,2694,2524,2686,2616,2280,1913,1884,1971,1716,1845
소계,지능범죄,횡령,미상,17080,14364,15049,15061,16041,15268,13573,15797,15146,15177,10438,10678
소계,지능범죄,배임,국가,259,207,266,279,307,237,218,190,126,203,82,50
소계,지능범죄,배임,공무원,2,2,-,4,4,1,-,-,9,5,-,4
소계,지능범죄,배임,고용자,227,225,240,257,330,315,320,244,245,218,186,196
소계,지능범죄,배임,피고용자,38,64,80,74,117,67,63,147,148,161,156,132
소계,지능범죄,배임,직장동료,47,60,59,77,70,72,102,81,76,100,77,64
소계,지능범죄,배임,친구,8,16,18,20,10,12,9,4,10,7,2,5
소계,지능범죄,배임,애인,1,2,2,2,2,-,1,2,2,-,1,1
소계,지능범죄,배임,동거친족,-,-,1,1,1,1,-,-,4,2,2,2
소계,지능범죄,배임,기타친족,31,80,78,38,37,30,43,37,73,35,34,22
소계,지능범죄,배임,거래상대방,500,492,594,602,506,516,543,460,441,343,240,162
소계,지능범죄,배임,이웃,91,93,102,88,60,76,61,52,31,46,34,17
소계,지능범죄,배임,지인,93,116,121,100,127,112,104,183,177,173,137,97
소계,지능범죄,배임,타인,337,398,615,844,533,452,638,492,430,431,298,215
소계,지능범죄,배임,기타,1081,959,896,1528,851,867,874,796,649,562,484,486
소계,지능범죄,배임,미상,5145,4796,5353,5447,5278,4850,4830,5521,5730,6038,3957,4172
소계,풍속범죄,소계,국가,38286,31266,28142,17094,19142,22802,14705,12027,12217,11670,7128,5048
소계,풍속범죄,소계,공무원,41,31,25,24,13,34,34,9,14,8,23,18
소계,풍속범죄,소계,고용자,6,6,6,19,6,13,12,13,12,10,13,11
소계,풍속범죄,소계,피고용자,29,16,15,24,26,22,15,27,24,18,16,10
소계,풍속범죄,소계,직장동료,197,248,214,307,280,273,291,201,208,231,189,160
소계,풍속범죄,소계,친구,162,201,203,248,285,282,422,283,368,413,486,511
소계,풍속범죄,소계,애인,94,159,241,279,310,411,464,502,589,695,792,847
소계,풍속범죄,소계,동거친족,433,656,479,669,121,42,32,53,40,64,60,54
소계,풍속범죄,소계,기타친족,47,102,53,92,47,35,31,23,26,31,19,30
소계,풍속범죄,소계,거래상대방,96,120,106,163,214,241,165,96,112,107,80,143
소계,풍속범죄,소계,이웃,135,187,165,234,201,189,156,141,99,96,85,84
소계,풍속범죄,소계,지인,326,350,311,923,488,602,548,750,876,934,935,902
소계,풍속범죄,소계,타인,3834,4466,5569,12187,10009,10125,10513,8632,9467,9972,10617,13583
소계,풍속범죄,소계,기타,11832,8695,8110,5370,6641,7444,5550,6177,6189,6678,5160,4707
소계,풍속범죄,소계,미상,5865,4402,4375,4061,3300,2634,2843,3249,3538,3744,3427,4883
소계,풍속범죄,성풍속범죄,국가,6200,6903,7501,2936,2348,2055,1383,1466,1126,883,488,320
소계,풍속범죄,성풍속범죄,공무원,12,8,8,4,2,11,6,6,6,3,4,9
소계,풍속범죄,성풍속범죄,고용자,4,5,6,16,5,12,11,12,10,9,10,10
소계,풍속범죄,성풍속범죄,피고용자,7,10,12,8,14,17,12,15,14,17,14,8
소계,풍속범죄,성풍속범죄,직장동료,23,48,54,72,80,125,135,131,130,139,137,131
소계,풍속범죄,성풍속범죄,친구,51,69,78,86,144,170,274,225,315,378,451,475
소계,풍속범죄,성풍속범죄,애인,94,159,233,269,307,409,464,502,589,693,792,847
소계,풍속범죄,성풍속범죄,동거친족,430,651,477,646,114,38,30,53,39,63,59,54
소계,풍속범죄,성풍속범죄,기타친족,43,92,48,84,19,17,27,22,22,23,19,30
소계,풍속범죄,성풍속범죄,거래상대방,41,48,70,68,46,70,79,54,29,34,39,54
소계,풍속범죄,성풍속범죄,이웃,47,74,81,80,74,77,80,65,62,62,60,71
소계,풍속범죄,성풍속범죄,지인,91,124,146,196,173,226,252,429,500,589,644,676
소계,풍속범죄,성풍속범죄,타인,2664,3368,4483,5467,5868,5977,6995,6546,6417,7001,8458,11595
소계,풍속범죄,성풍속범죄,기타,2429,2015,2572,1360,1155,1123,982,1401,1299,1633,1336,1432
소계,풍속범죄,성풍속범죄,미상,3073,2747,2919,2653,1568,880,1316,1786,1915,2019,2038,3639
소계,풍속범죄,도박범죄,국가,32086,24363,20641,14158,16794,20747,13322,10561,11091,10787,6640,4728
소계,풍속범죄,도박범죄,공무원,29,23,17,20,11,23,28,3,8,5,19,9
소계,풍속범죄,도박범죄,고용자,2,1,-,3,1,1,1,1,2,1,3,1
소계,풍속범죄,도박범죄,피고용자,22,6,3,16,12,5,3,12,10,1,2,2
소계,풍속범죄,도박범죄,직장동료,174,200,160,235,200,148,156,70,78,92,52,29
소계,풍속범죄,도박범죄,친구,111,132,125,162,141,112,148,58,53,35,35,36
소계,풍속범죄,도박범죄,애인,-,-,8,10,3,2,-,-,-,2,-,-
소계,풍속범죄,도박범죄,동거친족,3,5,2,23,7,4,2,-,1,1,1,-
소계,풍속범죄,도박범죄,기타친족,4,10,5,8,28,18,4,1,4,8,-,-
소계,풍속범죄,도박범죄,거래상대방,55,72,36,95,168,171,86,42,83,73,41,89
소계,풍속범죄,도박범죄,이웃,88,113,84,154,127,112,76,76,37,34,25,13
소계,풍속범죄,도박범죄,지인,235,226,165,727,315,376,296,321,376,345,291,226
소계,풍속범죄,도박범죄,타인,1170,1098,1086,6720,4141,4148,3518,2086,3050,2971,2159,1988
소계,풍속범죄,도박범죄,기타,9403,6680,5538,4010,5486,6321,4568,4776,4890,5045,3824,3275
소계,풍속범죄,도박범죄,미상,2792,1655,1456,1408,1732,1754,1527,1463,1623,1725,1389,1244
소계,특별경제범죄,소계,국가,12576,11216,9481,10609,9959,8246,8286,7941,8347,6043,4548,4279
소계,특별경제범죄,소계,공무원,123,129,108,146,67,68,74,71,63,52,31,37
소계,특별경제범죄,소계,고용자,1183,563,551,816,377,339,277,164,341,234,151,179
소계,특별경제범죄,소계,피고용자,101,204,155,294,132,111,92,160,279,218,267,179
소계,특별경제범죄,소계,직장동료,189,219,192,214,191,256,243,208,202,258,194,199
소계,특별경제범죄,소계,친구,65,77,86,65,105,83,84,63,73,71,45,43
소계,특별경제범죄,소계,애인,110,152,119,113,130,145,121,127,128,101,57,45
소계,특별경제범죄,소계,동거친족,34,50,50,54,33,53,33,49,53,49,22,22
소계,특별경제범죄,소계,기타친족,101,136,135,147,121,132,150,133,177,122,132,83
소계,특별경제범죄,소계,거래상대방,3704,5225,3829,3576,2901,3053,3162,2520,2492,2342,1314,1277
소계,특별경제범죄,소계,이웃,498,652,559,541,518,490,414,416,374,374,306,255
소계,특별경제범죄,소계,지인,588,868,778,788,843,787,739,1251,1393,1213,847,973
소계,특별경제범죄,소계,타인,22136,29367,28561,32922,34952,30923,29789,32579,35397,28972,18600,19259
소계,특별경제범죄,소계,기타,18372,15019,8895,8935,10618,9599,8412,7839,8283,7491,5811,6556
소계,특별경제범죄,소계,미상,31842,29550,29809,28428,29409,23384,20576,21827,21573,20364,14521,17287
소계,마약범죄,소계,국가,4123,3854,4128,4095,5165,6089,6125,5292,6620,7505,6159,7353
소계,마약범죄,소계,공무원,4,8,2,2,-,7,5,5,8,3,6,10
소계,마약범죄,소계,고용자,-,3,1,5,2,6,2,3,3,3,-,4
소계,마약범죄,소계,피고용자,-,-,1,-,1,-,1,3,3,4,4,3
소계,마약범죄,소계,직장동료,1,1,-,1,2,2,4,5,4,5,1,3
소계,마약범죄,소계,친구,-,2,7,5,5,14,4,7,7,9,7,10
소계,마약범죄,소계,애인,4,3,5,11,11,9,19,10,15,23,21,18
소계,마약범죄,소계,동거친족,1,2,2,-,7,4,4,5,7,8,10,8
소계,마약범죄,소계,기타친족,-,1,-,3,1,-,1,2,3,1,3,1
소계,마약범죄,소계,거래상대방,3,2,9,2,2,6,2,2,4,6,7,10
소계,마약범죄,소계,이웃,-,2,1,-,2,4,4,3,2,1,1,-
소계,마약범죄,소계,지인,10,12,6,7,11,25,20,15,56,46,34,69
소계,마약범죄,소계,타인,66,69,95,108,139,249,277,293,334,465,454,716
소계,마약범죄,소계,기타,357,345,382,528,853,1107,1163,1234,1845,2509,2421,2809
소계,마약범죄,소계,미상,840,427,410,497,712,921,881,798,964,1042,1045,934
소계,보건범죄,소계,국가,14400,13403,15440,14762,12425,13156,11220,9579,10729,12574,24151,33251
소계,보건범죄,소계,공무원,41,26,34,49,30,54,34,33,34,47,92,101
소계,보건범죄,소계,고용자,4,6,10,9,8,7,26,10,6,7,11,15
소계,보건범죄,소계,피고용자,4,11,11,9,6,11,8,11,7,47,14,9
소계,보건범죄,소계,직장동료,8,13,34,12,22,23,15,10,13,15,39,18
소계,보건범죄,소계,친구,4,5,6,8,4,3,5,4,9,3,6,7
소계,보건범죄,소계,애인,4,-,3,-,1,1,2,4,3,2,2,1
소계,보건범죄,소계,동거친족,3,2,3,3,-,-,-,1,1,3,2,1
소계,보건범죄,소계,기타친족,1,5,9,3,2,4,4,1,5,2,6,2
소계,보건범죄,소계,거래상대방,216,338,495,597,434,446,255,213,218,181,177,330
소계,보건범죄,소계,이웃,17,17,8,15,13,12,17,13,10,11,11,16
소계,보건범죄,소계,지인,18,41,36,20,22,38,33,62,39,39,53,87
소계,보건범죄,소계,타인,711,905,1391,1477,1663,1684,1500,1283,1638,1698,2585,3425
소계,보건범죄,소계,기타,2866,2546,3136,2571,3175,3383,2978,2838,2418,3399,7361,12353
소계,보건범죄,소계,미상,2148,2213,2430,2550,2916,2827,3033,2903,2894,3782,4433,7104
소계,환경범죄,소계,국가,2294,2399,2727,2224,2077,2613,3117,2661,3416,2633,2363,2112
소계,환경범죄,소계,공무원,11,9,1,13,8,14,16,20,12,11,39,19
소계,환경범죄,소계,고용자,-,1,4,4,2,-,1,1,4,-,-,2
소계,환경범죄,소계,피고용자,1,2,7,1,1,6,1,1,1,3,2,2
소계,환경범죄,소계,직장동료,-,1,-,-,3,-,2,1,1,1,1,1
소계,환경범죄,소계,친구,-,-,-,-,-,-,-,1,-,-,-,-
소계,환경범죄,소계,애인,-,-,-,-,-,-,-,-,-,-,-,-
소계,환경범죄,소계,동거친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,환경범죄,소계,기타친족,-,1,-,1,7,1,-,-,5,4,-,3
소계,환경범죄,소계,거래상대방,7,10,9,11,12,17,40,13,27,12,2,6
소계,환경범죄,소계,이웃,3,3,6,9,5,4,8,4,3,6,4,2
소계,환경범죄,소계,지인,3,1,-,1,1,6,-,2,1,1,2,6
소계,환경범죄,소계,타인,47,57,81,87,156,123,107,153,197,281,195,155
소계,환경범죄,소계,기타,327,309,338,385,486,558,498,575,663,708,734,874
소계,환경범죄,소계,미상,420,454,415,400,418,460,588,634,758,669,511,507
소계,교통범죄,소계,국가,245984,215303,241039,219586,214782,225297,187040,133294,106064,92011,82721,88347
소계,교통범죄,소계,공무원,315,216,250,229,170,185,185,150,85,86,105,110
소계,교통범죄,소계,고용자,32,19,22,19,20,23,13,18,18,16,29,12
소계,교통범죄,소계,피고용자,183,169,100,85,77,85,53,77,63,46,56,63
소계,교통범죄,소계,직장동료,222,248,215,156,163,140,124,98,102,96,84,53
소계,교통범죄,소계,친구,792,796,672,546,558,459,443,320,270,327,285,220
소계,교통범죄,소계,애인,130,119,108,103,96,77,65,72,52,82,59,43
소계,교통범죄,소계,동거친족,442,427,353,335,293,275,269,250,203,182,167,136
소계,교통범죄,소계,기타친족,148,252,174,117,111,111,115,79,80,73,65,53
소계,교통범죄,소계,거래상대방,481,514,524,408,261,211,243,181,214,190,181,153
소계,교통범죄,소계,이웃,709,884,837,706,624,630,572,504,431,374,337,277
소계,교통범죄,소계,지인,415,406,362,320,310,242,226,454,393,408,414,322
소계,교통범죄,소계,타인,135760,148957,144266,145645,143244,124825,115960,114405,107465,103338,92370,85680
소계,교통범죄,소계,기타,23702,24207,22295,25755,28530,35135,33685,25924,22276,23269,26892,31599
소계,교통범죄,소계,미상,115035,119559,125539,139116,160135,167657,145559,137321,146001,135948,107467,33148
소계,노동범죄,소계,국가,1757,1662,1693,1336,1807,4721,4024,1516,412,276,416,342
소계,노동범죄,소계,공무원,3,2,12,4,3,13,12,4,-,1,2,1
소계,노동범죄,소계,고용자,21,15,17,13,26,29,14,15,20,10,17,10
소계,노동범죄,소계,피고용자,10,28,25,17,18,19,20,23,13,12,5,6
소계,노동범죄,소계,직장동료,3,9,3,10,8,8,9,6,8,4,4,3
소계,노동범죄,소계,친구,1,1,-,-,-,-,-,-,1,-,-,-
소계,노동범죄,소계,애인,-,-,-,-,-,-,-,-,-,-,-,-
소계,노동범죄,소계,동거친족,-,-,-,-,-,-,-,1,-,-,-,-
소계,노동범죄,소계,기타친족,-,1,-,1,1,3,2,1,-,1,-,-
소계,노동범죄,소계,거래상대방,16,20,14,28,24,16,16,4,8,13,2,3
소계,노동범죄,소계,이웃,-,-,-,-,-,1,-,-,-,-,-,-
소계,노동범죄,소계,지인,7,2,4,3,3,3,7,5,8,3,4,1
소계,노동범죄,소계,타인,64,99,104,161,89,151,85,75,53,55,44,51
소계,노동범죄,소계,기타,442,329,219,283,187,485,300,185,171,105,75,100
소계,노동범죄,소계,미상,317,210,218,275,229,411,475,238,171,133,101,100
소계,안보범죄,소계,국가,77,86,101,50,63,37,61,25,36,71,206,84
소계,안보범죄,소계,공무원,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,고용자,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,피고용자,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,직장동료,-,-,-,-,-,-,-,-,-,-,1,-
소계,안보범죄,소계,친구,-,-,-,-,3,-,-,-,1,1,-,1
소계,안보범죄,소계,애인,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,동거친족,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,기타친족,-,-,-,-,-,1,-,-,-,-,1,-
소계,안보범죄,소계,거래상대방,-,1,-,-,-,2,19,-,-,20,-,7
소계,안보범죄,소계,이웃,-,1,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,지인,-,-,2,-,-,-,-,-,-,-,1,-
소계,안보범죄,소계,타인,17,14,14,9,63,34,112,95,357,407,230,409
소계,안보범죄,소계,기타,19,6,8,5,15,3,19,16,65,102,81,118
소계,안보범죄,소계,미상,47,18,27,26,30,74,40,51,86,77,219,63
소계,선거범죄,소계,국가,258,1010,233,1454,688,744,447,1610,635,576,122,1452
소계,선거범죄,소계,공무원,2,10,2,12,1,4,3,9,-,3,-,16
소계,선거범죄,소계,고용자,1,-,-,-,-,-,-,-,-,1,-,-
소계,선거범죄,소계,피고용자,-,2,-,-,-,2,-,-,1,-,-,1
소계,선거범죄,소계,직장동료,-,1,1,1,-,2,-,10,-,-,-,7
