대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,지능범죄,유가증권인지,이욕,94,62,59,84,53,43,52,26,34,15,6,9
소계,지능범죄,유가증권인지,사행심,5,3,8,3,4,5,1,-,1,-,2,2
소계,지능범죄,유가증권인지,보복,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,가정불화,1,-,-,-,-,1,-,-,-,-,-,-
소계,지능범죄,유가증권인지,호기심,-,-,-,-,-,-,-,1,1,-,-,-
소계,지능범죄,유가증권인지,유혹,3,-,1,-,-,1,-,-,2,-,-,-
소계,지능범죄,유가증권인지,우발적,6,3,3,2,5,5,3,1,2,-,-,2
소계,지능범죄,유가증권인지,현실불만,-,-,-,3,-,-,-,-,-,-,-,-
소계,지능범죄,유가증권인지,부주의,15,11,7,8,7,3,4,2,2,2,-,2
소계,지능범죄,유가증권인지,기타,202,153,107,126,97,81,81,54,28,26,19,11
소계,지능범죄,유가증권인지,미상,699,401,363,326,233,234,189,211,138,74,41,52
소계,지능범죄,사기,이욕,32189,28327,32199,35328,41790,42581,43558,48581,54950,56910,44998,44391
소계,지능범죄,사기,사행심,2096,2520,2423,2152,2322,2470,2436,3677,4217,4049,3128,3241
소계,지능범죄,사기,보복,33,17,9,19,9,1,2,2,2,-,1,1
소계,지능범죄,사기,가정불화,64,47,62,75,48,49,29,27,15,22,16,34
소계,지능범죄,사기,호기심,255,292,308,357,336,454,254,291,156,311,268,278
소계,지능범죄,사기,유혹,672,664,791,703,676,622,601,590,566,651,504,479
소계,지능범죄,사기,우발적,2948,3195,3201,3184,4653,5290,4817,5968,6372,6496,4621,5019
소계,지능범죄,사기,현실불만,205,193,218,183,188,195,163,136,141,129,57,92
소계,지능범죄,사기,부주의,4679,4075,3642,4273,4034,4227,4434,5909,7422,6002,3484,3343
소계,지능범죄,사기,기타,58584,60689,61635,61247,59120,55702,50032,49978,55488,54421,40617,40391
소계,지능범죄,사기,미상,162909,120868,134821,114652,115029,111619,102156,114695,116831,116018,65142,72259
소계,지능범죄,횡령,이욕,3612,3393,4322,4275,5623,5822,6005,5451,5614,5796,4473,4917
소계,지능범죄,횡령,사행심,280,341,414,464,359,374,374,484,543,483,411,426
소계,지능범죄,횡령,보복,6,3,1,2,7,-,2,-,1,-,-,-
소계,지능범죄,횡령,가정불화,11,10,9,12,13,7,9,8,8,6,3,5
소계,지능범죄,횡령,호기심,300,358,372,337,417,487,490,250,241,341,358,429
소계,지능범죄,횡령,유혹,221,264,277,208,276,285,200,201,189,187,163,198
소계,지능범죄,횡령,우발적,1431,1273,1839,1435,2692,3346,3659,4536,5074,5465,5025,5707
소계,지능범죄,횡령,현실불만,19,23,22,30,17,29,10,20,10,15,18,15
소계,지능범죄,횡령,부주의,558,668,706,705,720,904,946,1123,1074,1032,891,972
소계,지능범죄,횡령,기타,7706,8697,9599,9375,9708,9008,8262,7327,7226,7380,6148,6620
소계,지능범죄,횡령,미상,17245,14477,15162,15132,16113,15321,13623,15870,15183,15225,10480,10717
소계,지능범죄,배임,이욕,655,501,660,857,736,707,1008,798,791,677,479,381
소계,지능범죄,배임,사행심,30,29,47,102,69,21,22,45,44,59,29,21
소계,지능범죄,배임,보복,2,-,-,-,-,-,1,-,-,-,-,-
소계,지능범죄,배임,가정불화,5,-,1,1,1,2,-,-,-,-,-,-
소계,지능범죄,배임,호기심,-,2,-,3,-,1,3,3,-,-,1,-
소계,지능범죄,배임,유혹,27,16,34,27,24,19,19,12,8,6,10,5
소계,지능범죄,배임,우발적,38,27,39,30,42,32,58,62,48,64,22,26
소계,지능범죄,배임,현실불만,5,1,1,1,-,3,-,1,2,-,1,2
소계,지능범죄,배임,부주의,130,145,161,153,159,163,153,213,169,175,95,88
소계,지능범죄,배임,기타,1779,1969,2101,2718,1905,1789,1714,1541,1343,1283,1092,919
소계,지능범죄,배임,미상,5189,4820,5381,5469,5297,4871,4828,5534,5746,6060,3961,4183
소계,풍속범죄,소계,이욕,8994,6972,6085,5063,5992,7447,5298,4671,5089,5051,3336,2760
소계,풍속범죄,소계,사행심,17651,13069,11595,11024,10196,12040,8618,7466,7587,6960,4377,3340
소계,풍속범죄,소계,보복,13,6,5,-,5,4,3,1,1,6,6,4
소계,풍속범죄,소계,가정불화,111,122,95,111,30,25,21,19,24,37,22,27
소계,풍속범죄,소계,호기심,3048,2488,3690,2960,3253,4532,3828,2778,3099,3651,3090,2844
소계,풍속범죄,소계,유혹,548,703,653,617,495,604,643,594,504,518,523,414
소계,풍속범죄,소계,우발적,3227,3167,3377,3109,3624,3596,3962,4343,4835,4772,5559,7556
소계,풍속범죄,소계,현실불만,45,69,49,74,62,70,85,65,63,70,64,98
소계,풍속범죄,소계,부주의,2000,2003,1803,1211,1171,937,759,734,772,741,605,611
소계,풍속범죄,소계,기타,19827,17879,16239,13429,12934,13261,9706,8252,8240,9097,8000,8427
소계,풍속범죄,소계,미상,5919,4427,4423,4096,3321,2633,2858,3260,3565,3768,3448,4910
소계,풍속범죄,성풍속범죄,이욕,1516,2038,2168,964,873,938,779,1334,1032,746,487,567
소계,풍속범죄,성풍속범죄,사행심,150,100,151,46,52,41,53,57,93,73,88,67
소계,풍속범죄,성풍속범죄,보복,1,2,5,-,5,4,3,1,1,6,6,4
소계,풍속범죄,성풍속범죄,가정불화,102,114,89,104,28,22,19,18,23,27,21,26
소계,풍속범죄,성풍속범죄,호기심,1910,1898,3213,2403,2733,2831,2839,2351,2288,2968,2721,2615
소계,풍속범죄,성풍속범죄,유혹,245,312,401,365,282,293,447,378,310,378,454,371
소계,풍속범죄,성풍속범죄,우발적,897,1051,1485,1434,1703,1980,2480,2971,3094,3209,4187,6529
소계,풍속범죄,성풍속범죄,현실불만,35,60,42,65,59,59,73,55,50,67,59,97
소계,풍속범죄,성풍속범죄,부주의,1124,1266,1146,629,481,470,447,385,342,366,368,449
소계,풍속범죄,성풍속범죄,기타,6137,6712,7040,5269,4123,3685,3585,3370,3300,3671,4104,4963
소계,풍속범죄,성풍속범죄,미상,3092,2768,2948,2666,1578,884,1321,1793,1940,2035,2054,3663
소계,풍속범죄,도박범죄,이욕,7478,4934,3917,4099,5119,6509,4519,3337,4057,4305,2849,2193
소계,풍속범죄,도박범죄,사행심,17501,12969,11444,10978,10144,11999,8565,7409,7494,6887,4289,3273
소계,풍속범죄,도박범죄,보복,12,4,-,-,-,-,-,-,-,-,-,-
소계,풍속범죄,도박범죄,가정불화,9,8,6,7,2,3,2,1,1,10,1,1
소계,풍속범죄,도박범죄,호기심,1138,590,477,557,520,1701,989,427,811,683,369,229
소계,풍속범죄,도박범죄,유혹,303,391,252,252,213,311,196,216,194,140,69,43
소계,풍속범죄,도박범죄,우발적,2330,2116,1892,1675,1921,1616,1482,1372,1741,1563,1372,1027
소계,풍속범죄,도박범죄,현실불만,10,9,7,9,3,11,12,10,13,3,5,1
소계,풍속범죄,도박범죄,부주의,876,737,657,582,690,467,312,349,430,375,237,162
소계,풍속범죄,도박범죄,기타,13690,11167,9199,8160,8811,9576,6121,4882,4940,5426,3896,3464
소계,풍속범죄,도박범죄,미상,2827,1659,1475,1430,1743,1749,1537,1467,1625,1733,1394,1247
소계,특별경제범죄,소계,이욕,12444,11603,8815,10121,10966,10293,11326,12467,13358,10654,6902,7290
소계,특별경제범죄,소계,사행심,385,507,507,444,476,669,501,634,834,553,345,364
소계,특별경제범죄,소계,보복,37,31,26,14,22,24,13,15,16,12,14,14
소계,특별경제범죄,소계,가정불화,68,75,87,98,66,57,53,41,41,40,27,19
소계,특별경제범죄,소계,호기심,863,720,546,460,585,312,308,113,102,114,79,105
소계,특별경제범죄,소계,유혹,139,194,219,283,284,198,189,224,219,144,97,87
소계,특별경제범죄,소계,우발적,7260,9002,9392,10194,11032,11257,10745,11936,12635,11326,8469,8984
소계,특별경제범죄,소계,현실불만,800,1206,870,965,850,854,779,582,668,534,389,425
소계,특별경제범죄,소계,부주의,6608,6816,4982,5566,5460,4204,4339,4626,5969,4075,2467,2442
소계,특별경제범죄,소계,기타,30850,33508,27836,30917,31094,26345,23549,22796,23701,20043,13504,13616
소계,특별경제범죄,소계,미상,32168,29765,30028,28586,29521,23456,20650,21914,21632,20409,14553,17327
소계,마약범죄,소계,이욕,513,317,385,188,332,448,519,424,659,673,684,776
소계,마약범죄,소계,사행심,31,19,13,17,26,38,48,67,77,87,83,104
소계,마약범죄,소계,보복,7,3,2,-,-,-,-,-,2,-,1,-
소계,마약범죄,소계,가정불화,18,6,9,9,10,12,16,12,23,19,13,11
소계,마약범죄,소계,호기심,412,399,395,528,670,884,914,612,1081,1207,1210,1492
소계,마약범죄,소계,유혹,865,758,875,903,1036,1228,1409,1209,1319,1217,965,1027
소계,마약범죄,소계,우발적,228,223,238,364,447,559,677,686,880,1067,995,1284
소계,마약범죄,소계,현실불만,52,39,86,34,96,106,129,108,141,155,137,149
소계,마약범죄,소계,부주의,246,336,403,192,441,603,591,717,716,970,615,757
소계,마약범죄,소계,기타,2188,2195,2228,2529,3137,3638,3326,3043,4012,5193,4420,5411
소계,마약범죄,소계,미상,849,436,415,500,718,927,883,799,965,1042,1050,937
소계,보건범죄,소계,이욕,5354,4055,5500,5054,5500,4943,4613,3878,4714,4629,6229,4856
소계,보건범죄,소계,사행심,103,140,251,111,117,135,152,148,175,170,339,468
소계,보건범죄,소계,보복,3,1,1,1,-,-,-,-,1,-,-,-
소계,보건범죄,소계,가정불화,4,6,6,6,9,5,7,-,3,3,4,10
소계,보건범죄,소계,호기심,6,5,8,19,25,19,64,8,23,13,138,151
소계,보건범죄,소계,유혹,34,56,43,42,26,33,47,27,22,33,416,315
소계,보건범죄,소계,우발적,341,225,323,296,298,412,429,767,672,724,2033,2857
소계,보건범죄,소계,현실불만,11,6,12,9,13,29,17,9,18,47,24,67
소계,보건범죄,소계,부주의,2154,2160,2947,2488,2227,2414,2320,2155,2167,3046,7541,12253
소계,보건범죄,소계,기타,10268,10661,11522,11505,9587,10832,8437,7058,7328,9358,17778,28652
소계,보건범죄,소계,미상,2167,2216,2433,2554,2919,2827,3044,2915,2901,3787,4441,7091
소계,환경범죄,소계,이욕,337,354,322,164,253,372,450,399,656,528,314,331
소계,환경범죄,소계,사행심,1,2,8,2,21,13,6,8,35,17,23,24
소계,환경범죄,소계,보복,1,-,1,-,1,-,-,-,-,-,-,-
소계,환경범죄,소계,가정불화,-,-,1,1,-,1,-,-,1,-,-,-
소계,환경범죄,소계,호기심,18,15,14,12,10,5,4,7,5,4,4,10
소계,환경범죄,소계,유혹,11,4,12,4,5,28,11,10,8,-,-,-
소계,환경범죄,소계,우발적,48,40,47,32,30,47,56,45,86,70,56,65
소계,환경범죄,소계,현실불만,3,3,1,1,4,4,5,1,8,3,-,2
소계,환경범죄,소계,부주의,778,761,1046,839,821,1066,1207,1220,1446,996,1085,1007
소계,환경범죄,소계,기타,1494,1610,1720,1680,1613,1807,2049,1738,2080,2039,1859,1743
소계,환경범죄,소계,미상,422,458,416,401,418,459,590,638,763,672,512,507
소계,교통범죄,소계,이욕,8251,7834,5529,1315,1089,1202,1146,992,652,603,592,585
소계,교통범죄,소계,사행심,187,76,196,189,199,136,89,233,255,254,251,196
소계,교통범죄,소계,보복,4,3,12,-,3,3,2,2,2,1,2,1
소계,교통범죄,소계,가정불화,233,174,209,192,162,160,120,88,89,86,74,76
소계,교통범죄,소계,호기심,1490,1535,1587,1387,1338,1622,1712,606,701,1426,1691,1546
소계,교통범죄,소계,유혹,2082,1767,1293,876,1300,1350,1198,730,469,488,408,464
소계,교통범죄,소계,우발적,39267,33334,33785,30450,29908,28692,26044,25804,24602,25588,24994,28405
소계,교통범죄,소계,현실불만,167,139,308,347,236,299,102,108,70,78,127,103
소계,교통범죄,소계,부주의,187583,182010,186010,184435,186037,179206,160586,137464,124880,112601,102147,99616
소계,교통범죄,소계,기타,169746,165428,182156,174684,168770,174876,147899,109571,85838,79180,73290,76020
소계,교통범죄,소계,미상,115340,119776,125671,139251,160332,167806,145654,137549,146159,136141,107656,33204
소계,노동범죄,소계,이욕,855,708,857,711,918,2188,1885,693,324,161,134,176
소계,노동범죄,소계,사행심,47,30,47,12,22,16,40,43,7,7,6,5
소계,노동범죄,소계,보복,1,-,-,-,-,-,-,-,-,-,-,-
소계,노동범죄,소계,가정불화,-,2,3,1,-,3,2,1,-,-,-,1
소계,노동범죄,소계,호기심,-,5,-,-,2,2,-,-,-,-,2,-
소계,노동범죄,소계,유혹,8,10,16,6,15,57,13,4,1,-,2,-
소계,노동범죄,소계,우발적,33,19,20,32,40,143,53,49,20,10,9,12
소계,노동범죄,소계,현실불만,-,3,-,-,1,-,-,1,1,-,-,-
소계,노동범죄,소계,부주의,135,140,113,138,139,261,379,223,80,60,83,79
소계,노동범죄,소계,기타,1244,1251,1034,956,1028,2779,2117,819,261,242,333,244
소계,노동범죄,소계,미상,318,210,219,275,230,411,475,240,171,133,101,100
소계,안보범죄,소계,이욕,16,20,10,-,7,21,78,61,287,346,284,261
소계,안보범죄,소계,사행심,-,-,-,-,1,1,2,7,7,10,13,18
소계,안보범죄,소계,보복,1,1,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,가정불화,-,-,-,-,-,-,-,-,-,-,-,-
소계,안보범죄,소계,호기심,4,4,-,-,-,3,4,-,1,2,-,-
소계,안보범죄,소계,유혹,-,-,-,-,-,-,12,7,-,18,2,-
소계,안보범죄,소계,우발적,5,4,6,1,7,2,4,4,6,10,7,2
소계,안보범죄,소계,현실불만,29,23,14,13,7,8,13,6,7,4,8,8
소계,안보범죄,소계,부주의,1,-,1,2,-,1,-,2,10,5,1,3
소계,안보범죄,소계,기타,56,56,91,48,122,41,98,49,142,206,205,321
소계,안보범죄,소계,미상,48,18,30,26,30,74,40,51,85,77,219,69
소계,선거범죄,소계,이욕,43,206,28,85,59,62,18,125,82,53,14,170
소계,선거범죄,소계,사행심,1,-,-,4,3,-,-,11,-,5,-,6
소계,선거범죄,소계,보복,-,2,-,-,-,2,-,-,-,-,-,-
소계,선거범죄,소계,가정불화,-,1,1,-,-,-,-,2,-,1,-,-
소계,선거범죄,소계,호기심,-,7,13,3,4,2,22,8,-,3,1,34
소계,선거범죄,소계,유혹,-,15,1,8,4,3,7,6,13,1,-,1
소계,선거범죄,소계,우발적,2,70,19,87,29,68,114,171,131,108,25,328
소계,선거범죄,소계,현실불만,2,43,7,21,10,21,45,31,4,45,8,41
소계,선거범죄,소계,부주의,37,128,46,233,79,89,83,448,65,78,30,350
소계,선거범죄,소계,기타,237,948,208,1588,724,823,352,1462,548,664,102,1562
소계,선거범죄,소계,미상,78,435,86,771,209,455,146,1016,337,587,132,1275
소계,병역범죄,소계,이욕,1174,1196,1157,336,379,292,315,288,240,71,33,76
소계,병역범죄,소계,사행심,4,7,8,7,11,7,7,13,10,6,-,3
소계,병역범죄,소계,보복,1,3,-,5,-,-,-,-,-,-,-,-
소계,병역범죄,소계,가정불화,29,35,56,36,39,35,26,19,18,6,3,11
소계,병역범죄,소계,호기심,2,2,1,1,5,5,5,4,2,-,-,-
소계,병역범죄,소계,유혹,2,6,7,11,11,1,2,3,2,3,1,2
소계,병역범죄,소계,우발적,160,205,305,307,274,215,187,269,247,89,50,110
소계,병역범죄,소계,현실불만,58,50,55,34,53,46,49,64,55,31,20,31
소계,병역범죄,소계,부주의,3172,3666,5131,4376,4219,3884,4148,4191,4049,827,337,1279
소계,병역범죄,소계,기타,10536,11959,14656,12591,12466,10510,9237,7788,6626,1844,853,2266
소계,병역범죄,소계,미상,7614,1230,1824,819,784,664,598,615,560,287,98,131
소계,기타범죄,소계,이욕,33937,28231,27138,27404,28575,35303,32312,26807,26156,21189,16827,16219
소계,기타범죄,소계,사행심,3284,2677,2686,2822,2406,2391,1912,1904,2538,1840,1440,1285
소계,기타범죄,소계,보복,62,51,47,58,54,46,50,39,28,62,64,77
소계,기타범죄,소계,가정불화,430,455,541,554,849,1366,1532,1471,1793,1911,3375,3079
소계,기타범죄,소계,호기심,4152,2537,2662,2565,2049,5794,3087,1801,1907,1868,2117,2457
소계,기타범죄,소계,유혹,2245,1660,1246,1185,1119,1981,1256,955,920,700,615,986
소계,기타범죄,소계,우발적,17608,18745,20164,22770,23164,26636,24164,27303,30075,29845,31183,35400
소계,기타범죄,소계,현실불만,1959,1969,2166,2296,2170,2447,2084,1678,1781,1716,1452,1592
소계,기타범죄,소계,부주의,21937,20952,23102,24235,24636,36982,33591,29874,31793,29927,26603,27378
소계,기타범죄,소계,기타,91557,87443,86771,95083,97797,126756,104735,81284,80290,77958,74596,75090
소계,기타범죄,소계,미상,47610,43712,47001,51882,58928,71168,68107,73907,78719,77523,62926,69850
