대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,강간,우발적,-,-,1717,1499,1432,1410,1490,1562,1556,1517,1390,1349
소계,강력범죄,강간,현실불만,-,-,27,22,27,35,28,15,15,15,12,8
소계,강력범죄,강간,부주의,-,-,65,59,54,66,61,58,45,59,55,60
소계,강력범죄,강간,기타,-,-,1593,1750,1859,1800,1716,1427,1573,1601,1627,1560
소계,강력범죄,강간,미상,-,-,1412,1294,1486,1683,1802,2209,2257,2256,1864,2024
소계,강력범죄,유사강간,이욕,-,-,6,18,16,23,19,31,35,36,20,18
소계,강력범죄,유사강간,사행심,-,-,-,-,1,-,-,4,2,8,3,4
소계,강력범죄,유사강간,보복,-,-,-,-,-,-,-,1,-,-,-,-
소계,강력범죄,유사강간,가정불화,-,-,1,1,6,6,7,4,6,4,3,4
소계,강력범죄,유사강간,호기심,-,-,20,43,60,53,65,40,57,40,46,51
소계,강력범죄,유사강간,유혹,-,-,6,15,24,26,23,38,34,40,30,25
소계,강력범죄,유사강간,우발적,-,-,42,110,163,187,219,305,292,299,277,321
소계,강력범죄,유사강간,현실불만,-,-,3,2,1,-,2,-,1,2,-,1
소계,강력범죄,유사강간,부주의,-,-,4,5,4,9,9,10,13,10,7,12
소계,강력범죄,유사강간,기타,-,-,42,141,153,188,226,228,230,259,249,285
소계,강력범죄,유사강간,미상,-,-,12,54,107,106,124,187,225,236,199,196
소계,강력범죄,강제추행,이욕,-,-,403,323,373,345,350,375,437,348,275,265
소계,강력범죄,강제추행,사행심,-,-,15,14,11,15,19,25,44,44,41,42
소계,강력범죄,강제추행,보복,-,-,4,-,-,1,2,1,1,-,1,-
소계,강력범죄,강제추행,가정불화,-,-,18,13,16,28,21,28,26,29,21,20
소계,강력범죄,강제추행,호기심,-,-,978,1200,1254,1275,1213,750,796,643,519,551
소계,강력범죄,강제추행,유혹,-,-,564,485,462,492,464,456,455,394,304,285
소계,강력범죄,강제추행,우발적,-,-,4765,4724,4941,5423,6465,6946,6730,6259,5238,5713
소계,강력범죄,강제추행,현실불만,-,-,33,55,45,63,52,34,17,12,15,12
소계,강력범죄,강제추행,부주의,-,-,242,366,400,526,619,506,614,492,414,459
소계,강력범죄,강제추행,기타,-,-,3468,4537,5083,5495,6010,5007,5098,4596,4331,4798
소계,강력범죄,강제추행,미상,-,-,2006,1683,1903,2353,3057,3503,3674,3565,2723,3429
