대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,양산시,-,-,-,-,-,-,-,-,-,-,8122,7453,8246,9392,9067,7997,9509
총범죄,소계,소계,이천시,-,-,-,-,-,-,-,-,-,-,6992,6368,6303,6022,7341,7523,6843
총범죄,소계,소계,구리시,-,-,-,-,-,-,-,-,-,-,7835,7631,8049,9225,11086,9662,7337
총범죄,소계,소계,서산시,-,-,-,-,-,-,-,-,-,-,6706,4963,6479,6060,5657,6329,5419
총범죄,소계,소계,제천시,-,-,-,-,-,-,-,-,-,-,5532,4829,4607,5478,5643,4757,4213
총범죄,소계,소계,논산시,-,-,-,-,-,-,-,-,-,-,6067,5809,5148,5316,4963,4192,4326
총범죄,소계,소계,기타도시,112612,134985,161017,111712,142992,149140,128913,135221,141251,159006,161176,141882,136414,148887,169214,167359,144912
총범죄,소계,소계,도시이외,239339,206501,210160,162507,197346,195283,193634,193138,188438,185729,179935,157260,149483,159703,166151,164310,155009
총범죄,소계,소계,기타,461,146,356,61,67,8537,51215,69296,74154,73545,-,-,-,-,-,-,-
형법범,소계,소계,서울특별시,141253,150781,148950,141923,160261,173659,194552,215830,207090,213821,208132,192602,188801,184819,187845,210952,209319
형법범,소계,소계,부산광역시,38199,42189,46045,45049,56729,56192,55934,57814,52673,57456,66752,57259,58719,59500,69148,89050,72986
형법범,소계,소계,대구광역시,21988,22272,25447,28796,36545,38405,42220,41876,38256,41252,36919,38079,39633,38236,42824,43329,47093
형법범,소계,소계,인천광역시,24122,23102,29274,31283,31799,33790,45597,41826,41133,44529,42081,46151,48446,42752,42955,44825,42577
형법범,소계,소계,광주광역시,20412,23379,27392,26853,29353,26659,31999,34248,33561,35522,25241,28153,29939,31325,34402,34416,34298
형법범,소계,소계,대전광역시,11040,12449,13538,15066,17381,20740,21347,20306,18271,20797,17583,16829,19874,21923,24509,28698,22235
형법범,소계,소계,울산광역시,11866,12498,14992,15817,17494,18456,19023,19062,18714,21140,16424,17434,17712,22066,22184,22341,21129
형법범,소계,소계,부천시,7215,7985,9335,7941,7666,9085,11149,11078,10357,12024,12277,19000,19690,18620,20500,21696,19472
형법범,소계,소계,수원시,8848,8654,9223,10018,11728,13023,12973,13782,14594,18391,18005,17378,17562,16756,19829,23493,20665
형법범,소계,소계,성남시,7001,7203,7932,8244,9861,12921,13134,12946,11420,14126,12412,14215,16319,16581,17485,21167,17954
형법범,소계,소계,전주시,5458,6034,7259,7498,8151,7112,7848,10899,10138,10106,9784,10453,10227,8869,9658,10608,10688
형법범,소계,소계,안양시,5304,4889,5192,6147,6250,6443,6571,7689,7116,7228,8634,8687,9703,9267,9129,10077,9304
형법범,소계,소계,청주시,5698,6995,9489,8087,7627,10403,11487,12097,10761,12497,10212,9897,11033,12831,12136,11494,11993
형법범,소계,소계,마산시,5330,6485,7628,7427,8625,10582,10434,10215,8339,8256,6764,7021,7738,7708,8067,9536,9022
형법범,소계,소계,창원시,3985,4420,4024,4136,5986,6282,8169,9536,8807,10543,8815,7899,7474,8285,9846,9175,10555
형법범,소계,소계,광명시,2159,3374,3876,3785,4055,4024,3270,3394,3769,4170,5691,5532,5678,5402,5516,7177,5420
형법범,소계,소계,포항시,4437,4646,5786,5573,7304,8364,9409,9923,8777,9301,9352,8280,7954,8758,9580,9491,8565
형법범,소계,소계,안산시,4043,4947,6631,6759,7901,7932,6318,7337,7515,9142,10691,9468,10141,11558,13350,15751,14588
