대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,과실사상의 죄,안양시,39,29,29,32,27,36,23,37,26,23,27,43,41,35,33,28,30
형법범,기타형법범,과실사상의 죄,청주시,48,48,42,27,33,34,58,44,37,27,30,25,35,36,28,38,28
형법범,기타형법범,과실사상의 죄,마산시,20,15,24,23,15,21,20,23,24,19,36,20,27,31,37,22,30
형법범,기타형법범,과실사상의 죄,창원시,23,38,21,16,16,32,37,24,29,19,20,34,28,20,36,34,43
형법범,기타형법범,과실사상의 죄,광명시,12,17,23,19,10,28,17,18,11,12,23,12,14,15,10,18,14
형법범,기타형법범,과실사상의 죄,포항시,28,43,43,49,53,46,38,46,27,42,50,46,46,41,41,36,57
형법범,기타형법범,과실사상의 죄,안산시,45,60,51,81,43,54,47,46,41,39,54,38,42,46,42,39,47
형법범,기타형법범,과실사상의 죄,진주시,31,26,27,16,25,25,28,31,21,23,22,26,17,27,24,16,22
형법범,기타형법범,과실사상의 죄,고양시,35,44,43,42,41,38,49,51,71,48,57,51,60,55,64,48,55
형법범,기타형법범,과실사상의 죄,제주시,26,42,53,45,28,30,30,33,39,38,72,63,82,76,63,108,80
형법범,기타형법범,과실사상의 죄,목포시,18,21,15,16,13,10,13,15,10,18,12,19,19,16,26,17,17
형법범,기타형법범,과실사상의 죄,의정부시,19,24,28,25,24,20,23,36,26,27,23,28,29,27,26,42,28
형법범,기타형법범,과실사상의 죄,익산시,,,,27,26,22,23,21,17,35,13,16,13,17,25,22,24
형법범,기타형법범,과실사상의 죄,이리시,17,23,23,,,,,,,,,,,,,,
형법범,기타형법범,과실사상의 죄,군산시,31,24,24,37,26,41,50,32,28,28,18,22,34,27,28,31,23
형법범,기타형법범,과실사상의 죄,구미시,26,24,27,26,18,17,20,10,13,32,16,23,32,23,27,16,25
형법범,기타형법범,과실사상의 죄,천안시,19,19,20,18,24,17,26,24,19,18,29,39,45,48,31,35,42
형법범,기타형법범,과실사상의 죄,여수시,32,33,33,21,14,42,49,21,30,24,38,45,43,39,39,41,47
형법범,기타형법범,과실사상의 죄,춘천시,25,25,27,38,18,33,31,24,24,30,21,30,34,19,25,21,34
형법범,기타형법범,과실사상의 죄,원주시,15,12,13,17,19,29,22,24,22,15,21,22,31,16,36,27,26
형법범,기타형법범,과실사상의 죄,평택시,,,,111,67,29,22,37,38,34,36,33,40,32,38,33,47
형법범,기타형법범,과실사상의 죄,경주시,,,,245,106,27,15,13,15,8,24,21,20,24,22,23,35
형법범,기타형법범,과실사상의 죄,김해시,,,,23,27,24,36,24,32,36,33,22,34,20,42,33,39
형법범,기타형법범,과실사상의 죄,순천시,,,,12,19,19,19,20,16,21,19,20,21,15,18,16,28
형법범,기타형법범,과실사상의 죄,군포시,,,,1,2,6,13,19,22,18,12,10,11,7,16,6,12
형법범,기타형법범,과실사상의 죄,남양주시,,,,38,37,44,37,28,28,31,29,34,32,26,33,30,35
형법범,기타형법범,과실사상의 죄,강릉시,,,,13,15,15,41,17,34,27,25,17,18,9,16,21,33
형법범,기타형법범,과실사상의 죄,충주시,,,,,1,20,23,31,13,18,9,14,15,11,12,20,17
형법범,기타형법범,과실사상의 죄,안동시,,,,7,8,11,10,9,11,14,12,17,22,13,18,17,15
형법범,기타형법범,과실사상의 죄,경산시,,,,,1,6,19,16,12,11,21,16,17,13,16,22,12
형법범,기타형법범,과실사상의 죄,아산시,,,,15,8,12,14,7,11,8,12,13,16,19,18,24,21
형법범,기타형법범,과실사상의 죄,거제시,,,,20,10,9,23,24,14,15,30,25,23,28,25,28,29
형법범,기타형법범,과실사상의 죄,김천시,,,,6,9,8,8,9,11,8,5,9,10,10,5,6,14
형법범,기타형법범,과실사상의 죄,정읍시,,,,2,5,4,8,10,6,8,11,12,10,11,11,6,13
형법범,기타형법범,과실사상의 죄,용인시,,,,,,,,,,,39,32,45,36,33,42,42
형법범,기타형법범,과실사상의 죄,시흥시,,,,,,,,,,,29,28,33,27,27,23,32
형법범,기타형법범,과실사상의 죄,파주시,,,,,,,,,,,20,36,27,29,28,32,34
형법범,기타형법범,과실사상의 죄,양산시,,,,,,,,,,,16,16,22,27,31,25,25
형법범,기타형법범,과실사상의 죄,이천시,,,,,,,,,,,21,24,37,39,30,30,22
형법범,기타형법범,과실사상의 죄,구리시,,,,,,,,,,,14,11,9,8,7,13,13
형법범,기타형법범,과실사상의 죄,서산시,,,,,,,,,,,5,5,16,11,7,13,7
형법범,기타형법범,과실사상의 죄,제천시,,,,,,,,,,,15,13,18,14,13,12,10
형법범,기타형법범,과실사상의 죄,논산시,,,,,,,,,,,9,8,10,13,19,6,6
형법범,기타형법범,과실사상의 죄,기타도시,348,430,425,341,331,347,319,344,324,406,417,407,381,379,367,408,370
형법범,기타형법범,과실사상의 죄,도시이외,1176,944,1033,641,608,717,689,620,607,607,595,508,569,556,544,617,591
형법범,기타형법범,과실사상의 죄,기타,1,,2,,,9,117,167,147,157,,,,,,,
형법범,기타형법범,낙태의 죄,서울특별시,5,,2,5,5,4,4,5,3,3,6,3,5,2,4,3,9
형법범,기타형법범,낙태의 죄,부산광역시,3,2,,,2,3,3,4,1,2,1,3,2,1,7,2,6
형법범,기타형법범,낙태의 죄,대구광역시,1,1,2,2,2,5,,7,5,5,,,,,1,1,2
형법범,기타형법범,낙태의 죄,인천광역시,,2,,4,,3,1,2,3,1,2,1,,1,1,2,
형법범,기타형법범,낙태의 죄,광주광역시,,2,2,2,1,,2,1,3,1,1,,,,2,2,1
형법범,기타형법범,낙태의 죄,대전광역시,,1,,1,1,3,1,2,1,,1,,5,,,1,
형법범,기타형법범,낙태의 죄,울산광역시,,,2,,,,,3,,,,1,2,,1,,3
형법범,기타형법범,낙태의 죄,부천시,,,,1,1,1,,,,,1,,,,,,
형법범,기타형법범,낙태의 죄,수원시,1,1,,,2,,,1,,1,2,,,,1,,1
형법범,기타형법범,낙태의 죄,성남시,,,,3,3,,,,,1,,1,,1,,,
형법범,기타형법범,낙태의 죄,전주시,1,,,1,,1,,,1,,2,1,1,1,,3,2
형법범,기타형법범,낙태의 죄,안양시,,,1,1,,1,1,,,1,1,1,,1,,2,2
형법범,기타형법범,낙태의 죄,청주시,,,,,2,,2,1,,,,1,,,,1,1
형법범,기타형법범,낙태의 죄,마산시,,,3,1,,,,,,,1,1,,,,,
형법범,기타형법범,낙태의 죄,창원시,1,,,,,,1,,,,,,,,1,,1
형법범,기타형법범,낙태의 죄,광명시,1,2,,,,1,,1,,,,,,1,,,
형법범,기타형법범,낙태의 죄,포항시,,,,,,,,,,,,,,1,1,,
형법범,기타형법범,낙태의 죄,안산시,1,,,,,,,,,,,,,1,1,,1
형법범,기타형법범,낙태의 죄,진주시,,,,,,,,,,,,,2,,,1,1
형법범,기타형법범,낙태의 죄,고양시,,,,,,,,,,,,,2,,,,3
형법범,기타형법범,낙태의 죄,제주시,,1,1,,,,,,1,,,,,,,,1
형법범,기타형법범,낙태의 죄,목포시,,,,,,,2,2,3,1,,,,1,,,
형법범,기타형법범,낙태의 죄,의정부시,,,,,,,,,,,,,,,,,1
형법범,기타형법범,낙태의 죄,익산시,,,,,,,,,,,,3,,,,2,
형법범,기타형법범,낙태의 죄,군산시,,1,,,1,1,2,,,,,,,,1,1,2
형법범,기타형법범,낙태의 죄,구미시,,,,,,2,1,,2,,,,,1,,,2
형법범,기타형법범,낙태의 죄,천안시,,1,,,,,,,1,,,,1,,,,2
형법범,기타형법범,낙태의 죄,여수시,,,,,1,,,,,1,,,,,,,
형법범,기타형법범,낙태의 죄,춘천시,1,,,,,,1,1,,,,,,,,,
형법범,기타형법범,낙태의 죄,원주시,,,,,,,,,1,,,,1,,,,
형법범,기타형법범,낙태의 죄,평택시,,,,,1,1,,,1,,,1,1,,,,
형법범,기타형법범,낙태의 죄,경주시,,,,,,,1,,,,1,,,,,,
형법범,기타형법범,낙태의 죄,김해시,,,,,,,,,,,,,,1,2,,1
형법범,기타형법범,낙태의 죄,순천시,,,,,1,,1,,,,,4,,,,,
형법범,기타형법범,낙태의 죄,군포시,,,,,,,1,,,,,1,,,,,
형법범,기타형법범,낙태의 죄,남양주시,,,,,,,,,,,1,,,1,,,
형법범,기타형법범,낙태의 죄,충주시,,,,,,,,,,1,1,,,,,,2
형법범,기타형법범,낙태의 죄,안동시,,,,,,,,1,,,,,,,,,
형법범,기타형법범,낙태의 죄,경산시,,,,,,1,,,1,,,,,1,,,
형법범,기타형법범,낙태의 죄,아산시,,,,,,,1,1,,,2,1,,,,,
형법범,기타형법범,낙태의 죄,정읍시,,,,,,,,,,,1,,,,,,
형법범,기타형법범,낙태의 죄,시흥시,,,,,,,,,,,,,1,,,,1
형법범,기타형법범,낙태의 죄,파주시,,,,,,,,,,,,,,,1,,
형법범,기타형법범,낙태의 죄,이천시,,,,,,,,,,,1,,,,,,
형법범,기타형법범,낙태의 죄,서산시,,,,,,,,,,,1,,,,,1,1
형법범,기타형법범,낙태의 죄,기타도시,6,4,4,2,1,6,3,4,4,1,,1,2,1,5,1,3
형법범,기타형법범,낙태의 죄,도시이외,,2,1,1,4,6,3,3,1,2,4,,,1,,3,3
형법범,기타형법범,낙태의 죄,기타,,,,,,,1,,,1,,,,,,,
형법범,기타형법범,유기의 죄,서울특별시,29,25,16,15,14,32,42,62,39,52,42,28,33,25,27,21,25
형법범,기타형법범,유기의 죄,부산광역시,18,20,16,8,22,28,26,26,17,21,27,24,15,24,14,10,7
형법범,기타형법범,유기의 죄,대구광역시,3,4,2,1,6,2,4,3,3,12,7,10,3,7,2,3,6
형법범,기타형법범,유기의 죄,인천광역시,5,5,5,8,6,10,17,17,10,12,11,13,8,8,6,4,8
형법범,기타형법범,유기의 죄,광주광역시,7,7,10,4,6,8,18,7,5,12,8,10,5,1,2,5,5
형법범,기타형법범,유기의 죄,대전광역시,8,4,7,7,7,9,8,14,7,5,3,5,6,4,4,1,1
형법범,기타형법범,유기의 죄,울산광역시,2,2,1,2,4,1,2,3,1,4,10,4,5,2,5,1,1
형법범,기타형법범,유기의 죄,부천시,1,2,2,1,,3,2,2,2,,4,2,3,3,6,3,4
형법범,기타형법범,유기의 죄,수원시,,,2,2,3,5,3,2,6,6,5,8,1,9,4,3,2
형법범,기타형법범,유기의 죄,성남시,,2,2,2,2,3,1,4,2,1,2,7,,5,3,2,3
형법범,기타형법범,유기의 죄,전주시,,1,4,2,4,2,1,5,3,2,2,7,4,,,1,
형법범,기타형법범,유기의 죄,안양시,1,2,,1,1,1,1,3,2,1,4,3,,1,3,2,
형법범,기타형법범,유기의 죄,청주시,1,2,6,3,5,5,5,9,4,6,3,1,1,2,3,3,1
형법범,기타형법범,유기의 죄,마산시,1,2,1,,3,,1,2,2,,1,6,1,2,3,,4
형법범,기타형법범,유기의 죄,창원시,2,1,2,1,1,,5,4,3,2,5,3,,,,,
형법범,기타형법범,유기의 죄,광명시,,,1,2,2,2,2,,2,1,1,,,2,1,1,
형법범,기타형법범,유기의 죄,포항시,,1,1,,,1,1,1,1,3,1,3,2,1,1,,1
형법범,기타형법범,유기의 죄,안산시,2,1,2,1,1,2,1,2,4,1,3,1,,1,3,2,1
형법범,기타형법범,유기의 죄,진주시,1,,1,1,,2,3,,,,4,2,1,,1,1,2
형법범,기타형법범,유기의 죄,고양시,,2,,,2,,,2,1,6,2,3,2,3,3,,2
형법범,기타형법범,유기의 죄,제주시,3,2,5,,1,2,2,2,1,,5,1,4,,1,3,
형법범,기타형법범,유기의 죄,목포시,1,,,1,,,,1,2,2,1,1,1,,2,1,
형법범,기타형법범,유기의 죄,의정부시,,,2,,,2,,2,1,3,,2,7,3,3,1,4
형법범,기타형법범,유기의 죄,익산시,,,,,1,1,2,4,2,4,9,5,5,1,5,,1
형법범,기타형법범,유기의 죄,군산시,,1,,,,2,,4,2,3,5,10,2,3,3,2,3
형법범,기타형법범,유기의 죄,구미시,1,,,1,,,6,,2,2,4,2,3,2,2,2,1
형법범,기타형법범,유기의 죄,천안시,,1,2,2,2,3,1,4,2,1,3,2,1,,3,5,3
형법범,기타형법범,유기의 죄,여수시,2,,1,,,,1,,,1,2,,,1,,1,3
형법범,기타형법범,유기의 죄,춘천시,,,1,1,1,,4,,,2,1,,2,1,1,,
형법범,기타형법범,유기의 죄,원주시,,2,,2,,,,4,1,1,4,1,3,,1,,1
형법범,기타형법범,유기의 죄,평택시,,,,5,1,1,2,,,4,2,3,1,1,1,1,2
형법범,기타형법범,유기의 죄,경주시,,,,3,1,1,,1,1,,,,1,1,,2,
형법범,기타형법범,유기의 죄,김해시,,,,3,2,1,6,1,2,3,1,1,,1,1,,3
형법범,기타형법범,유기의 죄,순천시,,,,,,5,4,5,3,2,6,1,3,1,2,2,2
형법범,기타형법범,유기의 죄,군포시,,,,,,,,2,2,,,,,2,,,1
형법범,기타형법범,유기의 죄,남양주시,,,,,,1,1,1,,1,,1,,1,1,1,1
형법범,기타형법범,유기의 죄,강릉시,,,,,,,,2,2,3,,,,,1,,1
형법범,기타형법범,유기의 죄,충주시,,,,,,1,1,5,1,,,1,,,,,
형법범,기타형법범,유기의 죄,안동시,,,,1,,1,,,,,2,1,,,,,2
형법범,기타형법범,유기의 죄,경산시,,,,,,,1,,1,,,,1,1,,1,
형법범,기타형법범,유기의 죄,아산시,,,,,1,,1,,,,,2,,1,,,1
형법범,기타형법범,유기의 죄,거제시,,,,,,2,,,1,,,,,1,,,
형법범,기타형법범,유기의 죄,김천시,,,,,,1,,,2,,1,,1,,1,1,1
형법범,기타형법범,유기의 죄,정읍시,,,,1,,,,,,,,,,,,,
형법범,기타형법범,유기의 죄,용인시,,,,,,,,,,,2,1,1,1,1,3,1
형법범,기타형법범,유기의 죄,시흥시,,,,,,,,,,,2,1,1,,1,1,1
형법범,기타형법범,유기의 죄,파주시,,,,,,,,,,,3,3,,3,3,1,1
형법범,기타형법범,유기의 죄,양산시,,,,,,,,,,,,1,1,,,2,
형법범,기타형법범,유기의 죄,구리시,,,,,,,,,,,1,1,1,1,1,,
형법범,기타형법범,유기의 죄,서산시,,,,,,,,,,,,,,1,,,
형법범,기타형법범,유기의 죄,제천시,,,,,,,,,,,1,,1,1,1,1,1
형법범,기타형법범,유기의 죄,논산시,,,,,,,,,,,3,1,,,1,,2
형법범,기타형법범,유기의 죄,기타도시,9,8,12,10,6,15,9,13,5,13,17,7,10,15,9,10,10
형법범,기타형법범,유기의 죄,도시이외,9,14,22,7,13,22,16,13,13,14,22,11,11,15,11,13,9
형법범,기타형법범,유기의 죄,기타,,,,,,,9,5,5,8,,,,,,,
형법범,기타형법범,명예에 관한 죄,서울특별시,716,680,679,704,674,974,1310,1370,1289,1194,1734,1830,1792,2113,2734,3355,3117
형법범,기타형법범,명예에 관한 죄,부산광역시,250,236,238,271,336,437,428,471,417,471,732,687,708,735,978,1194,1063
형법범,기타형법범,명예에 관한 죄,대구광역시,111,123,120,157,170,236,248,303,221,213,239,267,281,299,404,458,442
형법범,기타형법범,명예에 관한 죄,인천광역시,167,135,137,113,93,171,193,221,211,213,207,248,260,347,532,728,597
형법범,기타형법범,명예에 관한 죄,광주광역시,133,132,143,143,146,192,221,271,269,212,157,189,276,304,356,378,424
형법범,기타형법범,명예에 관한 죄,대전광역시,60,58,59,70,71,114,121,120,107,114,135,119,169,182,226,294,266
형법범,기타형법범,명예에 관한 죄,울산광역시,82,86,105,94,100,156,55,140,112,175,144,163,151,163,207,233,239
형법범,기타형법범,명예에 관한 죄,부천시,30,39,38,41,42,39,69,56,45,59,94,126,113,147,165,225,229
형법범,기타형법범,명예에 관한 죄,수원시,27,28,37,25,35,48,94,78,58,87,93,94,103,144,252,317,271
형법범,기타형법범,명예에 관한 죄,성남시,43,39,41,55,52,93,74,107,88,118,110,119,124,158,280,297,249
형법범,기타형법범,명예에 관한 죄,전주시,33,39,27,50,65,68,74,85,112,97,75,97,88,77,146,169,141
형법범,기타형법범,명예에 관한 죄,안양시,31,22,25,34,35,29,23,46,51,42,65,49,103,95,148,161,133
형법범,기타형법범,명예에 관한 죄,청주시,31,27,22,26,25,43,51,79,56,68,76,70,93,70,129,119,126
형법범,기타형법범,명예에 관한 죄,마산시,43,33,54,37,46,88,78,95,80,83,86,90,86,92,90,80,85
형법범,기타형법범,명예에 관한 죄,창원시,36,29,40,22,40,64,65,84,62,81,63,115,81,84,111,132,147
형법범,기타형법범,명예에 관한 죄,광명시,11,26,24,22,24,27,28,26,30,29,35,44,46,51,80,109,76
형법범,기타형법범,명예에 관한 죄,포항시,48,34,33,38,37,57,53,62,58,43,75,87,111,79,103,100,112
형법범,기타형법범,명예에 관한 죄,안산시,24,28,22,38,35,59,32,33,30,46,45,51,51,66,99,135,154
형법범,기타형법범,명예에 관한 죄,진주시,29,36,43,41,29,32,66,62,55,68,60,68,49,71,92,74,84
형법범,기타형법범,명예에 관한 죄,고양시,6,17,28,35,52,56,65,87,71,51,112,125,103,117,138,177,167
형법범,기타형법범,명예에 관한 죄,제주시,29,29,35,23,19,57,63,65,56,80,107,90,106,106,141,151,126
형법범,기타형법범,명예에 관한 죄,목포시,35,33,16,23,16,30,35,31,41,37,48,88,62,74,88,92,89
형법범,기타형법범,명예에 관한 죄,의정부시,16,12,28,21,20,35,34,43,39,49,51,41,58,62,88,89,113
형법범,기타형법범,명예에 관한 죄,익산시,,,,35,23,48,60,61,46,54,44,34,33,48,65,92,88
형법범,기타형법범,명예에 관한 죄,이리시,22,25,27,,,,,,,,,,,,,,
형법범,기타형법범,명예에 관한 죄,군산시,44,17,40,24,31,46,32,33,38,55,22,38,47,59,74,90,61
형법범,기타형법범,명예에 관한 죄,구미시,15,14,13,14,19,43,40,37,26,27,29,43,48,43,51,50,84
형법범,기타형법범,명예에 관한 죄,천안시,17,14,18,23,30,34,36,49,42,33,62,74,68,58,64,113,90
형법범,기타형법범,명예에 관한 죄,여수시,29,16,20,21,25,30,53,43,42,45,53,82,54,80,90,71,64
형법범,기타형법범,명예에 관한 죄,춘천시,21,20,17,21,3,17,25,52,31,49,28,31,32,33,38,54,90
형법범,기타형법범,명예에 관한 죄,원주시,15,18,13,11,24,21,28,29,25,25,41,39,39,56,43,59,88
형법범,기타형법범,명예에 관한 죄,평택시,,,,97,44,41,28,28,24,18,33,33,29,44,47,51,59
형법범,기타형법범,명예에 관한 죄,경주시,,,,96,33,38,36,27,20,26,33,34,38,54,52,62,38
형법범,기타형법범,명예에 관한 죄,김해시,,,,11,50,40,50,58,82,64,62,52,71,85,98,98,122
형법범,기타형법범,명예에 관한 죄,순천시,,,,40,29,59,60,62,69,57,82,82,92,80,57,64,67
형법범,기타형법범,명예에 관한 죄,군포시,,,,2,7,18,22,24,22,20,23,29,27,27,61,65,52
형법범,기타형법범,명예에 관한 죄,남양주시,,,,34,61,41,38,32,49,87,40,57,73,57,107,105,101
형법범,기타형법범,명예에 관한 죄,강릉시,,,,12,15,29,24,25,32,25,39,23,45,45,50,51,88
형법범,기타형법범,명예에 관한 죄,충주시,,,,2,3,13,18,21,9,19,22,18,32,29,24,33,38
형법범,기타형법범,명예에 관한 죄,안동시,,,,8,8,12,16,17,20,32,29,31,38,31,28,56,46
형법범,기타형법범,명예에 관한 죄,경산시,,,,1,1,12,22,24,29,18,37,29,28,21,37,36,53
형법범,기타형법범,명예에 관한 죄,아산시,,,,8,11,19,27,26,25,16,33,38,25,25,33,56,48
형법범,기타형법범,명예에 관한 죄,거제시,,,,24,30,37,84,44,38,52,35,65,53,48,47,43,54
형법범,기타형법범,명예에 관한 죄,김천시,,,,4,5,4,8,13,25,20,16,13,5,15,13,18,14
형법범,기타형법범,명예에 관한 죄,정읍시,,,,18,5,9,13,19,10,18,22,13,21,25,25,32,29
형법범,기타형법범,명예에 관한 죄,용인시,,,,,,,,,,,54,74,93,67,106,126,100
형법범,기타형법범,명예에 관한 죄,시흥시,,,,,,,,,,,28,22,37,52,59,71,58
형법범,기타형법범,명예에 관한 죄,파주시,,,,,,,,,,,40,44,57,53,80,81,70
형법범,기타형법범,명예에 관한 죄,양산시,,,,,,,,,,,44,44,44,79,71,50,102
형법범,기타형법범,명예에 관한 죄,이천시,,,,,,,,,,,15,22,18,19,32,48,27
형법범,기타형법범,명예에 관한 죄,구리시,,,,,,,,,,,23,24,39,38,61,61,46
형법범,기타형법범,명예에 관한 죄,서산시,,,,,,,,,,,18,21,22,16,15,27,24
형법범,기타형법범,명예에 관한 죄,제천시,,,,,,,,,,,14,13,13,23,27,23,24
형법범,기타형법범,명예에 관한 죄,논산시,,,,,,,,,,,12,25,28,18,38,27,26
형법범,기타형법범,명예에 관한 죄,기타도시,348,391,439,282,312,457,475,489,512,539,572,554,614,611,719,911,846
형법범,기타형법범,명예에 관한 죄,도시이외,908,706,656,455,570,673,735,825,843,799,770,801,827,846,935,915,1007
형법범,기타형법범,명예에 관한 죄,기타,2,,,1,,21,164,217,227,179,,,,,,,
형법범,기타형법범,신용·업무와 경매에 관한 죄,서울특별시,530,466,530,569,631,872,1112,1177,1314,1427,1937,2042,2482,3638,3997,4398,3597
형법범,기타형법범,신용·업무와 경매에 관한 죄,부산광역시,167,159,148,172,223,225,265,327,272,295,395,444,543,710,914,1149,817
형법범,기타형법범,신용·업무와 경매에 관한 죄,대구광역시,78,92,90,101,174,188,198,176,180,179,178,208,314,408,604,739,630
형법범,기타형법범,신용·업무와 경매에 관한 죄,인천광역시,132,114,102,105,111,122,152,253,259,327,404,512,633,720,789,881,710
형법범,기타형법범,신용·업무와 경매에 관한 죄,광주광역시,101,69,110,105,137,151,185,279,251,240,212,264,406,449,486,516,455
형법범,기타형법범,신용·업무와 경매에 관한 죄,대전광역시,35,60,53,62,57,117,87,76,91,83,75,89,148,172,178,189,152
형법범,기타형법범,신용·업무와 경매에 관한 죄,울산광역시,86,83,86,140,105,109,36,157,100,104,119,206,129,265,270,341,290
형법범,기타형법범,신용·업무와 경매에 관한 죄,부천시,19,23,24,27,24,21,48,50,46,57,103,166,185,281,344,386,377
형법범,기타형법범,신용·업무와 경매에 관한 죄,수원시,22,28,28,30,20,39,77,50,74,97,172,225,317,468,537,589,515
형법범,기타형법범,신용·업무와 경매에 관한 죄,성남시,28,38,33,40,39,58,42,75,79,98,138,151,171,254,368,390,320
형법범,기타형법범,신용·업무와 경매에 관한 죄,전주시,43,24,18,43,34,38,42,62,56,42,45,47,52,67,80,101,79
형법범,기타형법범,신용·업무와 경매에 관한 죄,안양시,32,18,12,32,20,27,41,37,53,52,79,97,135,212,252,258,228
형법범,기타형법범,신용·업무와 경매에 관한 죄,청주시,22,34,28,24,38,26,53,62,36,40,37,45,78,97,99,113,106
형법범,기타형법범,신용·업무와 경매에 관한 죄,마산시,26,30,37,30,43,53,54,48,57,46,35,39,42,59,79,90,66
형법범,기타형법범,신용·업무와 경매에 관한 죄,창원시,21,32,41,50,51,43,35,45,65,68,53,119,74,97,104,101,107
형법범,기타형법범,신용·업무와 경매에 관한 죄,광명시,5,7,15,16,16,27,23,33,29,52,79,86,156,153,140,207,121
형법범,기타형법범,신용·업무와 경매에 관한 죄,포항시,27,21,33,31,25,29,40,27,43,52,40,51,76,75,85,85,74
형법범,기타형법범,신용·업무와 경매에 관한 죄,안산시,24,28,31,38,43,50,29,47,45,57,101,140,183,276,338,341,297
형법범,기타형법범,신용·업무와 경매에 관한 죄,진주시,17,18,14,29,15,21,14,17,22,45,31,38,40,57,53,94,71
형법범,기타형법범,신용·업무와 경매에 관한 죄,고양시,8,12,20,29,50,39,63,57,74,52,91,136,170,156,233,299,243
형법범,기타형법범,신용·업무와 경매에 관한 죄,제주시,10,24,20,25,23,46,39,48,42,81,128,109,165,250,271,275,232
형법범,기타형법범,신용·업무와 경매에 관한 죄,목포시,14,7,9,10,16,11,15,15,15,31,36,63,80,85,132,120,95
형법범,기타형법범,신용·업무와 경매에 관한 죄,의정부시,10,15,6,11,13,7,10,36,13,84,47,52,55,128,181,216,155
형법범,기타형법범,신용·업무와 경매에 관한 죄,익산시,,,,16,21,28,41,52,30,47,25,21,40,44,59,51,48
형법범,기타형법범,신용·업무와 경매에 관한 죄,이리시,16,18,25,,,,,,,,,,,,,,
형법범,기타형법범,신용·업무와 경매에 관한 죄,군산시,14,13,28,18,23,33,36,36,26,29,18,33,55,43,41,33,52
형법범,기타형법범,신용·업무와 경매에 관한 죄,구미시,7,9,15,15,18,28,47,44,39,48,61,66,100,91,87,138,109
형법범,기타형법범,신용·업무와 경매에 관한 죄,천안시,10,8,10,16,22,22,31,39,30,29,43,50,56,94,122,126,91
형법범,기타형법범,신용·업무와 경매에 관한 죄,여수시,7,12,13,11,4,16,29,24,36,31,54,65,67,80,78,78,87
형법범,기타형법범,신용·업무와 경매에 관한 죄,춘천시,8,11,7,17,7,11,13,15,14,26,34,21,24,32,29,36,51
형법범,기타형법범,신용·업무와 경매에 관한 죄,원주시,5,6,7,7,11,19,12,17,22,24,25,25,46,74,114,147,93
형법범,기타형법범,신용·업무와 경매에 관한 죄,평택시,,,,61,38,20,26,37,37,35,46,56,86,109,162,198,189
형법범,기타형법범,신용·업무와 경매에 관한 죄,경주시,,,,71,39,16,22,21,45,16,27,25,37,33,68,94,80
형법범,기타형법범,신용·업무와 경매에 관한 죄,김해시,,,,20,23,25,52,31,51,40,25,45,78,96,101,128,104
형법범,기타형법범,신용·업무와 경매에 관한 죄,순천시,,,,16,18,29,27,53,37,35,41,52,82,77,63,50,40
형법범,기타형법범,신용·업무와 경매에 관한 죄,군포시,,,,1,7,15,13,28,25,23,26,37,28,53,68,82,76
형법범,기타형법범,신용·업무와 경매에 관한 죄,남양주시,,,,19,25,34,31,21,30,51,40,39,85,78,106,105,96
형법범,기타형법범,신용·업무와 경매에 관한 죄,강릉시,,,,5,8,30,14,19,34,31,35,28,43,28,28,41,55
형법범,기타형법범,신용·업무와 경매에 관한 죄,충주시,,,,,2,16,15,17,8,9,12,8,28,29,37,48,40
형법범,기타형법범,신용·업무와 경매에 관한 죄,안동시,,,,9,15,8,7,15,14,9,13,25,41,41,61,59,43
형법범,기타형법범,신용·업무와 경매에 관한 죄,경산시,,,,,2,32,9,11,18,14,30,26,42,61,51,50,42
형법범,기타형법범,신용·업무와 경매에 관한 죄,아산시,,,,7,66,23,21,30,28,36,30,33,36,57,43,27,42
형법범,기타형법범,신용·업무와 경매에 관한 죄,거제시,,,,9,20,25,24,15,21,11,23,29,23,29,49,54,29
형법범,기타형법범,신용·업무와 경매에 관한 죄,김천시,,,,5,7,11,16,12,17,14,8,15,17,28,21,10,39
형법범,기타형법범,신용·업무와 경매에 관한 죄,정읍시,,,,3,,2,4,11,10,9,3,6,18,20,10,15,18
형법범,기타형법범,신용·업무와 경매에 관한 죄,용인시,,,,,,,,,,,40,54,71,83,98,114,121
형법범,기타형법범,신용·업무와 경매에 관한 죄,시흥시,,,,,,,,,,,74,62,96,124,136,122,119
형법범,기타형법범,신용·업무와 경매에 관한 죄,파주시,,,,,,,,,,,27,49,56,76,112,148,120
형법범,기타형법범,신용·업무와 경매에 관한 죄,양산시,,,,,,,,,,,22,30,29,63,63,62,67
형법범,기타형법범,신용·업무와 경매에 관한 죄,이천시,,,,,,,,,,,18,16,18,20,39,50,61
형법범,기타형법범,신용·업무와 경매에 관한 죄,구리시,,,,,,,,,,,20,25,36,61,101,131,75
형법범,기타형법범,신용·업무와 경매에 관한 죄,서산시,,,,,,,,,,,13,11,14,21,21,22,27
형법범,기타형법범,신용·업무와 경매에 관한 죄,제천시,,,,,,,,,,,9,7,10,9,24,20,17
형법범,기타형법범,신용·업무와 경매에 관한 죄,논산시,,,,,,,,,,,15,15,20,16,19,22,22
