대분류,중분루,소분류,피해자와의 관계별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,도주와 도주원조죄,이 웃,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,지 인,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,타 인,62,34,2,25,100,43,32,8,17,6,4,2,5,2,-,1,-
형법범,기타형법범,도주와 도주원조죄,기 타,11,1,6,1,3,55,120,70,83,100,-,3,-,7,1,4,1
형법범,기타형법범,범인은닉·범인도피죄,국 가,152,148,169,186,269,323,389,481,490,500,453,285,261,295,326,388,378
형법범,기타형법범,범인은닉·범인도피죄,공무원,2,4,-,1,1,3,4,3,7,4,1,1,3,6,1,1,3
형법범,기타형법범,범인은닉·범인도피죄,고용자,3,-,1,1,-,-,-,1,-,-,-,1,-,-,-,-,1
형법범,기타형법범,범인은닉·범인도피죄,피고용자,-,-,-,1,-,1,-,-,1,1,-,2,-,-,-,-,-
형법범,기타형법범,범인은닉·범인도피죄,직장동료,4,1,4,3,3,3,2,2,2,5,3,1,-,3,2,1,-
형법범,기타형법범,범인은닉·범인도피죄,친 구,11,6,4,8,7,7,10,7,4,3,8,4,4,2,1,2,4
형법범,기타형법범,범인은닉·범인도피죄,애 인,3,1,1,8,2,1,4,6,4,2,3,-,-,3,-,-,2
형법범,기타형법범,범인은닉·범인도피죄,동거친족,-,-,1,1,-,2,1,-,-,1,-,1,-,1,-,2,1
형법범,기타형법범,범인은닉·범인도피죄,기타친족,-,-,2,2,4,-,2,3,-,1,-,-,-,-,1,1,-
형법범,기타형법범,범인은닉·범인도피죄,거래상대방,1,-,1,1,6,5,2,1,5,5,2,2,2,1,2,4,1
형법범,기타형법범,범인은닉·범인도피죄,이 웃,-,-,1,2,2,1,3,1,1,1,-,-,1,1,-,-,1
형법범,기타형법범,범인은닉·범인도피죄,지 인,11,4,18,19,18,19,7,16,8,10,8,5,5,1,8,1,4
형법범,기타형법범,범인은닉·범인도피죄,타 인,189,223,269,284,311,267,264,322,299,283,250,117,109,102,86,99,89
형법범,기타형법범,범인은닉·범인도피죄,기 타,79,80,120,143,145,135,159,211,228,212,132,72,87,106,105,141,109
형법범,기타형법범,위증죄,국 가,294,356,342,410,484,635,589,579,507,423,203,179,152,141,161,163,166
형법범,기타형법범,위증죄,공무원,2,3,-,-,1,-,-,1,2,1,2,2,-,2,1,-,2
형법범,기타형법범,위증죄,고용자,3,6,4,6,4,7,6,6,9,3,7,10,5,7,16,-,5
형법범,기타형법범,위증죄,피고용자,9,5,4,2,3,4,7,3,6,5,5,1,1,4,3,-,3
형법범,기타형법범,위증죄,직장동료,30,16,20,15,18,25,34,28,13,21,31,30,18,19,19,16,19
형법범,기타형법범,위증죄,친 구,13,5,13,7,6,14,12,7,6,10,21,16,10,7,16,7,8
형법범,기타형법범,위증죄,애 인,1,3,3,-,-,7,2,2,2,5,2,3,-,-,4,2,4
형법범,기타형법범,위증죄,동거친족,18,16,11,22,12,12,12,7,6,8,3,12,1,3,5,4,-
형법범,기타형법범,위증죄,기타친족,129,128,93,81,97,120,95,93,60,69,89,51,42,59,49,30,36
형법범,기타형법범,위증죄,거래상대방,122,79,78,96,122,157,120,111,105,90,170,97,96,92,82,70,112
형법범,기타형법범,위증죄,이 웃,149,77,62,52,48,55,71,79,56,43,37,52,24,36,18,24,31
형법범,기타형법범,위증죄,지 인,288,296,260,263,278,416,406,301,265,219,223,163,148,97,85,77,69
형법범,기타형법범,위증죄,타 인,729,614,538,543,540,778,663,656,596,518,510,405,377,372,310,314,232
형법범,기타형법범,위증죄,기 타,669,580,563,671,652,811,867,763,688,691,1464,1669,1797,1940,2173,2376,2358
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,국 가,4,31,9,9,13,20,24,28,33,25,8,11,6,19,9,13,11
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,공무원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,고용자,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,피고용자,-,-,-,1,-,2,-,-,-,5,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,직장동료,1,-,-,-,8,-,-,1,-,-,4,-,-,-,-,1,2
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,친 구,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,애 인,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,동거친족,-,-,-,-,-,-,1,1,-,3,-,-,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,기타친족,-,-,-,-,-,-,1,1,-,-,-,3,-,-,-,-,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,거래상대방,3,-,-,2,3,-,1,3,1,1,1,3,-,1,1,-,2
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,이 웃,2,2,1,-,1,-,-,9,-,4,-,-,-,-,-,-,3
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,지 인,-,1,4,-,1,8,4,1,1,7,6,-,1,1,2,1,-
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,타 인,33,47,19,22,18,32,21,22,26,5,8,8,8,14,12,13,9
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,기 타,18,26,13,11,14,5,22,13,21,18,21,27,61,40,27,43,72
형법범,기타형법범,무고의 죄,국 가,70,57,76,128,125,137,137,139,148,126,19,44,40,59,49,-,53
형법범,기타형법범,무고의 죄,공무원,6,2,2,3,8,7,8,7,6,8,11,21,7,7,8,13,9
형법범,기타형법범,무고의 죄,고용자,17,14,14,17,9,26,22,18,23,22,26,23,24,5,15,7,26
형법범,기타형법범,무고의 죄,피고용자,15,21,17,17,12,25,19,13,25,36,14,8,10,4,7,10,2
형법범,기타형법범,무고의 죄,직장동료,39,53,73,31,18,55,48,66,48,74,55,75,52,24,27,28,27
형법범,기타형법범,무고의 죄,친 구,16,4,11,15,9,20,19,20,12,16,23,21,13,25,17,6,13
형법범,기타형법범,무고의 죄,애 인,20,16,15,15,11,22,19,20,25,26,26,21,17,16,12,15,17
형법범,기타형법범,무고의 죄,동거친족,45,13,20,15,14,20,27,18,28,16,17,10,10,5,13,7,4
형법범,기타형법범,무고의 죄,기타친족,58,51,44,41,70,59,69,71,53,81,82,65,40,27,38,36,31
형법범,기타형법범,무고의 죄,거래상대방,112,138,98,106,129,169,198,161,142,152,176,124,105,94,105,94,119
형법범,기타형법범,무고의 죄,이 웃,155,119,173,88,92,139,205,145,145,130,93,96,87,56,27,63,57
형법범,기타형법범,무고의 죄,지 인,258,278,289,362,262,427,461,499,412,358,263,218,194,136,108,117,77
형법범,기타형법범,무고의 죄,타 인,529,447,436,529,527,788,750,765,762,673,526,570,441,307,325,360,302
형법범,기타형법범,무고의 죄,기 타,465,476,455,496,593,731,634,705,660,728,1762,1966,2287,2130,2359,2968,3005
형법범,기타형법범,특가법(무고),국 가,-,-,-,-,-,-,1,-,2,-,1,-,-,1,-,-,-
형법범,기타형법범,특가법(무고),거래상대방,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(무고),이 웃,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,특가법(무고),지 인,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(무고),타 인,1,-,-,-,1,1,-,3,3,1,5,9,-,3,-,-,-
형법범,기타형법범,특가법(무고),기 타,1,-,-,-,-,-,-,3,1,-,1,-,2,1,-,1,-
형법범,기타형법범,신앙에 관한 죄,국 가,8,7,3,7,6,8,7,17,-,-,1,5,3,16,4,15,5
형법범,기타형법범,신앙에 관한 죄,공무원,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
형법범,기타형법범,신앙에 관한 죄,고용자,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
형법범,기타형법범,신앙에 관한 죄,피고용자,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,-,-
형법범,기타형법범,신앙에 관한 죄,직장동료,-,-,-,-,1,1,-,-,-,4,4,-,1,-,-,-,1
형법범,기타형법범,신앙에 관한 죄,친 구,2,1,-,-,-,-,-,-,-,-,5,1,3,-,-,-,3
형법범,기타형법범,신앙에 관한 죄,애 인,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,1
형법범,기타형법범,신앙에 관한 죄,동거친족,2,2,3,4,2,2,1,2,2,6,2,3,3,3,-,3,2
형법범,기타형법범,신앙에 관한 죄,기타친족,16,14,26,21,9,24,13,22,22,17,33,27,46,44,23,22,27
형법범,기타형법범,신앙에 관한 죄,거래상대방,-,-,1,4,3,4,1,-,-,-,-,6,3,20,2,2,4
형법범,기타형법범,신앙에 관한 죄,이 웃,13,8,4,-,-,10,5,7,4,5,6,13,7,6,1,1,1
형법범,기타형법범,신앙에 관한 죄,지 인,12,58,16,18,7,30,26,64,18,21,14,32,21,15,17,16,12
형법범,기타형법범,신앙에 관한 죄,타 인,97,103,80,73,115,105,101,91,112,129,94,88,116,83,71,74,41
형법범,기타형법범,신앙에 관한 죄,기 타,103,41,93,145,69,109,95,126,129,247,366,285,335,426,243,312,318
형법범,기타형법범,실화 및 업무상실화죄,국 가,281,318,259,235,250,219,222,210,194,130,135,110,96,95,111,102,73
형법범,기타형법범,실화 및 업무상실화죄,공무원,-,1,1,1,1,1,5,3,-,2,-,1,2,2,1,3,2
형법범,기타형법범,실화 및 업무상실화죄,고용자,132,119,90,103,85,74,92,99,67,77,70,76,73,65,55,70,92
형법범,기타형법범,실화 및 업무상실화죄,피고용자,79,60,36,38,29,40,40,44,31,30,33,45,30,28,35,32,32
형법범,기타형법범,실화 및 업무상실화죄,직장동료,27,14,19,13,6,4,15,4,5,5,23,12,15,28,34,21,22
형법범,기타형법범,실화 및 업무상실화죄,친 구,8,11,11,7,8,4,6,11,-,7,6,6,4,5,7,7,5
형법범,기타형법범,실화 및 업무상실화죄,애 인,6,3,5,6,6,4,5,4,6,7,4,5,3,3,6,2,6
형법범,기타형법범,실화 및 업무상실화죄,동거친족,58,57,38,56,32,44,49,47,36,35,48,31,33,33,41,34,37
형법범,기타형법범,실화 및 업무상실화죄,기타친족,10,12,18,6,12,11,11,11,12,10,12,15,15,18,17,20,10
형법범,기타형법범,실화 및 업무상실화죄,거래상대방,33,34,35,41,30,33,34,37,37,35,31,40,28,31,23,25,34
형법범,기타형법범,실화 및 업무상실화죄,이 웃,176,120,111,95,78,92,128,96,92,60,99,93,86,95,114,113,93
형법범,기타형법범,실화 및 업무상실화죄,지 인,67,75,67,59,57,72,80,86,56,66,54,47,49,43,60,54,42
형법범,기타형법범,실화 및 업무상실화죄,타 인,386,396,436,354,277,291,392,402,349,311,356,368,395,444,422,515,390
형법범,기타형법범,실화 및 업무상실화죄,기 타,601,453,452,494,369,459,431,483,361,358,400,412,356,298,337,365,407
형법범,기타형법범,일수와 수리에 관한 죄,국 가,-,4,3,4,3,-,-,1,-,-,-,-,2,2,1,-,2
형법범,기타형법범,일수와 수리에 관한 죄,기타친족,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,일수와 수리에 관한 죄,거래상대방,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,일수와 수리에 관한 죄,이 웃,9,5,2,3,2,2,4,5,5,2,8,5,2,1,4,-,1
형법범,기타형법범,일수와 수리에 관한 죄,지 인,-,-,1,5,3,1,1,3,3,2,-,1,-,-,-,-,-
형법범,기타형법범,일수와 수리에 관한 죄,타 인,4,5,6,5,9,8,6,9,8,2,1,3,3,1,2,1,2
형법범,기타형법범,일수와 수리에 관한 죄,기 타,2,4,1,1,5,7,3,12,1,1,4,6,9,12,9,3,12
형법범,기타형법범,교통 방해의 죄,국 가,298,173,306,251,499,299,332,365,256,732,276,314,379,515,556,802,355
형법범,기타형법범,교통 방해의 죄,공무원,3,1,-,2,-,-,13,2,1,10,4,2,5,5,5,11,10
형법범,기타형법범,교통 방해의 죄,고용자,44,48,42,40,59,36,24,11,23,32,19,17,72,9,11,2,5
형법범,기타형법범,교통 방해의 죄,피고용자,32,21,17,23,21,8,14,6,9,6,8,2,8,1,3,2,3
형법범,기타형법범,교통 방해의 죄,직장동료,10,20,19,8,9,9,2,6,6,13,12,12,11,5,6,6,5
형법범,기타형법범,교통 방해의 죄,친 구,8,6,6,3,2,-,3,9,7,3,3,3,3,3,1,3,3
형법범,기타형법범,교통 방해의 죄,애 인,-,2,2,-,-,1,-,-,-,-,-,1,-,-,1,-,1
형법범,기타형법범,교통 방해의 죄,동거친족,13,4,6,8,8,8,7,11,2,3,-,1,-,4,-,1,2
형법범,기타형법범,교통 방해의 죄,기타친족,5,5,2,5,1,3,6,5,5,3,-,6,2,12,5,3,11
형법범,기타형법범,교통 방해의 죄,거래상대방,4,4,6,3,7,9,9,7,4,7,7,8,13,10,8,6,18
형법범,기타형법범,교통 방해의 죄,이 웃,57,56,61,58,53,73,77,72,95,86,60,77,80,99,110,93,152
형법범,기타형법범,교통 방해의 죄,지 인,23,19,19,26,20,45,28,28,36,25,32,15,27,21,9,19,8
형법범,기타형법범,교통 방해의 죄,타 인,384,357,340,375,323,306,308,358,312,348,267,261,309,326,314,306,308
형법범,기타형법범,교통 방해의 죄,기 타,196,222,242,234,225,267,312,403,304,455,322,357,360,520,557,641,668
형법범,기타형법범,음용수에 관한 죄,국 가,-,1,1,-,1,5,2,1,-,9,-,-,-,-,-,-,-
형법범,기타형법범,음용수에 관한 죄,직장동료,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,음용수에 관한 죄,친 구,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
형법범,기타형법범,음용수에 관한 죄,동거친족,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
형법범,기타형법범,음용수에 관한 죄,기타친족,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
형법범,기타형법범,음용수에 관한 죄,거래상대방,-,2,1,-,-,-,1,1,1,1,-,-,5,1,-,-,-
형법범,기타형법범,음용수에 관한 죄,이 웃,13,13,3,10,8,13,16,8,6,4,5,13,3,8,6,3,16
형법범,기타형법범,음용수에 관한 죄,지 인,3,2,3,2,-,10,11,4,4,1,5,1,2,2,1,-,-
형법범,기타형법범,음용수에 관한 죄,타 인,5,5,6,6,3,20,8,18,7,10,1,3,4,10,6,3,-
형법범,기타형법범,음용수에 관한 죄,기 타,13,16,7,4,1,10,5,8,10,8,5,14,16,18,15,25,18
형법범,기타형법범,아편·몰핀에 관한 죄,국 가,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,과실사상의 죄,국 가,50,53,79,105,97,98,58,86,49,48,19,22,14,20,24,-,5
형법범,기타형법범,과실사상의 죄,공무원,12,7,10,1,8,5,1,6,3,7,6,3,3,4,7,3,1
형법범,기타형법범,과실사상의 죄,고용자,311,279,247,262,199,179,204,214,218,214,276,217,228,229,229,191,264
형법범,기타형법범,과실사상의 죄,피고용자,383,383,382,436,301,328,394,400,406,404,451,459,482,372,406,350,379
형법범,기타형법범,과실사상의 죄,직장동료,723,697,753,679,533,520,559,505,470,484,621,526,544,566,468,566,474
형법범,기타형법범,과실사상의 죄,친 구,27,19,16,33,21,33,44,25,25,26,36,33,34,23,39,53,29
형법범,기타형법범,과실사상의 죄,애 인,3,1,3,5,1,4,5,8,8,5,4,2,6,3,6,11,8
형법범,기타형법범,과실사상의 죄,동거친족,26,29,24,18,12,39,30,26,28,18,21,24,18,22,14,20,14
형법범,기타형법범,과실사상의 죄,기타친족,15,19,10,13,9,19,25,11,16,12,19,15,24,22,17,16,14
형법범,기타형법범,과실사상의 죄,거래상대방,119,93,101,102,127,111,126,129,101,89,115,79,104,76,96,88,98
형법범,기타형법범,과실사상의 죄,이 웃,105,74,90,69,68,82,87,92,82,83,104,74,87,80,92,79,94
형법범,기타형법범,과실사상의 죄,지 인,146,157,196,197,223,189,206,187,170,209,148,114,122,95,114,107,91
형법범,기타형법범,과실사상의 죄,타 인,2065,2013,2009,1944,1836,1890,2073,2029,1996,2022,1797,1651,1811,1894,1797,1961,1936
형법범,기타형법범,과실사상의 죄,기 타,1049,1097,1112,1076,959,1065,1174,1087,984,1214,1466,1426,1609,1577,1641,1878,2076
형법범,기타형법범,낙태의 죄,국 가,4,7,7,5,5,10,19,17,11,2,1,6,4,4,7,-,-
형법범,기타형법범,낙태의 죄,공무원,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,낙태의 죄,고용자,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,낙태의 죄,직장동료,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,낙태의 죄,애 인,1,3,-,2,2,2,1,1,-,1,2,3,-,-,-,1,7
형법범,기타형법범,낙태의 죄,동거친족,3,5,2,4,5,4,8,5,4,2,1,1,2,-,3,1,3
형법범,기타형법범,낙태의 죄,기타친족,5,-,-,1,1,1,1,1,-,3,1,1,-,2,3,-,1
형법범,기타형법범,낙태의 죄,거래상대방,1,1,-,-,-,-,2,1,-,-,-,1,-,-,1,-,1
형법범,기타형법범,낙태의 죄,지 인,2,1,1,-,1,1,3,1,-,1,-,-,-,-,1,-,2
형법범,기타형법범,낙태의 죄,타 인,11,11,6,9,10,21,15,16,10,5,15,9,10,4,10,5,17
형법범,기타형법범,낙태의 죄,기 타,7,9,2,13,19,22,18,28,15,20,28,26,39,24,28,33,73
형법범,기타형법범,유기의 죄,국 가,5,5,6,6,2,17,7,6,8,3,6,6,6,5,2,-,-
형법범,기타형법범,유기의 죄,공무원,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,유기의 죄,고용자,1,2,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-
형법범,기타형법범,유기의 죄,피고용자,-,-,-,-,-,1,-,-,1,-,-,1,-,2,1,1,-
형법범,기타형법범,유기의 죄,직장동료,-,2,-,1,-,-,-,1,-,4,1,-,1,-,-,-,1
형법범,기타형법범,유기의 죄,친 구,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,유기의 죄,애 인,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,유기의 죄,동거친족,33,37,45,25,36,48,52,68,38,54,76,48,31,50,41,28,42
형법범,기타형법범,유기의 죄,기타친족,11,10,8,14,12,16,22,27,8,10,40,7,15,11,8,4,5
형법범,기타형법범,유기의 죄,거래상대방,-,1,-,-,-,1,1,1,-,1,-,-,-,-,-,-,3
형법범,기타형법범,유기의 죄,이 웃,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
형법범,기타형법범,유기의 죄,지 인,5,5,2,5,3,1,1,-,7,1,2,-,2,2,-,6,-
형법범,기타형법범,유기의 죄,타 인,7,10,9,17,16,11,4,7,6,9,10,8,9,8,11,12,7
형법범,기타형법범,유기의 죄,기 타,34,24,24,22,19,47,33,35,32,41,77,86,70,86,81,86,64
형법범,기타형법범,명예에 관한 죄,국 가,43,33,38,102,64,114,99,115,56,69,16,40,43,73,163,247,172
형법범,기타형법범,명예에 관한 죄,공무원,12,6,5,5,14,33,22,15,15,15,30,38,28,392,1143,1752,1600
형법범,기타형법범,명예에 관한 죄,고용자,35,27,24,34,55,75,140,118,85,179,148,158,90,108,85,70,60
형법범,기타형법범,명예에 관한 죄,피고용자,19,42,16,25,38,78,49,65,68,48,61,85,58,60,35,38,40
형법범,기타형법범,명예에 관한 죄,직장동료,223,261,204,219,206,332,444,384,430,458,400,358,284,354,321,391,214
형법범,기타형법범,명예에 관한 죄,친 구,60,39,32,35,29,69,66,93,58,52,91,80,77,86,107,88,84
형법범,기타형법범,명예에 관한 죄,애 인,15,10,10,16,11,15,27,35,22,24,52,50,36,31,42,34,57
형법범,기타형법범,명예에 관한 죄,동거친족,29,27,36,14,18,34,35,32,23,35,26,17,22,19,14,27,20
형법범,기타형법범,명예에 관한 죄,기타친족,124,100,93,137,105,164,143,154,154,110,174,181,144,154,169,119,137
형법범,기타형법범,명예에 관한 죄,거래상대방,116,81,88,104,120,143,176,154,156,155,192,195,191,227,217,228,315
형법범,기타형법범,명예에 관한 죄,이 웃,718,707,621,544,599,862,1000,1063,987,938,940,945,823,807,889,868,959
형법범,기타형법범,명예에 관한 죄,지 인,639,734,752,790,753,1231,1407,1490,1369,1296,1100,1016,847,905,761,789,531
형법범,기타형법범,명예에 관한 죄,타 인,1048,1032,1144,1079,1117,1703,1847,1929,2004,1971,1807,1816,1892,2156,2750,3313,3159
형법범,기타형법범,명예에 관한 죄,기 타,972,1059,1000,1041,1213,1718,1777,2030,2029,2223,5074,6562,7374,7553,8552,9116,9498
형법범,기타형법범,신용·업무와 경매에 관한 죄,국 가,228,164,158,202,230,290,291,310,587,1100,349,260,383,475,381,736,262
형법범,기타형법범,신용·업무와 경매에 관한 죄,공무원,7,7,25,27,7,11,23,11,13,54,65,48,61,189,261,420,91
형법범,기타형법범,신용·업무와 경매에 관한 죄,고용자,369,328,317,470,768,1135,901,1180,1561,907,832,1524,1005,1366,910,832,961
형법범,기타형법범,신용·업무와 경매에 관한 죄,피고용자,148,108,123,148,265,208,319,375,590,425,274,160,279,306,180,149,228
형법범,기타형법범,신용·업무와 경매에 관한 죄,직장동료,162,123,172,132,121,178,194,236,368,156,198,351,269,357,247,263,221
형법범,기타형법범,신용·업무와 경매에 관한 죄,친 구,5,4,-,4,4,14,8,12,7,13,39,36,33,53,67,100,76
형법범,기타형법범,신용·업무와 경매에 관한 죄,애 인,1,3,6,8,6,9,17,12,13,16,36,37,67,101,116,123,108
형법범,기타형법범,신용·업무와 경매에 관한 죄,동거친족,7,3,9,4,4,11,9,7,13,17,19,20,27,21,35,38,24
형법범,기타형법범,신용·업무와 경매에 관한 죄,기타친족,30,28,16,27,23,61,44,69,59,67,55,63,65,107,82,87,103
형법범,기타형법범,신용·업무와 경매에 관한 죄,거래상대방,227,242,190,363,385,433,476,524,452,448,667,512,735,890,988,1001,1105
형법범,기타형법범,신용·업무와 경매에 관한 죄,이 웃,257,219,175,227,176,184,319,330,300,289,253,289,346,292,336,407,447
형법범,기타형법범,신용·업무와 경매에 관한 죄,지 인,246,318,317,429,389,630,741,641,633,634,553,570,758,661,679,757,482
형법범,기타형법범,신용·업무와 경매에 관한 죄,타 인,1436,1662,1570,1677,1479,2179,2429,2913,2972,3181,3806,4263,5837,8202,9967,11088,8616
형법범,기타형법범,신용·업무와 경매에 관한 죄,기 타,1468,1659,1817,1958,1967,2420,2642,2763,3034,3125,4943,6027,7097,7762,7921,8625,8244
형법범,기타형법범,비밀침해죄,국 가,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-
형법범,기타형법범,비밀침해죄,고용자,-,-,-,-,-,3,1,1,-,-,1,4,1,-,-,1,-
형법범,기타형법범,비밀침해죄,피고용자,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,비밀침해죄,직장동료,-,-,-,-,-,-,-,-,-,-,2,1,2,1,1,-,1
형법범,기타형법범,비밀침해죄,동거친족,1,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,1
형법범,기타형법범,비밀침해죄,기타친족,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,비밀침해죄,거래상대방,-,-,1,1,-,-,2,3,-,2,-,-,4,1,-,-,1
형법범,기타형법범,비밀침해죄,이 웃,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
형법범,기타형법범,비밀침해죄,지 인,1,-,-,4,-,-,-,1,-,-,2,4,3,-,-,2,1
형법범,기타형법범,비밀침해죄,타 인,2,4,1,3,2,2,4,4,5,5,6,2,7,7,8,5,9
형법범,기타형법범,비밀침해죄,기 타,2,2,6,2,-,3,1,4,6,-,16,13,26,25,35,33,38
형법범,기타형법범,주거침입의 죄,국 가,15,32,167,61,96,64,40,50,49,42,16,39,33,35,21,48,7
형법범,기타형법범,주거침입의 죄,공무원,-,-,68,3,2,2,9,-,1,2,2,16,3,9,33,9,29
형법범,기타형법범,주거침입의 죄,고용자,2,22,5,-,12,15,7,11,61,3,12,78,59,45,50,116,44
형법범,기타형법범,주거침입의 죄,피고용자,3,1,1,10,4,4,9,6,5,2,8,8,9,14,21,25,19
형법범,기타형법범,주거침입의 죄,직장동료,8,5,2,2,5,3,8,7,11,15,12,10,21,28,44,33,41
형법범,기타형법범,주거침입의 죄,친 구,5,1,4,2,6,9,12,8,7,7,24,15,40,44,49,47,53
형법범,기타형법범,주거침입의 죄,애 인,6,8,8,9,14,20,22,33,37,40,48,55,190,303,360,360,337
형법범,기타형법범,주거침입의 죄,동거친족,2,5,3,5,4,11,3,16,7,10,15,11,28,40,46,35,25
형법범,기타형법범,주거침입의 죄,기타친족,13,14,5,11,15,38,34,35,20,34,47,46,79,92,152,142,144
형법범,기타형법범,주거침입의 죄,거래상대방,48,34,40,89,64,109,79,74,121,56,87,101,101,130,102,130,174
형법범,기타형법범,주거침입의 죄,이 웃,75,60,72,49,65,87,110,124,97,81,94,91,190,266,279,314,367
형법범,기타형법범,주거침입의 죄,지 인,85,82,95,104,146,230,197,170,176,181,189,179,382,453,482,499,355
형법범,기타형법범,주거침입의 죄,타 인,504,433,520,539,674,849,821,720,648,684,803,908,1990,2497,2821,2885,2486
형법범,기타형법범,주거침입의 죄,기 타,280,217,301,383,358,443,428,435,393,414,758,866,1362,1433,1538,1661,1906
형법범,기타형법범,권리행사를 방해하는 죄,국 가,92,67,92,146,202,204,151,122,91,81,32,25,44,38,27,34,27
형법범,기타형법범,권리행사를 방해하는 죄,공무원,1,-,4,-,4,2,-,1,-,-,3,1,1,1,-,2,-
형법범,기타형법범,권리행사를 방해하는 죄,고용자,11,11,5,10,13,15,17,16,10,8,22,20,12,18,2,7,9
형법범,기타형법범,권리행사를 방해하는 죄,피고용자,5,21,12,12,18,29,21,24,20,16,17,33,23,21,10,6,22
형법범,기타형법범,권리행사를 방해하는 죄,직장동료,14,22,13,6,18,23,24,31,22,13,20,24,19,29,5,9,11
형법범,기타형법범,권리행사를 방해하는 죄,친 구,22,10,12,13,21,28,22,11,20,22,39,22,19,12,11,19,19
형법범,기타형법범,권리행사를 방해하는 죄,애 인,2,2,6,6,3,4,8,3,5,4,4,2,2,8,8,8,5
형법범,기타형법범,권리행사를 방해하는 죄,동거친족,27,10,14,21,19,35,21,27,25,36,21,16,11,8,10,14,12
형법범,기타형법범,권리행사를 방해하는 죄,기타친족,39,22,36,39,54,80,82,67,50,61,66,49,44,26,35,25,35
형법범,기타형법범,권리행사를 방해하는 죄,거래상대방,296,437,472,564,802,900,768,687,529,483,532,461,545,426,394,456,439
형법범,기타형법범,권리행사를 방해하는 죄,이 웃,89,59,59,79,70,102,114,64,58,42,59,37,40,29,29,21,25
형법범,기타형법범,권리행사를 방해하는 죄,지 인,238,296,311,385,536,679,504,487,363,359,304,237,194,155,123,124,77
형법범,기타형법범,권리행사를 방해하는 죄,타 인,783,1052,1127,1259,1814,1981,1563,1446,1262,1243,1098,941,919,772,675,711,569
