대분류,중분루,소분류,피해자와의 관계별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,살인,이 웃,40,30,30,34,43,39,55,40,34,41,58,49,50,55,58,65,64
형법범,강력범,살인,지 인,71,84,109,108,139,143,148,191,157,149,113,140,150,180,171,181,138
형법범,강력범,살인,타 인,171,165,183,216,227,261,257,274,218,227,222,235,266,268,296,359,312
형법범,강력범,살인,기 타,115,102,106,132,197,169,155,148,167,182,257,231,288,308,262,342,262
형법범,강력범,강도,국 가,54,20,19,53,97,86,44,53,34,35,22,18,37,41,67,1,-
형법범,강력범,강도,공무원,9,4,5,9,13,11,2,3,1,4,2,3,5,3,13,6,1
형법범,강력범,강도,고용자,17,11,7,15,10,8,12,10,14,8,16,18,30,26,6,21,25
형법범,강력범,강도,피고용자,9,4,9,7,7,8,15,10,8,19,13,14,17,12,14,12,25
형법범,강력범,강도,직장동료,21,13,15,6,12,16,18,14,29,47,50,25,38,56,39,74,22
형법범,강력범,강도,친 구,60,52,20,33,27,55,42,47,49,53,104,79,54,129,128,159,108
형법범,강력범,강도,애 인,10,11,4,6,15,18,25,33,43,63,45,45,43,61,75,100,70
형법범,강력범,강도,동거친족,8,6,3,5,19,20,15,21,12,26,13,13,10,9,11,17,19
형법범,강력범,강도,기타친족,7,7,12,6,23,16,29,12,17,18,14,22,28,19,19,15,18
형법범,강력범,강도,거래상대방,59,36,42,31,78,80,87,63,86,131,73,63,94,74,86,123,85
형법범,강력범,강도,이 웃,71,64,61,52,76,78,51,54,41,49,33,31,28,49,30,45,61
형법범,강력범,강도,지 인,204,151,127,213,238,286,277,300,358,468,341,201,207,251,238,357,205
형법범,강력범,강도,타 인,5475,4245,4093,5078,6649,5322,4903,4190,3978,4988,4504,3458,3645,3815,4267,5776,3632
형법범,강력범,강도,기 타,1050,702,681,880,1069,962,817,737,783,1061,1236,1094,949,926,1181,1847,1271
형법범,강력범,강간,국 가,-,12,30,58,87,75,51,73,27,30,12,23,34,26,27,-,-
형법범,강력범,강간,공무원,2,1,1,2,2,2,1,1,1,2,4,3,-,7,7,7,11
형법범,강력범,강간,고용자,49,35,22,15,28,58,33,40,36,25,39,40,34,40,38,34,85
형법범,강력범,강간,피고용자,55,50,50,49,67,71,61,70,67,81,64,66,68,65,62,63,133
형법범,강력범,강간,직장동료,154,93,107,92,80,97,126,128,117,137,140,139,220,171,187,180,216
형법범,강력범,강간,친 구,141,53,43,42,54,53,65,42,48,45,80,86,122,104,104,116,417
형법범,강력범,강간,애 인,131,89,102,84,110,151,153,168,161,160,187,184,217,212,226,272,371
형법범,강력범,강간,동거친족,70,32,24,27,32,28,32,18,21,19,21,21,24,26,20,31,329
형법범,강력범,강간,기타친족,43,43,35,22,38,36,25,24,17,19,13,22,17,22,24,18,132
형법범,강력범,강간,거래상대방,77,38,50,61,58,73,66,51,46,50,40,37,42,49,51,43,100
형법범,강력범,강간,이 웃,438,339,299,272,244,283,230,181,164,144,160,135,142,142,122,132,492
형법범,강력범,강간,지 인,829,714,791,778,877,961,915,848,765,687,591,529,615,512,568,604,944
형법범,강력범,강간,타 인,3549,2585,2902,2911,3050,3364,3310,3115,2953,3136,3427,3428,4098,4349,4317,4205,8459
형법범,강력범,강간,기 타,1110,737,917,940,1005,941,852,825,713,890,1703,1954,2451,2621,3079,3510,5957
형법범,강력범,방화,국 가,38,46,64,59,204,84,83,154,90,112,87,91,76,93,109,79,62
형법범,강력범,방화,공무원,3,-,2,4,5,4,2,1,3,3,7,13,6,12,11,3,9
형법범,강력범,방화,고용자,15,22,9,12,13,17,11,22,18,14,22,18,17,22,18,18,16
형법범,강력범,방화,피고용자,11,4,6,4,16,6,-,7,4,8,13,7,8,11,8,11,5
형법범,강력범,방화,직장동료,9,5,2,2,7,5,6,3,32,8,12,11,12,16,14,15,13
형법범,강력범,방화,친 구,-,1,2,3,9,9,4,4,4,10,17,9,11,16,14,21,11
형법범,강력범,방화,애 인,25,28,28,30,36,46,36,55,57,65,97,90,79,90,101,85,62
형법범,강력범,방화,동거친족,117,90,81,100,133,177,199,207,167,222,247,234,210,215,255,227,194
형법범,강력범,방화,기타친족,19,25,24,24,19,30,40,41,45,46,65,62,65,59,62,40,57
형법범,강력범,방화,거래상대방,13,5,9,11,14,12,15,12,21,25,24,32,18,15,10,20,20
형법범,강력범,방화,이 웃,63,36,43,44,59,47,53,50,71,56,94,85,89,66,85,78,84
형법범,강력범,방화,지 인,36,45,62,73,95,92,93,102,101,118,89,101,95,67,82,77,53
형법범,강력범,방화,타 인,192,156,193,209,249,264,322,299,291,378,421,478,531,532,612,625,544
형법범,강력범,방화,기 타,146,133,160,172,283,225,223,263,231,352,351,385,269,344,327,377,324
형법범,절도범,소계,국 가,430,365,505,837,1151,1180,743,856,572,693,304,439,511,719,764,951,915
형법범,절도범,소계,공무원,83,53,61,48,66,55,44,21,33,28,52,69,55,88,110,95,102
형법범,절도범,소계,고용자,839,800,760,770,883,968,1112,1075,1188,1226,1570,1657,1656,2172,2049,2356,2921
형법범,절도범,소계,피고용자,529,395,356,372,391,402,509,451,547,516,576,582,658,825,699,875,723
형법범,절도범,소계,직장동료,702,552,454,414,434,497,591,705,841,713,840,819,900,1043,1035,1371,1184
형법범,절도범,소계,친 구,806,662,569,536,758,866,877,924,1023,847,1150,1102,1098,1391,1627,2830,2248
형법범,절도범,소계,애 인,235,185,144,169,220,274,316,525,749,546,590,498,553,688,770,1090,1058
형법범,절도범,소계,동거친족,209,222,183,158,230,268,284,282,352,337,211,198,192,190,181,303,304
형법범,절도범,소계,기타친족,212,177,187,183,225,295,287,283,385,393,276,291,229,251,233,385,328
