대분류,중분류,소분류,은신처별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,실화 및 업무상실화죄,기 타,866,746,777,843,672,683,811,855,669,655,649,634,623,629,604,670,622
형법범,기타형법범,일수와 수리에 관한 죄,자기집,9,14,8,16,11,8,8,14,7,4,6,5,3,2,5,1,2
형법범,기타형법범,일수와 수리에 관한 죄,현장검거,-,-,-,-,2,4,-,2,1,-,1,-,-,-,-,-,1
형법범,기타형법범,일수와 수리에 관한 죄,기 타,7,5,5,2,9,7,7,14,9,3,7,11,13,14,11,3,14
형법범,기타형법범,교통 방해의 죄,자기집,262,210,246,289,310,328,318,371,292,362,269,388,470,439,546,553,502
형법범,기타형법범,교통 방해의 죄,공범집,-,-,-,-,-,-,-,-,-,-,1,2,2,-,2,2,2
형법범,기타형법범,교통 방해의 죄,애인집,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-
형법범,기타형법범,교통 방해의 죄,친족집,-,1,-,2,-,-,-,1,1,-,1,1,-,22,-,10,-
형법범,기타형법범,교통 방해의 죄,지인집,1,-,-,1,1,-,-,1,-,1,-,4,1,2,1,-,2
형법범,기타형법범,교통 방해의 죄,숙박업소,2,-,-,-,4,-,1,2,-,1,4,-,2,2,3,1,3
형법범,기타형법범,교통 방해의 죄,야 외,1,3,3,-,-,1,-,2,-,1,1,2,-,1,22,3,1
형법범,기타형법범,교통 방해의 죄,현장검거,238,272,249,232,305,218,229,332,227,530,268,225,232,362,341,530,224
형법범,기타형법범,교통 방해의 죄,외 국,1,4,3,1,4,-,3,3,1,1,1,1,3,3,4,6,4
형법범,기타형법범,교통 방해의 죄,기 타,572,448,567,511,602,517,584,571,539,827,465,453,559,699,666,789,811
형법범,기타형법범,음용수에 관한 죄,자기집,18,21,4,11,8,36,16,27,20,10,10,13,15,19,10,6,15
형법범,기타형법범,음용수에 관한 죄,친족집,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,음용수에 관한 죄,지인집,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,음용수에 관한 죄,현장검거,2,-,2,-,1,2,2,1,-,-,-,1,-,3,-,-,-
형법범,기타형법범,음용수에 관한 죄,기 타,13,19,15,11,4,21,25,12,8,24,6,18,17,17,18,25,19
형법범,기타형법범,아편·몰핀에 관한 죄,기 타,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,과실사상의 죄,자기집,1762,1690,1664,1620,1437,1448,1656,1497,1363,1389,1625,1317,1393,1266,1492,1538,1668
형법범,기타형법범,과실사상의 죄,공범집,1,-,-,-,-,-,-,-,-,-,2,2,6,1,2,3,2
형법범,기타형법범,과실사상의 죄,애인집,1,-,-,1,-,1,-,-,-,-,-,-,-,-,3,-,1
형법범,기타형법범,과실사상의 죄,친족집,2,3,1,-,-,1,5,-,-,1,6,2,4,3,4,3,1
형법범,기타형법범,과실사상의 죄,지인집,3,2,4,2,-,-,1,-,-,-,6,4,4,9,8,4,7
형법범,기타형법범,과실사상의 죄,숙박업소,7,-,9,1,6,-,3,2,1,2,2,3,4,3,3,1,4
형법범,기타형법범,과실사상의 죄,야 외,5,2,15,8,1,5,7,5,3,2,10,12,6,11,9,12,19
형법범,기타형법범,과실사상의 죄,현장검거,664,579,657,579,526,565,679,607,646,606,687,487,469,464,450,464,379
형법범,기타형법범,과실사상의 죄,외 국,4,2,4,4,1,2,2,6,3,1,2,7,7,6,3,5,3
형법범,기타형법범,과실사상의 죄,기 타,2585,2643,2678,2725,2423,2540,2633,2688,2539,2834,2743,2811,3193,3220,2976,3293,3399
형법범,기타형법범,낙태의 죄,자기집,24,22,11,21,21,24,32,30,25,12,13,18,23,12,20,15,36
형법범,기타형법범,낙태의 죄,공범집,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,낙태의 죄,애인집,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,낙태의 죄,친족집,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1
형법범,기타형법범,낙태의 죄,지인집,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1
형법범,기타형법범,낙태의 죄,현장검거,-,-,-,-,2,2,1,10,-,-,2,-,-,-,-,-,-
형법범,기타형법범,낙태의 죄,외 국,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,낙태의 죄,기 타,10,15,7,12,20,35,35,30,16,22,33,28,31,22,32,24,65
형법범,기타형법범,유기의 죄,자기집,47,48,50,39,45,79,62,57,52,60,96,50,28,38,27,29,34
형법범,기타형법범,유기의 죄,공범집,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,-,-
형법범,기타형법범,유기의 죄,애인집,1,2,-,-,-,-,1,-,-,-,3,-,-,-,1,1,-
형법범,기타형법범,유기의 죄,친족집,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,유기의 죄,지인집,-,1,-,-,2,-,2,2,-,-,3,1,1,2,-,2,1
형법범,기타형법범,유기의 죄,숙박업소,2,-,-,2,2,-,-,-,-,1,2,6,2,7,2,5,1
형법범,기타형법범,유기의 죄,야 외,-,-,-,1,-,-,4,1,-,1,-,-,2,2,-,1,1
형법범,기타형법범,유기의 죄,현장검거,3,3,4,5,10,8,3,6,8,3,8,1,5,4,6,12,2
형법범,기타형법범,유기의 죄,외 국,2,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
형법범,기타형법범,유기의 죄,기 타,42,43,39,44,30,55,48,79,40,60,98,98,95,111,108,87,83
형법범,기타형법범,명예에 관한 죄,자기집,2466,2496,2289,2450,2412,3507,3815,4100,4093,4037,4488,4326,4058,4005,4471,4802,4848
형법범,기타형법범,명예에 관한 죄,공범집,-,-,-,-,-,-,1,-,1,1,1,3,2,9,8,13,3
형법범,기타형법범,명예에 관한 죄,애인집,1,-,-,1,-,-,-,-,-,-,1,-,1,-,1,3,-
형법범,기타형법범,명예에 관한 죄,친족집,3,-,3,-,2,3,-,3,2,5,3,5,6,2,15,13,16
형법범,기타형법범,명예에 관한 죄,지인집,3,2,1,-,1,1,2,-,1,3,23,40,25,20,21,24,22
형법범,기타형법범,명예에 관한 죄,숙박업소,4,1,1,2,2,1,3,-,2,2,5,4,6,4,6,11,10
형법범,기타형법범,명예에 관한 죄,야 외,3,-,2,-,3,-,2,-,2,1,2,2,3,6,6,18,25
형법범,기타형법범,명예에 관한 죄,현장검거,28,27,33,27,68,66,146,113,127,57,90,108,89,605,1421,2102,1987
형법범,기타형법범,명예에 관한 죄,외 국,3,2,2,3,-,4,4,2,3,5,15,15,14,20,24,19,15
형법범,기타형법범,명예에 관한 죄,기 타,1542,1630,1732,1662,1854,2989,3259,3459,3225,3462,5483,7038,7705,8254,9275,10075,9920
형법범,기타형법범,신용·업무와 경매에 관한 죄,자기집,2443,2788,2524,3143,2781,3689,3506,3980,4610,3896,3934,4482,4414,4715,4649,4809,4787
형법범,기타형법범,신용·업무와 경매에 관한 죄,공범집,-,1,3,1,-,1,-,1,1,-,10,11,7,8,10,7,4
형법범,기타형법범,신용·업무와 경매에 관한 죄,애인집,-,1,-,-,1,-,-,1,-,-,1,1,-,2,4,4,2
형법범,기타형법범,신용·업무와 경매에 관한 죄,친족집,5,1,-,-,3,-,2,1,4,2,16,17,13,26,25,41,21
형법범,기타형법범,신용·업무와 경매에 관한 죄,지인집,7,6,-,3,3,2,3,2,13,3,26,31,16,17,38,31,25
형법범,기타형법범,신용·업무와 경매에 관한 죄,숙박업소,4,3,-,1,20,6,6,2,26,4,7,11,10,32,11,23,17
형법범,기타형법범,신용·업무와 경매에 관한 죄,야 외,5,5,1,-,29,9,9,3,5,1,10,16,31,33,45,76,53
형법범,기타형법범,신용·업무와 경매에 관한 죄,현장검거,215,221,160,303,446,560,932,1077,1303,1643,2558,2924,4141,6673,8026,9484,7273
형법범,기타형법범,신용·업무와 경매에 관한 죄,외 국,2,1,2,1,2,2,3,2,-,8,18,25,20,23,19,17,9
형법범,기타형법범,신용·업무와 경매에 관한 죄,기 타,1910,1841,2205,2224,2539,3494,3952,4314,4640,4875,5509,6642,8310,9253,9343,10134,8777
형법범,기타형법범,비밀침해죄,자기집,4,2,4,7,-,2,6,9,10,2,12,11,20,13,6,9,9
형법범,기타형법범,비밀침해죄,친족집,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,비밀침해죄,현장검거,-,-,2,-,-,-,-,429,-,-,-,-,-,-,-,1,-
형법범,기타형법범,비밀침해죄,기 타,2,4,2,3,2,7,3,4,4,5,16,13,25,26,38,32,41
형법범,기타형법범,주거침입의 죄,자기집,364,345,418,448,487,543,519,527,585,447,565,563,684,808,1031,1110,1249
형법범,기타형법범,주거침입의 죄,공범집,3,3,-,1,-,-,-,1,-,3,-,1,3,4,6,2,2
형법범,기타형법범,주거침입의 죄,애인집,2,-,1,2,3,-,1,2,1,-,-,1,4,3,5,5,7
형법범,기타형법범,주거침입의 죄,친족집,-,-,3,1,4,5,2,1,2,1,3,3,18,9,15,16,8
형법범,기타형법범,주거침입의 죄,지인집,2,1,3,1,1,4,3,1,-,1,9,6,5,10,18,12,12
형법범,기타형법범,주거침입의 죄,숙박업소,2,1,2,2,-,1,-,1,-,3,4,4,6,8,15,13,16
형법범,기타형법범,주거침입의 죄,야 외,2,3,7,8,5,6,2,5,2,3,2,1,8,19,21,40,34
형법범,기타형법범,주거침입의 죄,현장검거,228,221,376,305,400,586,498,82,402,465,684,712,1937,2588,2800,2790,2379
형법범,기타형법범,주거침입의 죄,외 국,-,-,1,-,-,-,-,1,-,3,2,3,-,1,3,1,-
형법범,기타형법범,주거침입의 죄,기 타,443,340,480,499,565,739,754,721,641,645,846,1129,1822,1939,2084,2315,2280
형법범,기타형법범,권리행사를 방해하는 죄,자기집,1399,1594,1711,2021,2915,3099,2403,2109,1789,1747,1818,1554,1463,1204,1008,1065,995
형법범,기타형법범,권리행사를 방해하는 죄,공범집,1,-,-,-,2,-,-,-,1,1,2,-,-,1,1,1,2
형법범,기타형법범,권리행사를 방해하는 죄,애인집,-,2,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1
형법범,기타형법범,권리행사를 방해하는 죄,친족집,1,4,2,5,5,9,1,2,3,10,7,3,2,10,2,4,7
형법범,기타형법범,권리행사를 방해하는 죄,지인집,5,-,1,4,2,4,5,3,1,1,25,11,17,16,9,17,10
형법범,기타형법범,권리행사를 방해하는 죄,숙박업소,2,1,2,3,1,6,1,2,-,2,2,4,9,5,5,6,4
형법범,기타형법범,권리행사를 방해하는 죄,야 외,-,1,4,3,1,5,-,3,4,2,7,3,4,5,5,7,9
형법범,기타형법범,권리행사를 방해하는 죄,현장검거,10,17,35,35,84,65,88,-,67,40,35,27,35,27,34,40,19
형법범,기타형법범,권리행사를 방해하는 죄,외 국,1,3,3,1,11,4,5,3,2,5,11,8,7,10,11,9,5
형법범,기타형법범,권리행사를 방해하는 죄,기 타,1002,1233,1422,1696,2329,2714,2163,2067,1863,1774,2926,3345,4253,4109,3880,4557,4138
형법범,기타형법범,인질강요,자기집,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,인질강요,지인집,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,인질강요,현장검거,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-
형법범,기타형법범,인질강요,외 국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
형법범,기타형법범,인질강요,기 타,-,-,-,1,-,-,-,-,-,-,3,-,-,-,1,-,-
형법범,기타형법범,인질상해(치상),자기집,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,인질상해(치상),현장검거,-,-,-,-,-,1,-,-,-,-,-,4,-,1,-,-,1
형법범,기타형법범,인질상해(치상),기 타,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,인질살해(치사),현장검거,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,기타,자기집,-,-,-,-,-,-,-,-,-,-,34,15,19,169,212,3,1
형법범,기타형법범,기타,공범집,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-
형법범,기타형법범,기타,친족집,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
형법범,기타형법범,기타,지인집,-,-,-,-,-,-,-,-,-,-,2,1,-,3,1,-,-
형법범,기타형법범,기타,숙박업소,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-
형법범,기타형법범,기타,야 외,-,-,-,-,-,-,-,-,-,-,-,5,-,11,2,-,-
형법범,기타형법범,기타,현장검거,-,-,-,-,-,-,-,-,-,-,27,16,8,53,42,1,-
형법범,기타형법범,기타,외 국,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
형법범,기타형법범,기타,기 타,-,-,-,-,-,-,-,-,-,-,86,24,41,192,193,11,5
특별법범,소계,소계,자기집,200159,184861,179777,183900,209656,192792,163467,175159,176531,167764,199256,165829,169921,190564,222960,250431,209841
특별법범,소계,소계,공범집,203,159,204,962254,1041956,979486,969840,132,80,75,997,628,438,501,689,742,268
특별법범,소계,소계,애인집,69,67,65,90,142,122,160,136,132,119,287,198,194,253,225,234,227
특별법범,소계,소계,친족집,410,363,359,367,439,389,366,318,270,186,2186,1448,1300,1656,2292,2000,929
특별법범,소계,소계,지인집,500,480,536,671,770,630,606,600,579,581,2011,1697,1730,1751,2131,2206,1523
특별법범,소계,소계,숙박업소,826,772,767,837,1077,943,1105,1113,992,812,1456,1096,1260,1546,1605,1546,1287
특별법범,소계,소계,야 외,713,956,1133,1209,1354,1111,993,1003,922,763,3754,1894,1846,3369,3711,3997,4396
특별법범,소계,소계,현장검거,232432,267429,297138,377829,412471,361190,344140,376951,408722,387237,530070,424557,389370,459902,542283,411459,345183
특별법범,소계,소계,외 국,593,492,538,546,530,440,634,599,569,631,1052,864,872,933,1042,1263,678
특별법범,소계,소계,기 타,370473,351567,377136,396453,415183,421529,458077,503053,503880,492170,483725,391076,398266,417719,491407,495037,387530
