대분류,중분류,소분류,은신처별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,강간,숙박업소,103,68,60,69,62,66,71,52,34,37,56,41,66,51,61,68,148
형법범,강력범,강간,야 외,79,62,71,74,100,71,57,62,43,39,59,38,62,47,72,75,186
형법범,강력범,강간,현장검거,1032,965,1193,1219,1439,1670,1691,1767,1708,1922,2383,2327,2637,2846,2734,2595,4522
형법범,강력범,강간,외 국,5,5,5,3,2,4,2,1,2,2,7,6,7,5,7,6,6
형법범,강력범,강간,기 타,2938,2226,2415,2395,2538,2650,2648,2496,2237,2314,2684,3003,3870,4006,4380,4766,8051
형법범,강력범,방화,자기집,161,104,137,137,177,179,151,170,171,163,186,233,239,255,339,300,389
형법범,강력범,방화,공범집,3,-,-,748,1143,1018,1087,-,-,4,1,1,-,-,1,2,-
형법범,강력범,방화,애인집,7,1,1,2,8,1,2,2,5,3,4,-,1,3,7,1,4
형법범,강력범,방화,친족집,12,4,4,6,5,5,8,3,3,5,11,9,4,2,11,3,3
형법범,강력범,방화,지인집,6,5,3,5,5,9,2,8,5,4,11,9,5,10,15,8,11
형법범,강력범,방화,숙박업소,7,3,3,3,5,9,9,7,7,7,9,16,6,15,15,14,15
형법범,강력범,방화,야 외,9,6,4,6,16,16,12,10,8,14,23,30,23,30,34,30,31
형법범,강력범,방화,현장검거,225,225,234,278,446,397,433,502,529,654,793,777,703,696,719,699,546
형법범,강력범,방화,외 국,-,-,-,-,-,1,2,2,-,-,1,-,2,2,2,-,1
형법범,강력범,방화,기 타,257,248,299,309,479,401,468,516,407,563,507,541,503,545,565,619,454
형법범,절도범,소계,자기집,14463,11669,11074,11642,14624,14011,11869,10983,11633,10770,13877,15733,17834,23219,25122,37111,40302
형법범,절도범,소계,공범집,331,211,190,56470,73601,67117,66334,185,161,171,257,210,167,244,212,287,278
형법범,절도범,소계,애인집,100,64,74,71,101,126,118,134,144,185,197,209,197,258,222,298,351
형법범,절도범,소계,친족집,172,144,113,102,145,121,104,120,123,119,255,219,218,251,256,370,254
형법범,절도범,소계,지인집,398,274,252,319,474,375,324,281,288,288,538,610,590,678,789,1023,975
형법범,절도범,소계,숙박업소,719,511,491,517,580,428,552,647,608,538,1010,1063,1136,1298,1495,2065,2044
형법범,절도범,소계,야 외,1352,1982,2036,1929,2713,1868,1610,1189,1260,1126,1455,1676,1646,1992,2483,2882,3332
형법범,절도범,소계,현장검거,13691,14405,14443,17116,22911,20228,20239,16641,16429,15978,20421,20231,20971,22238,22328,25164,20824
형법범,절도범,소계,외 국,21,19,17,22,37,28,25,34,27,37,49,57,51,88,89,116,79
형법범,절도범,소계,기 타,22124,22741,23340,24392,31202,29320,30989,29258,32971,32439,30339,32141,36205,42942,43322,56768,50671
형법범,폭력범,소계,자기집,61748,57374,54260,55676,57779,63175,54895,54131,44986,45002,54201,50233,53106,56900,65499,70698,73402
형법범,폭력범,소계,공범집,317,290,307,350311,387543,475294,517872,148,126,106,379,220,192,253,224,215,167
형법범,폭력범,소계,애인집,270,211,211,219,228,235,213,217,241,190,191,145,143,162,142,189,216
형법범,폭력범,소계,친족집,492,342,304,272,332,302,266,207,174,189,1288,889,777,888,878,1024,429
형법범,폭력범,소계,지인집,816,691,637,630,718,648,587,584,396,395,839,746,729,586,700,759,621
형법범,폭력범,소계,숙박업소,990,768,796,768,650,624,647,631,467,480,631,586,579,672,739,707,697
형법범,폭력범,소계,야 외,1307,1232,1786,1647,1718,1279,1126,1015,731,726,1395,1196,989,1500,1710,2162,2011
형법범,폭력범,소계,현장검거,131172,139669,148591,157174,188789,254166,281790,280287,249078,245436,262344,237759,213434,211005,200037,186534,151283
형법범,폭력범,소계,외 국,133,152,145,154,168,179,165,213,193,204,204,134,124,152,168,216,155
형법범,폭력범,소계,기 타,135502,124335,129057,133191,136633,154204,177681,176502,140523,142935,131081,143857,159655,178516,184545,188241,170203
