대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
형법범,지능범죄,증수뢰,미상,217,171,177,192,227,172,247,319,255,284,271,308
형법범,지능범죄,통화,소계,121,163,434,334,286,220,531,255,143,86,58,42
형법범,지능범죄,통화,자기집,32,39,45,42,44,45,83,32,30,14,12,14
형법범,지능범죄,통화,공범집,-,1,2,1,3,-,-,-,-,-,-,-
형법범,지능범죄,통화,애인집,-,-,-,-,1,-,-,2,-,-,-,-
형법범,지능범죄,통화,친족집,-,-,1,-,-,1,-,-,-,1,-,-
형법범,지능범죄,통화,지인집,-,3,2,-,1,1,5,-,4,-,-,-
형법범,지능범죄,통화,숙박업소,-,4,8,-,3,8,2,6,4,3,1,-
형법범,지능범죄,통화,야외,3,2,-,2,2,-,1,-,-,-,1,-
형법범,지능범죄,통화,현장검거,10,13,20,10,10,3,2,1,5,-,-,-
형법범,지능범죄,통화,외국,-,-,1,1,-,1,-,1,-,-,-,-
형법범,지능범죄,통화,기타,42,43,48,32,40,34,47,34,23,10,9,2
형법범,지능범죄,통화,미상,34,58,307,246,182,127,391,179,77,58,35,26
형법범,지능범죄,문서・인장,소계,22105,19479,20406,19460,19022,18024,15918,15576,16253,15465,11441,11864
형법범,지능범죄,문서・인장,자기집,6201,5640,5962,5507,5288,5190,4831,4566,4707,4452,3453,3582
형법범,지능범죄,문서・인장,공범집,5,5,5,7,2,5,9,3,5,2,-,1
형법범,지능범죄,문서・인장,애인집,14,12,20,15,24,16,15,11,13,14,3,5
형법범,지능범죄,문서・인장,친족집,35,26,23,15,24,28,23,19,15,11,11,14
형법범,지능범죄,문서・인장,지인집,32,49,43,39,61,63,55,57,40,39,20,22
형법범,지능범죄,문서・인장,숙박업소,36,32,27,36,27,43,35,40,36,28,22,22
형법범,지능범죄,문서・인장,야외,37,36,29,29,30,26,23,26,18,19,15,10
형법범,지능범죄,문서・인장,현장검거,644,814,710,639,670,751,542,475,426,361,182,263
형법범,지능범죄,문서・인장,외국,50,51,43,29,44,33,16,32,9,11,14,9
형법범,지능범죄,문서・인장,기타,4616,3986,4020,3953,3682,3271,2442,1984,2269,1978,1774,1928
형법범,지능범죄,문서・인장,미상,10435,8828,9524,9191,9170,8598,7927,8363,8715,8550,5947,6008
형법범,지능범죄,유가증권인지,소계,1025,633,548,552,399,373,330,295,208,117,68,78
형법범,지능범죄,유가증권인지,자기집,167,108,81,92,66,73,80,39,37,23,17,19
형법범,지능범죄,유가증권인지,공범집,1,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,유가증권인지,애인집,3,-,-,1,-,-,-,-,1,-,-,-
형법범,지능범죄,유가증권인지,친족집,3,1,-,1,-,1,2,-,-,-,1,-
형법범,지능범죄,유가증권인지,지인집,2,-,1,-,1,2,-,-,-,1,-,-
형법범,지능범죄,유가증권인지,숙박업소,-,-,4,2,3,1,-,2,3,-,1,1
형법범,지능범죄,유가증권인지,야외,1,1,-,-,2,1,1,1,-,-,-,-
형법범,지능범죄,유가증권인지,현장검거,3,10,8,23,7,2,4,3,2,2,-,1
형법범,지능범죄,유가증권인지,외국,2,1,-,1,2,2,1,-,1,1,-,-
형법범,지능범죄,유가증권인지,기타,146,111,98,106,85,57,54,45,27,16,8,5
형법범,지능범죄,유가증권인지,미상,697,401,356,326,233,234,188,205,137,74,41,52
형법범,지능범죄,사기,소계,264634,220887,239309,222173,228205,223210,208482,229854,246160,245009,162836,169528
형법범,지능범죄,사기,자기집,47683,46673,49691,50916,53576,54789,56152,65157,76348,76077,57303,55377
형법범,지능범죄,사기,공범집,82,57,68,51,87,71,76,102,71,153,92,66
형법범,지능범죄,사기,애인집,169,156,216,262,370,435,538,552,443,485,390,472
형법범,지능범죄,사기,친족집,303,314,393,414,515,607,535,573,528,500,350,384
형법범,지능범죄,사기,지인집,704,727,862,833,1153,1286,1426,1433,1417,1317,974,1065
형법범,지능범죄,사기,숙박업소,1336,1392,1732,1864,2311,2406,2390,3044,3210,3365,2587,2404
형법범,지능범죄,사기,야외,539,458,427,421,419,459,415,495,498,566,398,404
형법범,지능범죄,사기,현장검거,6033,5925,6230,5747,7781,7353,6935,6623,6241,5125,3071,3097
형법범,지능범죄,사기,외국,462,356,441,429,450,519,490,551,545,390,228,317
형법범,지능범죄,사기,기타,44779,43947,44682,46692,46604,43816,37495,38633,42465,42565,32371,33764
형법범,지능범죄,사기,미상,162544,120882,134567,114544,114939,111469,102030,112691,114394,114466,65072,72178
형법범,지능범죄,횡령,소계,31389,29507,32723,31975,35945,35583,33580,35270,35163,35930,27970,30006
형법범,지능범죄,횡령,자기집,8072,8394,10039,9318,11464,12209,12582,12889,13507,14226,12093,13307
형법범,지능범죄,횡령,공범집,2,5,8,9,7,11,6,8,2,5,3,8
형법범,지능범죄,횡령,애인집,15,8,11,24,38,37,33,43,33,29,27,32
형법범,지능범죄,횡령,친족집,24,15,44,44,67,71,79,61,52,56,56,55
형법범,지능범죄,횡령,지인집,71,73,71,87,147,137,146,155,127,118,98,105
형법범,지능범죄,횡령,숙박업소,94,74,132,122,157,194,179,187,209,179,164,196
형법범,지능범죄,횡령,야외,78,74,87,95,135,140,169,165,232,229,172,154
형법범,지능범죄,횡령,현장검거,306,350,453,434,583,791,686,762,736,689,459,535
형법범,지능범죄,횡령,외국,48,48,41,55,56,45,56,45,48,28,19,21
형법범,지능범죄,횡령,기타,5464,5998,6718,6681,7198,6643,6048,5664,5595,5452,4402,4892
형법범,지능범죄,횡령,미상,17215,14468,15119,15106,16093,15305,13596,15291,14622,14919,10477,10701
형법범,지능범죄,배임,소계,7860,7510,8425,9361,8233,7608,7806,8209,8151,8324,5690,5625
형법범,지능범죄,배임,자기집,1646,1606,1864,2151,1730,1699,1884,1831,1655,1542,1078,974
형법범,지능범죄,배임,공범집,1,-,2,2,-,1,1,-,-,-,-,-
형법범,지능범죄,배임,애인집,1,1,-,2,3,3,4,2,3,1,-,-
형법범,지능범죄,배임,친족집,7,2,5,11,9,9,5,6,4,4,-,3
형법범,지능범죄,배임,지인집,6,10,9,8,3,15,11,7,7,8,4,4
형법범,지능범죄,배임,숙박업소,2,1,7,4,8,5,7,3,4,4,-,2
형법범,지능범죄,배임,야외,4,-,3,1,3,2,4,3,1,2,3,2
형법범,지능범죄,배임,현장검거,5,6,9,7,13,11,5,11,7,14,14,4
형법범,지능범죄,배임,외국,12,10,10,8,8,8,5,7,8,6,3,2
형법범,지능범죄,배임,기타,1006,1052,1143,1707,1164,992,1033,805,722,690,630,456
형법범,지능범죄,배임,미상,5170,4822,5373,5460,5292,4863,4847,5534,5740,6053,3958,4178
형법범,풍속범죄,소계,소계,61383,50905,48014,41694,41083,45149,35781,32183,33779,34671,29030,30991
형법범,풍속범죄,소계,자기집,18567,14472,16507,13151,13204,18799,13731,12788,14669,17529,14895,16576
형법범,풍속범죄,소계,공범집,125,93,26,58,81,41,13,19,33,21,20,8
형법범,풍속범죄,소계,애인집,35,42,40,35,26,30,36,35,41,32,29,37
형법범,풍속범죄,소계,친족집,37,46,40,41,28,35,34,39,23,33,26,50
형법범,풍속범죄,소계,지인집,163,107,124,130,110,100,91,91,90,101,80,67
형법범,풍속범죄,소계,숙박업소,79,96,121,88,116,129,75,60,93,72,63,88
형법범,풍속범죄,소계,야외,122,94,92,93,147,126,134,113,123,106,67,85
형법범,풍속범죄,소계,현장검거,24237,20566,17211,16314,17192,14373,12899,11359,10170,8308,5987,4685
형법범,풍속범죄,소계,외국,68,38,37,61,75,114,94,82,99,80,69,89
형법범,풍속범죄,소계,기타,12044,10917,9413,7633,6793,8773,5816,4654,5164,4786,4348,4397
형법범,풍속범죄,소계,미상,5906,4434,4403,4090,3311,2629,2858,2943,3274,3603,3446,4909
형법범,풍속범죄,성풍속범죄,소계,15209,16321,18688,13945,11917,11207,12046,12713,12473,13546,14549,19351
형법범,풍속범죄,성풍속범죄,자기집,7695,7494,8997,5957,5177,5230,5403,6501,6558,7918,8942,11601
형법범,풍속범죄,성풍속범죄,공범집,3,9,5,3,1,2,3,2,5,5,4,3
형법범,풍속범죄,성풍속범죄,애인집,17,35,29,25,9,9,7,15,22,22,20,27
형법범,풍속범죄,성풍속범죄,친족집,12,20,30,21,18,13,17,26,13,26,18,45
형법범,풍속범죄,성풍속범죄,지인집,32,21,36,31,22,16,22,29,38,31,40,36
형법범,풍속범죄,성풍속범죄,숙박업소,31,48,68,50,65,65,40,44,41,46,51,59
형법범,풍속범죄,성풍속범죄,야외,73,44,39,34,59,98,113,96,104,85,64,77
형법범,풍속범죄,성풍속범죄,현장검거,1224,1909,2274,2251,2828,2880,3193,2586,2305,1678,1365,1437
형법범,풍속범죄,성풍속범죄,외국,7,11,11,26,5,3,6,6,20,6,5,13
형법범,풍속범죄,성풍속범죄,기타,3031,3959,4260,2884,2157,2007,1927,1904,1693,1846,1987,2390
형법범,풍속범죄,성풍속범죄,미상,3084,2771,2939,2663,1576,884,1315,1504,1674,1883,2053,3663
형법범,풍속범죄,도박범죄,소계,46174,34584,29326,27749,29166,33942,23735,19470,21306,21125,14481,11640
형법범,풍속범죄,도박범죄,자기집,10872,6978,7510,7194,8027,13569,8328,6287,8111,9611,5953,4975
형법범,풍속범죄,도박범죄,공범집,122,84,21,55,80,39,10,17,28,16,16,5
형법범,풍속범죄,도박범죄,애인집,18,7,11,10,17,21,29,20,19,10,9,10
형법범,풍속범죄,도박범죄,친족집,25,26,10,20,10,22,17,13,10,7,8,5
형법범,풍속범죄,도박범죄,지인집,131,86,88,99,88,84,69,62,52,70,40,31
형법범,풍속범죄,도박범죄,숙박업소,48,48,53,38,51,64,35,16,52,26,12,29
형법범,풍속범죄,도박범죄,야외,49,50,53,59,88,28,21,17,19,21,3,8
형법범,풍속범죄,도박범죄,현장검거,23013,18657,14937,14063,14364,11493,9706,8773,7865,6630,4622,3248
형법범,풍속범죄,도박범죄,외국,61,27,26,35,70,111,88,76,79,74,64,76
형법범,풍속범죄,도박범죄,기타,9013,6958,5153,4749,4636,6766,3889,2750,3471,2940,2361,2007
형법범,풍속범죄,도박범죄,미상,2822,1663,1464,1427,1735,1745,1543,1439,1600,1720,1393,1246
형법범,특별경제범죄,소계,소계,91622,93427,83308,87648,90356,77669,72452,75348,79175,67904,46846,50673
형법범,특별경제범죄,소계,자기집,29769,30010,25213,28123,28798,24841,25048,27712,31561,26414,17817,18138
형법범,특별경제범죄,소계,공범집,13,27,28,55,12,17,22,17,18,7,4,4
형법범,특별경제범죄,소계,애인집,23,21,22,26,27,38,31,38,31,39,19,28
형법범,특별경제범죄,소계,친족집,62,44,60,63,71,53,60,43,71,39,15,33
형법범,특별경제범죄,소계,지인집,129,108,115,133,189,132,155,131,114,101,65,65
형법범,특별경제범죄,소계,숙박업소,153,167,212,180,242,211,220,197,175,117,122,96
형법범,특별경제범죄,소계,야외,161,132,110,131,98,112,120,93,125,84,71,72
형법범,특별경제범죄,소계,현장검거,8707,10705,11173,12047,13214,13701,12390,11642,10953,8686,5516,5848
형법범,특별경제범죄,소계,외국,119,122,96,97,85,109,98,74,73,50,50,71
형법범,특별경제범죄,소계,기타,20421,22311,16298,18247,18124,15014,13686,13692,14694,12079,8618,9000
형법범,특별경제범죄,소계,미상,32065,29780,29981,28546,29496,23441,20622,21709,21360,20288,14549,17318
형법범,마약범죄,소계,소계,5409,4731,5049,5264,6913,8443,8512,7677,9875,11630,10173,11948
형법범,마약범죄,소계,자기집,1786,1683,2098,2050,2887,3832,3968,3932,5401,6260,5227,6624
형법범,마약범죄,소계,공범집,2,5,7,4,14,6,15,17,26,15,21,18
형법범,마약범죄,소계,애인집,45,53,48,53,77,79,98,65,96,91,94,94
형법범,마약범죄,소계,친족집,28,18,33,27,33,39,37,30,44,40,23,18
형법범,마약범죄,소계,지인집,56,42,47,37,70,108,105,102,160,148,136,124
형법범,마약범죄,소계,숙박업소,222,199,220,230,295,352,344,314,307,333,395,337
형법범,마약범죄,소계,야외,87,70,72,44,47,45,58,49,63,53,73,55
형법범,마약범죄,소계,현장검거,284,278,310,404,520,704,774,445,460,625,578,678
형법범,마약범죄,소계,외국,41,26,33,24,31,24,20,20,32,27,17,15
형법범,마약범죄,소계,기타,2009,1931,1768,1892,2231,2331,2214,1914,2347,3004,2562,3049
형법범,마약범죄,소계,미상,849,426,413,499,708,923,879,789,939,1034,1047,936
형법범,보건범죄,소계,소계,20445,19531,23046,22085,20721,21649,19130,16965,18024,21810,38943,56720
형법범,보건범죄,소계,자기집,9023,8993,11283,10782,10719,10789,9952,9030,9404,11458,18926,27596
형법범,보건범죄,소계,공범집,5,2,10,6,6,2,4,-,4,5,2,5
형법범,보건범죄,소계,애인집,-,1,4,-,3,8,2,3,7,11,7,9
형법범,보건범죄,소계,친족집,9,8,4,6,8,3,15,8,8,26,37,12
형법범,보건범죄,소계,지인집,35,16,21,30,15,31,28,21,28,38,55,40
형법범,보건범죄,소계,숙박업소,20,8,22,42,21,22,13,13,27,38,32,20
형법범,보건범죄,소계,야외,19,5,14,7,6,12,6,6,5,14,23,31
형법범,보건범죄,소계,현장검거,2555,1788,2031,1617,1451,1281,1239,1086,1412,1281,5060,5884
형법범,보건범죄,소계,외국,9,13,18,17,7,16,12,12,5,7,3,12
형법범,보건범죄,소계,기타,6604,6480,7207,7021,5570,6656,4821,3879,4233,5156,10358,16021
형법범,보건범죄,소계,미상,2166,2217,2432,2557,2915,2829,3038,2907,2891,3776,4440,7090
형법범,환경범죄,소계,소계,3113,3247,3588,3136,3176,3802,4378,4066,5088,4329,3853,3689
형법범,환경범죄,소계,자기집,1400,1458,1612,1550,1638,2059,2254,2104,2770,2192,1999,1810
형법범,환경범죄,소계,공범집,1,-,-,2,1,-,-,-,-,-,2,-
형법범,환경범죄,소계,애인집,-,-,1,-,-,-,1,1,6,1,2,1
형법범,환경범죄,소계,친족집,1,-,1,-,-,1,4,-,1,2,1,1
형법범,환경범죄,소계,지인집,7,3,3,5,6,-,2,3,5,3,4,4
형법범,환경범죄,소계,숙박업소,3,2,1,3,1,1,5,-,8,4,5,2
형법범,환경범죄,소계,야외,1,5,6,6,3,6,2,-,13,2,1,2
형법범,환경범죄,소계,현장검거,214,195,246,141,198,183,188,196,206,162,133,96
형법범,환경범죄,소계,외국,-,1,1,1,1,2,2,1,-,-,-,2
형법범,환경범죄,소계,기타,1066,1124,1301,1026,910,1090,1330,1125,1318,1292,1194,1264
형법범,환경범죄,소계,미상,420,459,416,402,418,460,590,636,761,671,512,507
형법범,교통범죄,소계,소계,524350,512076,536756,533126,549374,555352,484552,413147,383717,356446,311232,240216
형법범,교통범죄,소계,자기집,54634,55959,60310,59203,60634,59366,57448,48615,47655,48287,47648,49146
형법범,교통범죄,소계,공범집,37,43,27,36,28,62,26,3,9,7,4,4
형법범,교통범죄,소계,애인집,58,50,58,36,52,47,53,50,67,59,58,43
형법범,교통범죄,소계,친족집,329,250,231,213,197,138,187,130,110,102,112,89
형법범,교통범죄,소계,지인집,531,535,487,520,513,485,406,463,424,407,402,349
형법범,교통범죄,소계,숙박업소,346,385,341,337,362,299,328,302,285,250,232,275
형법범,교통범죄,소계,야외,2373,2338,2629,2418,2239,2090,1811,1471,1669,1402,1540,1260
형법범,교통범죄,소계,현장검거,241879,214512,223239,213903,214256,222216,189767,155018,130888,116189,103114,106105
형법범,교통범죄,소계,외국,53,32,36,28,30,29,23,14,10,11,7,8
형법범,교통범죄,소계,기타,108296,117453,123428,116931,110611,102685,88623,71783,58949,54973,50460,49750
형법범,교통범죄,소계,미상,115814,120519,125970,139501,160452,167935,145880,135298,143651,134759,107655,33187
형법범,노동범죄,소계,소계,2641,2378,2309,2131,2395,5860,4964,2073,865,613,670,617
형법범,노동범죄,소계,자기집,1064,1184,1137,1045,1338,3538,3261,1305,429,290,414,355
형법범,노동범죄,소계,공범집,-,-,-,-,1,-,1,-,-,-,-,-
형법범,노동범죄,소계,애인집,1,-,1,2,-,-,1,-,2,-,2,-
형법범,노동범죄,소계,친족집,2,2,-,1,1,2,-,2,-,-,-,-
형법범,노동범죄,소계,지인집,3,2,3,1,1,6,3,2,3,-,2,-
형법범,노동범죄,소계,숙박업소,2,1,4,5,8,2,4,1,5,3,-,-
형법범,노동범죄,소계,야외,12,3,10,4,6,-,1,-,-,3,-,-
형법범,노동범죄,소계,현장검거,291,138,161,111,96,94,52,23,30,11,11,11
형법범,노동범죄,소계,외국,1,1,1,1,-,2,1,4,1,-,-,-
형법범,노동범죄,소계,기타,948,838,773,686,716,1806,1164,498,225,173,140,151
형법범,노동범죄,소계,미상,317,209,219,275,228,410,476,238,170,133,101,100
형법범,안보범죄,소계,소계,160,126,152,90,174,151,251,187,545,678,739,682
형법범,안보범죄,소계,자기집,59,64,56,35,76,27,118,93,192,302,260,149
형법범,안보범죄,소계,공범집,-,-,-,-,1,-,-,-,1,1,1,-
형법범,안보범죄,소계,애인집,-,-,1,-,2,1,5,-,2,4,5,5
형법범,안보범죄,소계,친족집,-,-,2,-,3,-,2,-,-,5,1,-
형법범,안보범죄,소계,지인집,-,-,6,4,2,1,1,1,6,9,10,10
형법범,안보범죄,소계,숙박업소,1,1,-,2,3,-,3,3,4,34,10,14
형법범,안보범죄,소계,야외,-,-,-,2,-,1,1,-,1,-,1,2
형법범,안보범죄,소계,현장검거,9,2,5,3,7,5,9,5,9,14,4,2
형법범,안보범죄,소계,외국,1,-,1,-,2,-,8,4,39,37,20,59
형법범,안보범죄,소계,기타,42,40,54,18,48,42,64,30,205,195,208,377
형법범,안보범죄,소계,미상,48,19,27,26,30,74,40,51,86,77,219,64
형법범,선거범죄,소계,소계,400,1855,409,2800,1121,1525,787,3280,1180,1545,312,3767
형법범,선거범죄,소계,자기집,188,784,195,1277,678,667,431,1571,654,606,117,1759
형법범,선거범죄,소계,공범집,-,-,-,-,-,-,1,2,1,-,-,-
형법범,선거범죄,소계,애인집,-,-,-,1,-,-,-,-,-,-,-,-
형법범,선거범죄,소계,친족집,-,1,-,1,1,1,1,-,-,-,-,2
형법범,선거범죄,소계,지인집,1,-,3,3,-,-,3,3,3,-,-,3
형법범,선거범죄,소계,숙박업소,-,6,-,2,-,1,2,1,-,2,-,4
형법범,선거범죄,소계,야외,-,1,-,4,-,4,3,2,-,1,-,5
형법범,선거범죄,소계,현장검거,34,68,6,61,7,43,50,54,3,55,4,58
형법범,선거범죄,소계,외국,-,5,-,3,-,-,-,-,-,-,-,-
형법범,선거범죄,소계,기타,101,556,119,678,227,354,150,638,182,295,59,662
형법범,선거범죄,소계,미상,76,434,86,770,208,455,146,1009,337,586,132,1274
형법범,병역범죄,소계,소계,22752,18359,23200,18523,18241,15659,14574,13254,11809,3164,1395,3909
형법범,병역범죄,소계,자기집,8696,9790,12265,9736,9371,8472,8465,7889,7147,1597,686,2304
형법범,병역범죄,소계,공범집,7,3,-,1,5,2,1,1,1,-,-,1
형법범,병역범죄,소계,애인집,26,36,35,39,56,78,66,56,54,23,15,24
형법범,병역범죄,소계,친족집,46,53,67,51,93,69,77,67,69,25,10,18
형법범,병역범죄,소계,지인집,145,153,215,250,295,261,261,227,232,107,52,70
형법범,병역범죄,소계,숙박업소,96,100,169,157,172,191,165,122,109,52,27,23
형법범,병역범죄,소계,야외,31,38,35,38,48,39,28,15,17,15,4,4
형법범,병역범죄,소계,현장검거,38,27,44,67,72,45,40,40,49,24,6,13
형법범,병역범죄,소계,외국,35,39,29,30,34,44,42,36,31,21,20,33
형법범,병역범죄,소계,기타,6040,6892,8529,7338,7314,5799,4832,4188,3541,1014,477,1288
형법범,병역범죄,소계,미상,7592,1228,1812,816,781,659,597,613,559,286,98,131
형법범,기타범죄,소계,소계,224781,208432,213524,230854,241747,310870,272830,247023,256000,244539,221198,233413
형법범,기타범죄,소계,자기집,81351,74210,77434,83737,89207,114661,106819,95245,101649,97311,94094,98165
형법범,기타범죄,소계,공범집,85,45,72,96,55,87,65,45,43,48,29,25
형법범,기타범죄,소계,애인집,58,58,83,83,128,161,171,156,146,129,127,166
형법범,기타범죄,소계,친족집,116,100,114,160,162,228,241,228,266,250,302,309
형법범,기타범죄,소계,지인집,268,265,353,377,426,664,608,537,577,424,448,416
형법범,기타범죄,소계,숙박업소,452,471,400,435,511,652,633,609,564,407,447,468
형법범,기타범죄,소계,야외,425,431,393,361,386,487,491,524,556,477,481,457
형법범,기타범죄,소계,현장검거,35004,34206,35928,39099,36331,53725,38137,30528,29647,24820,19781,20909
형법범,기타범죄,소계,외국,180,159,150,180,132,177,157,112,117,92,55,64
형법범,기타범죄,소계,기타,59334,54709,51644,54500,55520,68914,57464,47491,46140,44360,42587,42666
형법범,기타범죄,소계,미상,47508,43778,46953,51826,58889,71114,68044,71548,76295,76221,62847,69768
