죄종별(1),죄종별(2),죄종별(3),범죄발생요일별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,폭력범죄,협박,일요일,394,586,497,628,1242,2349,2163,2498,2886,2966,2891,3014
총범죄,폭력범죄,협박,토요일,484,548,595,654,1230,2329,2277,2384,3011,3016,3006,3094
총범죄,폭력범죄,협박,화요일,546,676,710,784,1376,2254,2133,2530,3039,3015,3067,3106
총범죄,풍속범죄,도박범죄,금요일,2526,1375,1154,1296,1315,2378,1250,866,1291,1307,1269,670
총범죄,풍속범죄,도박범죄,목요일,2285,1474,1025,1215,1170,1932,1087,873,1304,1080,1140,653
총범죄,풍속범죄,도박범죄,수요일,2254,1444,1191,1261,1213,1964,1233,827,1237,1170,947,501
총범죄,풍속범죄,도박범죄,월요일,2214,1322,1020,1055,1141,1866,1283,881,1106,1065,907,622
총범죄,풍속범죄,도박범죄,일요일,1761,1304,911,1071,1070,1510,1116,827,915,1100,640,519
총범죄,풍속범죄,도박범죄,토요일,2203,1379,1087,1122,1197,1902,1380,823,981,941,744,1010
총범죄,풍속범죄,도박범죄,화요일,2210,1568,1600,1273,1166,1894,1340,907,1174,1472,744,488
총범죄,풍속범죄,성풍속범죄,금요일,2456,2219,3063,2563,2456,1918,2073,2333,1982,2111,2473,3264
총범죄,풍속범죄,성풍속범죄,목요일,2169,2298,3130,2560,2507,1970,2134,2184,1900,2060,2495,3340
총범죄,풍속범죄,성풍속범죄,수요일,2090,2406,3015,2532,2487,1815,1999,2107,2066,2163,2496,3436
총범죄,풍속범죄,성풍속범죄,월요일,2086,2338,3094,2292,2322,1834,1983,1990,1957,2292,2640,3333
총범죄,풍속범죄,성풍속범죄,일요일,1269,1628,1972,1997,1832,1501,1709,1737,1614,1879,2274,3023
총범죄,풍속범죄,성풍속범죄,토요일,1376,1619,2174,2050,2164,1601,1900,1674,1670,1905,2134,2991
총범죄,풍속범죄,성풍속범죄,화요일,1935,2427,2937,2689,2451,2080,2014,2133,1956,2087,2457,3263
총범죄,풍속범죄,소계,금요일,4982,3594,4217,3859,3771,4296,3323,3199,3273,3418,3742,3934
총범죄,풍속범죄,소계,목요일,4454,3772,4155,3775,3677,3902,3221,3057,3204,3140,3635,3993
총범죄,풍속범죄,소계,수요일,4344,3850,4206,3793,3700,3779,3232,2934,3303,3333,3443,3937
총범죄,풍속범죄,소계,월요일,4300,3660,4114,3347,3463,3700,3266,2871,3063,3357,3547,3955
총범죄,풍속범죄,소계,일요일,3030,2932,2883,3068,2902,3011,2825,2564,2529,2979,2914,3542
총범죄,풍속범죄,소계,토요일,3579,2998,3261,3172,3361,3503,3280,2497,2651,2846,2878,4001
총범죄,풍속범죄,소계,화요일,4145,3995,4537,3962,3617,3974,3354,3040,3130,3559,3201,3751
총범죄,환경범죄,소계,금요일,500,465,1050,428,473,687,774,819,696,569,646,621
총범죄,환경범죄,소계,목요일,412,579,619,407,471,732,868,749,653,622,720,695
총범죄,환경범죄,소계,수요일,409,584,611,430,556,738,868,778,652,655,673,618
총범죄,환경범죄,소계,월요일,430,552,666,450,491,715,807,822,749,706,654,615
총범죄,환경범죄,소계,일요일,225,186,230,177,205,335,349,382,168,153,164,161
총범죄,환경범죄,소계,토요일,222,210,246,180,223,378,386,387,263,201,147,144
총범죄,환경범죄,소계,화요일,451,552,713,464,536,764,827,854,696,662,652,623
