죄종별(1),죄종별(2),죄종별(3),시간별,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
총범죄,소계,소계,미상,445705,417353,459855,490482,533027,480781,468392,556692,581136,624029,,,,,,,
총범죄,소계,소계,밤(20:00~24:00),205086,222743,235911,296229,305451,270674,313298,328523,325151,340628,469424,408450,397029,436378,449988,414798,396339
총범죄,소계,소계,새벽(04:00~07:00),38998,41308,43568,47170,48238,54892,63837,64021,61087,60858,92146,83080,79152,90689,99263,94166,87811
총범죄,소계,소계,심야(00:00~04:00),116664,125759,135562,145650,181537,199965,227726,231374,227356,232135,794266,669626,658792,682121,825648,838369,657125
총범죄,소계,소계,오전(07:00~12:00),163507,180626,192047,195345,230522,231894,239295,258970,235199,234504,206451,200434,207161,223647,243143,242713,231321
총범죄,소계,소계,오후(12:00~18:00),248225,247811,258781,259432,294722,300942,303518,299365,287782,285512,301583,272648,278197,298859,332056,316751,298739
총범죄,소계,소계,초저녁(18:00~20:00),91141,94094,94087,102344,118736,114916,123492,121742,115557,117096,104313,98884,98744,104802,113639,113412,113618
특별법범,가정의례에 관한 법률,소계,미상,377,181,41,64,30,45,7,1,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,밤(20:00~24:00),6,2,1,,1,,1,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,새벽(04:00~07:00),2,4,,,,,,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,심야(00:00~04:00),5,12,,1,2,3,1,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,오전(07:00~12:00),76,36,18,22,7,12,1,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,오후(12:00~18:00),54,42,10,10,10,5,1,,,,,,,,,,
특별법범,가정의례에 관한 법률,소계,초저녁(18:00~20:00),32,17,,1,,,,,,,,,,,,,
특별법범,건설기계관리법,소계,미상,704,1,3,1,,,,,,,,,,,,,
특별법범,건설기계관리법,소계,밤(20:00~24:00),3,,,,,,,,,,,,,,22,49,3
특별법범,건설기계관리법,소계,새벽(04:00~07:00),3,,,,,,,,,,,,,,17,24,1
특별법범,건설기계관리법,소계,심야(00:00~04:00),8,,,,,,,,,,,,,,315,219,228
특별법범,건설기계관리법,소계,오전(07:00~12:00),78,3,2,1,,,,,,,,,,,642,453,142
특별법범,건설기계관리법,소계,오후(12:00~18:00),106,4,2,1,,,,,,,,,,,390,132,276
특별법범,건설기계관리법,소계,초저녁(18:00~20:00),14,,,,,,,,,,,,,,42,18,8
특별법범,건설산업기본법,소계,밤(20:00~24:00),,,,,,,,,,,2,2,,,1,2,-
특별법범,건설산업기본법,소계,새벽(04:00~07:00),,,,,,,,,,,,2,,1,-,-,-
특별법범,건설산업기본법,소계,심야(00:00~04:00),,,,,,,,,,,219,299,191,130,168,213,326
특별법범,건설산업기본법,소계,오전(07:00~12:00),,,,,,,,,,,18,51,27,25,23,33,115
특별법범,건설산업기본법,소계,오후(12:00~18:00),,,,,,,,,,,22,15,10,18,16,15,79
특별법범,건설산업기본법,소계,초저녁(18:00~20:00),,,,,,,,,,,,,,1,2,2,1
특별법범,건설업법,소계,미상,337,348,306,170,55,21,6,2,,,,,,,,,
특별법범,건설업법,소계,밤(20:00~24:00),3,2,3,3,,,,,,,,,,,,,
특별법범,건설업법,소계,새벽(04:00~07:00),1,1,1,,,,,,,,,,,,,,
특별법범,건설업법,소계,심야(00:00~04:00),5,10,4,1,,,,,,,,,,,,,
특별법범,건설업법,소계,오전(07:00~12:00),76,115,67,48,17,6,4,,,,,,,,,,
특별법범,건설업법,소계,오후(12:00~18:00),64,97,48,29,5,,2,1,2,,,,,,,,
특별법범,건설업법,소계,초저녁(18:00~20:00),14,11,3,3,1,,,,,,,,,,,,
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,밤(20:00~24:00),,,,,,,,,,,,,,,,,-
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,,,-
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,심야(00:00~04:00),,,,,,,,,,,,,,,,,53
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,오전(07:00~12:00),,,,,,,,,,,,,,,,,303
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,오후(12:00~18:00),,,,,,,,,,,,,,,,,14
특별법범,건설폐기물의 재활용촉진에 관한 법률,소계,초저녁(18:00~20:00),,,,,,,,,,,,,,,,,-
특별법범,건축법,소계,미상,7557,6961,5480,5568,4992,4467,4660,5027,6116,5961,,,,,,,
특별법범,건축법,소계,밤(20:00~24:00),37,26,25,37,17,32,59,46,177,86,21,8,6,6,7,7,11
특별법범,건축법,소계,새벽(04:00~07:00),18,30,15,9,8,27,8,29,12,7,12,5,6,3,2,3,2
특별법범,건축법,소계,심야(00:00~04:00),179,171,164,106,180,193,120,69,120,169,7511,4571,4275,3872,4309,4482,3637
특별법범,건축법,소계,오전(07:00~12:00),945,1280,1238,1425,1194,1191,1076,1128,1031,1166,618,424,542,406,344,372,491
특별법범,건축법,소계,오후(12:00~18:00),939,664,705,595,509,535,445,469,485,652,237,157,149,128,138,139,119
특별법범,건축법,소계,초저녁(18:00~20:00),116,90,47,51,47,68,69,101,177,116,6,9,5,3,6,11,41
특별법범,게임산업진흥에 관한 법률,소계,밤(20:00~24:00),,,,,,,,,,,,,181,4106,2926,2635,2486
특별법범,게임산업진흥에 관한 법률,소계,새벽(04:00~07:00),,,,,,,,,,,,,5,337,428,343,239
특별법범,게임산업진흥에 관한 법률,소계,심야(00:00~04:00),,,,,,,,,,,,,430,8419,7414,7689,3565
특별법범,게임산업진흥에 관한 법률,소계,오전(07:00~12:00),,,,,,,,,,,,,85,2181,1222,1108,718
특별법범,게임산업진흥에 관한 법률,소계,오후(12:00~18:00),,,,,,,,,,,,,369,7907,4325,4254,2657
특별법범,게임산업진흥에 관한 법률,소계,초저녁(18:00~20:00),,,,,,,,,,,,,64,1640,1083,1056,907
특별법범,경범죄처벌법,소계,미상,38,30,33,47,37,9,11,33,22,23,,,,,,,
특별법범,경범죄처벌법,소계,밤(20:00~24:00),13,11,12,15,12,5,,4,3,9,11,16,14,18,35,34,34
특별법범,경범죄처벌법,소계,새벽(04:00~07:00),1,3,,1,1,1,,2,1,3,4,3,7,1,7,12,11
특별법범,경범죄처벌법,소계,심야(00:00~04:00),15,15,3,17,20,7,8,6,3,5,39,36,61,37,85,101,71
특별법범,경범죄처벌법,소계,오전(07:00~12:00),8,5,5,8,8,4,5,13,5,7,8,7,10,13,23,25,25
특별법범,경범죄처벌법,소계,오후(12:00~18:00),12,9,7,8,12,8,7,6,6,7,8,11,23,25,23,40,28
특별법범,경범죄처벌법,소계,초저녁(18:00~20:00),5,4,3,1,6,1,2,1,3,2,3,5,3,7,9,14,13
특별법범,경찰공무원법,소계,심야(00:00~04:00),,,,,,,,,,,,1,,,,,
특별법범,경찰관직무집행법,소계,밤(20:00~24:00),,,,,,1,,,,,,,,,,,
특별법범,계량법,소계,미상,33,,,1,2,3,,1,,2,,,,,,,
특별법범,계량법,소계,오전(07:00~12:00),1,,,,,,2,,,,,,,,,,
특별법범,계량법,소계,오후(12:00~18:00),5,1,,,,1,,,2,,,,,,,,
특별법범,계량에 관한 법률,소계,밤(20:00~24:00),,,,,,,,,,,,,,,-,-,-
특별법범,계량에 관한 법률,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,-,-,-
특별법범,계량에 관한 법률,소계,심야(00:00~04:00),,,,,,,,,,,,,,1,-,-,-
특별법범,계량에 관한 법률,소계,오전(07:00~12:00),,,,,,,,,,,,,,1,-,-,-
특별법범,계량에 관한 법률,소계,오후(12:00~18:00),,,,,,,,,,,,,,1,-,-,-
특별법범,계량에 관한 법률,소계,초저녁(18:00~20:00),,,,,,,,,,,,,,,-,-,-
특별법범,고압가스안전관리법,소계,미상,35,40,39,31,16,46,38,40,41,50,,,,,,,
특별법범,고압가스안전관리법,소계,밤(20:00~24:00),,1,3,3,5,8,10,5,12,6,6,6,14,7,2,3,1
특별법범,고압가스안전관리법,소계,새벽(04:00~07:00),,,1,,,,,,,1,,,1,1,-,-,1
특별법범,고압가스안전관리법,소계,심야(00:00~04:00),1,,3,1,,3,1,3,3,,44,49,27,43,28,15,41
특별법범,고압가스안전관리법,소계,오전(07:00~12:00),5,15,26,10,5,26,12,5,13,6,3,4,2,2,27,3,5
특별법범,고압가스안전관리법,소계,오후(12:00~18:00),12,14,33,8,4,12,8,6,5,6,4,7,1,10,6,7,4
특별법범,고압가스안전관리법,소계,초저녁(18:00~20:00),1,,1,,1,4,2,2,4,2,2,1,,2,-,1,1
특별법범,골재채취법,소계,미상,24,17,32,26,26,27,28,18,31,823,,,,,,,
특별법범,골재채취법,소계,밤(20:00~24:00),4,2,5,2,2,3,2,10,13,83,52,,1,1,7,3,1
특별법범,골재채취법,소계,새벽(04:00~07:00),2,4,4,5,9,8,8,6,10,19,12,4,1,17,-,-,-
특별법범,골재채취법,소계,심야(00:00~04:00),,2,,4,2,7,,4,3,29,797,220,63,81,66,65,76
특별법범,골재채취법,소계,오전(07:00~12:00),17,30,20,30,30,63,56,49,37,186,54,399,15,65,11,8,4
특별법범,골재채취법,소계,오후(12:00~18:00),8,15,14,9,14,24,21,20,19,273,83,146,4,15,10,3,3
특별법범,골재채취법,소계,초저녁(18:00~20:00),1,2,,1,1,4,2,2,14,123,10,3,,,3,1,1
특별법범,공공기관의 개인정보보호에 관한 법률,소계,밤(20:00~24:00),,,,,,,,,,,2,1,2,2,4,1,1
특별법범,공공기관의 개인정보보호에 관한 법률,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,1,1,-
특별법범,공공기관의 개인정보보호에 관한 법률,소계,심야(00:00~04:00),,,,,,,,,,,24,37,38,69,67,59,65
특별법범,공공기관의 개인정보보호에 관한 법률,소계,오전(07:00~12:00),,,,,,,,,,,4,8,4,9,30,5,15
특별법범,공공기관의 개인정보보호에 관한 법률,소계,오후(12:00~18:00),,,,,,,,,,,5,6,7,12,16,3,8
특별법범,공공기관의 개인정보보호에 관한 법률,소계,초저녁(18:00~20:00),,,,,,,,,,,,2,,4,3,-,-
특별법범,공연법,소계,미상,8,10,6,6,3,3,3,1,4,2,,,,,,,
특별법범,공연법,소계,밤(20:00~24:00),,2,,2,,,2,2,,,,4,,,-,-,-
특별법범,공연법,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,-,-,-
특별법범,공연법,소계,심야(00:00~04:00),1,,,,,,,,1,,,2,,1,2,-,4
특별법범,공연법,소계,오전(07:00~12:00),1,3,7,6,1,,,1,1,3,,,,,1,-,-
특별법범,공연법,소계,오후(12:00~18:00),4,4,5,5,1,2,1,4,2,1,,1,,1,-,1,-
특별법범,공연법,소계,초저녁(18:00~20:00),2,,2,1,1,1,2,3,1,,,,1,,-,-,-
특별법범,공유수면관리법,소계,밤(20:00~24:00),,,,,,,,,,,23,9,3,7,2,7,3
특별법범,공유수면관리법,소계,새벽(04:00~07:00),,,,,,,,,,,12,4,4,18,3,-,3
특별법범,공유수면관리법,소계,심야(00:00~04:00),,,,,,,,,,,841,257,149,197,139,605,1223
특별법범,공유수면관리법,소계,오전(07:00~12:00),,,,,,,,,,,205,438,123,908,126,158,72
특별법범,공유수면관리법,소계,오후(12:00~18:00),,,,,,,,,,,246,205,67,208,171,450,141
특별법범,공유수면관리법,소계,초저녁(18:00~20:00),,,,,,,,,,,20,10,5,10,24,68,7
특별법범,공중위생관리법,소계,밤(20:00~24:00),,,,,,,,,,,51,11,56,54,47,34,61
특별법범,공중위생관리법,소계,새벽(04:00~07:00),,,,,,,,,,,5,4,13,24,19,17,16
특별법범,공중위생관리법,소계,심야(00:00~04:00),,,,,,,,,,,300,184,294,307,276,244,251
특별법범,공중위생관리법,소계,오전(07:00~12:00),,,,,,,,,,,27,49,35,25,31,19,32
특별법범,공중위생관리법,소계,오후(12:00~18:00),,,,,,,,,,,102,34,26,39,44,35,53
특별법범,공중위생관리법,소계,초저녁(18:00~20:00),,,,,,,,,,,21,3,6,9,12,6,12
특별법범,공중위생법,소계,미상,884,1236,1129,1263,1782,815,65,33,26,46,,,,,,,
특별법범,공중위생법,소계,밤(20:00~24:00),345,556,697,854,1273,594,22,21,20,17,,,,,,,
특별법범,공중위생법,소계,새벽(04:00~07:00),38,61,74,88,127,64,6,7,1,,,,,,,,
특별법범,공중위생법,소계,심야(00:00~04:00),189,252,257,280,509,291,33,15,17,13,,,,,,,
특별법범,공중위생법,소계,오전(07:00~12:00),234,321,346,317,571,241,25,13,10,8,,,,,,,
특별법범,공중위생법,소계,오후(12:00~18:00),554,867,700,688,1153,527,44,30,13,38,,,,,,,
특별법범,공중위생법,소계,초저녁(18:00~20:00),119,240,177,169,244,140,9,9,5,3,,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,미상,,,,29,838,69,491,49,1469,163,,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,밤(20:00~24:00),,,,2,73,4,57,,122,12,147,7,4,,-,-,-
특별법범,공직선거 및 선거부정방지법,소계,새벽(04:00~07:00),,,,4,48,2,26,1,66,4,20,,,,-,-,-
특별법범,공직선거 및 선거부정방지법,소계,심야(00:00~04:00),,,,4,30,6,38,1,55,8,781,63,54,1,-,-,-
특별법범,공직선거 및 선거부정방지법,소계,오전(07:00~12:00),,,,20,555,24,303,18,800,81,337,36,20,,-,-,1
특별법범,공직선거 및 선거부정방지법,소계,오후(12:00~18:00),,,,23,383,33,347,9,597,81,479,37,11,,-,-,-
특별법범,공직선거 및 선거부정방지법,소계,초저녁(18:00~20:00),,,,4,130,3,93,4,270,31,162,13,5,,-,-,-
특별법범,공직선거법,소계,밤(20:00~24:00),,,,,,,,,,,,,162,38,52,4,74
특별법범,공직선거법,소계,새벽(04:00~07:00),,,,,,,,,,,,,25,7,10,-,23
특별법범,공직선거법,소계,심야(00:00~04:00),,,,,,,,,,,,,991,396,1000,101,1275
특별법범,공직선거법,소계,오전(07:00~12:00),,,,,,,,,,,,,456,83,195,28,301
특별법범,공직선거법,소계,오후(12:00~18:00),,,,,,,,,,,,,515,94,210,22,306
특별법범,공직선거법,소계,초저녁(18:00~20:00),,,,,,,,,,,,,164,31,69,9,97
특별법범,관세법,소계,미상,3,2,4,2,1,3,5,7,6,7,,,,,,,
특별법범,관세법,소계,밤(20:00~24:00),5,1,,2,1,,3,3,,1,4,3,2,1,-,2,-
특별법범,관세법,소계,새벽(04:00~07:00),1,2,2,1,3,,7,,1,,1,1,,,165,-,-
특별법범,관세법,소계,심야(00:00~04:00),1,1,2,1,,,1,,,1,10,8,11,25,143,45,8
특별법범,관세법,소계,오전(07:00~12:00),3,7,2,4,5,14,11,4,3,4,4,7,197,,2,-,2
특별법범,관세법,소계,오후(12:00~18:00),9,4,5,1,6,7,5,8,7,3,11,6,12,5,4,-,-
특별법범,관세법,소계,초저녁(18:00~20:00),,1,,,,,1,2,1,,4,2,1,,-,1,-
특별법범,교통사고처리특례법,소계,밤(20:00~24:00),,,,,,,,,,,41302,38207,39709,39337,37333,39222,39450
특별법범,교통사고처리특례법,소계,새벽(04:00~07:00),,,,,,,,,,,12842,11540,12171,12377,11158,11571,11278
특별법범,교통사고처리특례법,소계,심야(00:00~04:00),,,,,,,,,,,22233,21208,22993,22034,18771,19106,19682
특별법범,교통사고처리특례법,소계,오전(07:00~12:00),,,,,,,,,,,44342,39313,38853,38869,39332,42920,42614
특별법범,교통사고처리특례법,소계,오후(12:00~18:00),,,,,,,,,,,64549,57406,56057,55533,56334,60967,59442
특별법범,교통사고처리특례법,소계,초저녁(18:00~20:00),,,,,,,,,,,26528,23828,23915,24182,23989,25926,25847
특별법범,교통사고특례법,소계,미상,25392,13964,23348,27570,21565,23134,27796,31861,31082,33951,,,,,,,
특별법범,교통사고특례법,소계,밤(20:00~24:00),31671,29932,32202,26787,25647,28999,31338,27320,25421,26211,,,,,,,
특별법범,교통사고특례법,소계,새벽(04:00~07:00),16468,17152,17505,16385,14057,15906,16904,15483,13774,13862,,,,,,,
특별법범,교통사고특례법,소계,심야(00:00~04:00),15523,16905,18642,16964,15954,19758,20105,16817,15411,16709,,,,,,,
특별법범,교통사고특례법,소계,오전(07:00~12:00),52204,50423,51009,45862,44623,51214,54513,50282,44131,42772,,,,,,,
특별법범,교통사고특례법,소계,오후(12:00~18:00),82219,78236,76634,69515,66639,75404,78779,69753,60535,58996,,,,,,,
특별법범,교통사고특례법,소계,초저녁(18:00~20:00),27312,25323,25487,22960,21627,24635,26277,22782,20855,20027,,,,,,,
특별법범,구국가보안법,소계,미상,64,21,52,67,64,38,28,12,10,1,,,,,,,
특별법범,구국가보안법,소계,밤(20:00~24:00),4,3,1,,,,,1,1,1,,,,,,,
특별법범,구국가보안법,소계,새벽(04:00~07:00),,,,,,1,,,,1,,,,,,,
특별법범,구국가보안법,소계,심야(00:00~04:00),1,,,1,,,,,,,,,,,,,
특별법범,구국가보안법,소계,오전(07:00~12:00),4,3,5,6,2,,3,3,1,1,,,,,,,
특별법범,구국가보안법,소계,오후(12:00~18:00),20,20,29,25,23,20,8,2,7,,,,,,,,
특별법범,구국가보안법,소계,초저녁(18:00~20:00),9,4,1,4,1,2,,,,,,,,,,,
특별법범,국가보안법,소계,미상,184,81,166,215,195,92,63,18,23,24,,,,,,,
특별법범,국가보안법,소계,밤(20:00~24:00),10,9,8,12,7,4,1,1,1,,1,1,1,1,4,6,3
특별법범,국가보안법,소계,새벽(04:00~07:00),6,3,3,3,1,1,,,,,,1,,3,1,-,1
특별법범,국가보안법,소계,심야(00:00~04:00),3,3,5,11,4,18,9,,,1,40,23,17,23,10,15,41
특별법범,국가보안법,소계,오전(07:00~12:00),60,19,43,66,46,43,17,4,6,3,38,6,3,10,12,7,6
특별법범,국가보안법,소계,오후(12:00~18:00),69,87,96,151,65,59,16,19,7,2,12,3,8,8,3,4,16
특별법범,국가보안법,소계,초저녁(18:00~20:00),22,9,4,21,25,7,4,4,,2,1,1,1,5,1,1,2
특별법범,국민건강보험법,소계,밤(20:00~24:00),,,,,,,,,,,,,,,-,-,-
특별법범,국민건강보험법,소계,새벽(04:00~07:00),,,,,,,,,,,,,,1,-,-,-
특별법범,국민건강보험법,소계,심야(00:00~04:00),,,,,,,,,,,7,12,5,22,22,45,26
특별법범,국민건강보험법,소계,오전(07:00~12:00),,,,,,,,,,,,,,4,3,6,7
특별법범,국민건강보험법,소계,오후(12:00~18:00),,,,,,,,,,,,,1,1,2,5,-
특별법범,국민건강보험법,소계,초저녁(18:00~20:00),,,,,,,,,,,,,,,-,-,-
특별법범,국민연금법,소계,밤(20:00~24:00),,,,,,,,,,,2,1,,,-,-,-
특별법범,국민연금법,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,-,-,-
특별법범,국민연금법,소계,심야(00:00~04:00),,,,,,,,,,,137,64,68,27,31,19,30
특별법범,국민연금법,소계,오전(07:00~12:00),,,,,,,,,,,3,2,6,3,3,3,7
특별법범,국민연금법,소계,오후(12:00~18:00),,,,,,,,,,,7,1,9,2,-,1,-
특별법범,국민연금법,소계,초저녁(18:00~20:00),,,,,,,,,,,2,,,,-,1,1
특별법범,국민투표법,소계,미상,1,,,,,,,,,,,,,,,,
특별법범,국토의계획 및 이용에 관한 법률,소계,밤(20:00~24:00),,,,,,,,,,,1,4,,2,8,3,3
특별법범,국토의계획 및 이용에 관한 법률,소계,새벽(04:00~07:00),,,,,,,,,,,3,3,1,2,2,2,-
특별법범,국토의계획 및 이용에 관한 법률,소계,심야(00:00~04:00),,,,,,,,,,,1162,1811,1217,1107,1062,766,739
특별법범,국토의계획 및 이용에 관한 법률,소계,오전(07:00~12:00),,,,,,,,,,,119,233,144,142,87,88,94
특별법범,국토의계획 및 이용에 관한 법률,소계,오후(12:00~18:00),,,,,,,,,,,32,36,51,46,41,86,31
특별법범,국토의계획 및 이용에 관한 법률,소계,초저녁(18:00~20:00),,,,,,,,,,,2,,2,1,1,3,1
특별법범,국회의원 선거법,소계,미상,,,1,,,,,,,,,,,,,,
특별법범,국회의원 선거법,소계,오전(07:00~12:00),1,,,,,,,,,,,,,,,,
특별법범,근로기준법,소계,미상,13,18,26,24,30,83,48,48,36,25,,,,,,,
특별법범,근로기준법,소계,밤(20:00~24:00),1,1,,7,3,16,9,8,5,2,1,4,3,2,4,5,5
특별법범,근로기준법,소계,새벽(04:00~07:00),,1,,,,,,1,,,,,,,-,1,-
특별법범,근로기준법,소계,심야(00:00~04:00),1,1,,,5,4,1,3,4,,26,27,20,21,21,30,22
특별법범,근로기준법,소계,오전(07:00~12:00),5,9,14,15,9,48,30,21,26,10,9,2,1,1,1,2,5
특별법범,근로기준법,소계,오후(12:00~18:00),4,10,7,8,10,33,22,18,7,7,2,1,2,3,1,9,1
특별법범,근로기준법,소계,초저녁(18:00~20:00),,1,,2,3,11,4,6,5,1,,1,4,1,2,1,1
특별법범,기타,소계,미상,276533,239071,247012,274917,291731,240723,237038,296223,310280,310388,,,,,,,
특별법범,기타,소계,밤(20:00~24:00),131081,150646,165026,225315,228000,180101,199157,216276,228344,239628,335210,267749,254356,287907,296714,253640,237050
특별법범,기타,소계,새벽(04:00~07:00),29202,30094,31802,34114,33379,35757,36369,35309,35846,35099,52819,41914,37438,46039,52660,45397,40747
특별법범,기타,소계,심야(00:00~04:00),63688,68268,76032,82087,104127,97556,102667,111089,122209,122353,403010,314706,299320,331065,436897,385673,262591
특별법범,기타,소계,오전(07:00~12:00),113326,119717,122506,124244,144120,139582,135782,145602,135202,125624,126588,112718,109947,122586,138148,128777,109862
특별법범,기타,소계,오후(12:00~18:00),167893,163311,169165,171273,193552,195014,183729,183728,178305,165670,186233,154361,150516,167744,196497,170684,147356
특별법범,기타,소계,초저녁(18:00~20:00),59702,61235,63090,71368,84089,75773,71695,69887,68480,68926,61188,50827,48773,52545,57150,55713,52508
특별법범,기타특별법,소계,미상,6675,7912,7427,9857,12518,21034,25643,45669,61669,79056,,,,,,,
특별법범,기타특별법,소계,밤(20:00~24:00),322,557,777,1793,2044,5161,26704,43952,61550,84536,1216,742,877,1057,891,743,824
특별법범,기타특별법,소계,새벽(04:00~07:00),384,506,593,3059,4754,5102,4910,4775,7576,7260,622,371,572,709,530,397,1354
특별법범,기타특별법,소계,심야(00:00~04:00),366,555,695,1937,3425,3929,12450,20314,34443,42601,9781,7637,9452,10041,14564,19907,13997
특별법범,기타특별법,소계,오전(07:00~12:00),2530,3625,3886,7636,10823,13079,12481,19494,27573,26237,1932,2968,3061,3756,4090,3981,4294
특별법범,기타특별법,소계,오후(12:00~18:00),2535,3164,3506,6126,9500,9320,14352,25198,34700,35638,1758,1767,2157,2664,5274,4344,3733
특별법범,기타특별법,소계,초저녁(18:00~20:00),401,575,589,1832,1982,1927,5598,10325,12166,17555,378,690,530,378,795,608,486
특별법범,낚시어선업법,소계,밤(20:00~24:00),,,,,,,,,,,33,8,19,18,21,6,4
특별법범,낚시어선업법,소계,새벽(04:00~07:00),,,,,,,,,,,33,41,21,17,30,25,28
특별법범,낚시어선업법,소계,심야(00:00~04:00),,,,,,,,,,,28,30,32,34,25,36,7
특별법범,낚시어선업법,소계,오전(07:00~12:00),,,,,,,,,,,96,120,103,90,311,104,91
특별법범,낚시어선업법,소계,오후(12:00~18:00),,,,,,,,,,,169,144,82,148,559,57,73
특별법범,낚시어선업법,소계,초저녁(18:00~20:00),,,,,,,,,,,15,35,14,20,13,7,13
특별법범,내수면어업법,소계,밤(20:00~24:00),,,,,,,,,,,35,41,21,30,48,47,19
특별법범,내수면어업법,소계,새벽(04:00~07:00),,,,,,,,,,,8,8,5,3,10,5,8
특별법범,내수면어업법,소계,심야(00:00~04:00),,,,,,,,,,,18,42,49,41,45,53,24
특별법범,내수면어업법,소계,오전(07:00~12:00),,,,,,,,,,,33,24,19,22,26,40,11
특별법범,내수면어업법,소계,오후(12:00~18:00),,,,,,,,,,,73,56,51,57,68,57,28
특별법범,내수면어업법,소계,초저녁(18:00~20:00),,,,,,,,,,,17,16,28,14,14,15,8
특별법범,노동쟁의조정법,소계,미상,2,1,7,,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,새벽(04:00~07:00),,1,,,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,심야(00:00~04:00),1,,,,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,오전(07:00~12:00),3,,3,1,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,오후(12:00~18:00),,1,,,,,,2,,,,,,,,,
특별법범,노동쟁의조정법,소계,초저녁(18:00~20:00),,1,,,,,,,,,,,,,,,
특별법범,노동조합 및 노동관계 조정법,소계,밤(20:00~24:00),,,,,,,,,,,,1,,,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,새벽(04:00~07:00),,,,,,,,,,,,,,,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,심야(00:00~04:00),,,,,,,,,,,,9,4,6,2,1,2
특별법범,노동조합 및 노동관계 조정법,소계,오전(07:00~12:00),,,,,,,,,,,,6,3,,-,-,1
특별법범,노동조합 및 노동관계 조정법,소계,오후(12:00~18:00),,,,,,,,,,,,2,,,-,-,-
특별법범,노동조합 및 노동관계 조정법,소계,초저녁(18:00~20:00),,,,,,,,,,,,2,,,-,-,-
특별법범,농산물품질관리법,소계,밤(20:00~24:00),,,,,,,,,,,6,,,,-,-,-
특별법범,농산물품질관리법,소계,새벽(04:00~07:00),,,,,,,,,,,1,,,,-,-,-
특별법범,농산물품질관리법,소계,심야(00:00~04:00),,,,,,,,,,,175,45,31,21,117,96,41
특별법범,농산물품질관리법,소계,오전(07:00~12:00),,,,,,,,,,,47,18,8,9,21,21,6
특별법범,농산물품질관리법,소계,오후(12:00~18:00),,,,,,,,,,,63,39,12,4,46,41,23
특별법범,농산물품질관리법,소계,초저녁(18:00~20:00),,,,,,,,,,,5,,1,,3,3,-
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,미상,12,3,16,11,16,6,6,65,54,241,,,,,,,
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,밤(20:00~24:00),7,,5,2,5,2,1,1,2,3,3,,,1,-,1,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,새벽(04:00~07:00),2,,,1,1,,1,1,2,7,2,,1,1,2,4,1
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,심야(00:00~04:00),,,,11,32,16,29,27,2,9,42,77,45,30,44,55,42
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,오전(07:00~12:00),16,,3,9,10,7,1,10,1,61,9,8,8,3,10,12,6
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,오후(12:00~18:00),17,9,6,16,13,6,2,2,5,32,7,5,5,6,4,13,3
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,초저녁(18:00~20:00),2,,1,3,2,2,1,,1,2,3,1,1,,-,2,2
특별법범,농지법,소계,밤(20:00~24:00),,,,,,,,,,,2,2,2,1,3,3,2
특별법범,농지법,소계,새벽(04:00~07:00),,,,,,,,,,,,2,2,,1,2,-
특별법범,농지법,소계,심야(00:00~04:00),,,,,,,,,,,1033,913,980,843,819,629,537
특별법범,농지법,소계,오전(07:00~12:00),,,,,,,,,,,81,91,129,88,57,59,59
특별법범,농지법,소계,오후(12:00~18:00),,,,,,,,,,,21,26,19,24,29,16,23
특별법범,농지법,소계,초저녁(18:00~20:00),,,,,,,,,,,,1,2,1,1,1,1
특별법범,농지의 보전 및 이용에 관한 법률,소계,미상,424,328,93,21,24,7,1,1,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,밤(20:00~24:00),,2,1,,,,,,,,,,,,,,
