죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,교통 방해의 죄,821,739,790,927,1067,871,837,926,874,1018,798,839,848,977,1123,1358,1085
형법범,기타형법범,음용수에 관한 죄,30,29,17,15,10,36,32,29,25,41,16,22,24,32,23,20,19
형법범,기타형법범,아편·몰핀에 관한 죄,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-
형법범,기타형법범,과실사상의 죄,3861,3589,3734,3719,3220,3436,3772,3716,3523,3718,3794,3629,3940,3812,3810,3987,4181
형법범,기타형법범,낙태의 죄,21,20,18,24,28,39,37,39,32,22,30,24,25,17,29,26,52
형법범,기타형법범,유기의 죄,106,111,126,98,118,177,215,237,165,214,242,200,151,158,147,117,129
형법범,기타형법범,명예에 관한 죄,3412,3142,3237,3327,3501,4867,5632,6190,5844,5907,6918,7359,7704,8421,10834,12706,12155
형법범,기타형법범,신용·업무와 경매에 관한 죄,2121,2073,2188,2471,2907,3571,4104,4649,4799,5245,6267,7268,9190,12274,14301,16124,13464
형법범,기타형법범,비밀침해죄,5,6,7,5,4,8,11,6,9,5,20,21,32,23,32,38,37
형법범,기타형법범,주거침입의 죄,1031,895,1267,1248,1523,1790,1908,1887,1836,2051,1866,2103,3998,4822,5602,5783,5515
형법범,기타형법범,권리행사를 방해하는 죄,1894,2056,2277,2591,3700,3968,3120,2869,3537,3310,2912,3084,3576,3289,3055,3495,3090
형법범,기타형법범,인질강요,-,-,-,1,-,-,-,1,2,-,3,-,1,-,3,-,-
형법범,기타형법범,인질상해(치상),-,-,-,-,-,2,-,-,-,-,-,4,1,1,-,-,1
형법범,기타형법범,인질살해(치사),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,기타,-,-,-,-,-,-,-,-,-,-,63,68,61,299,345,10,12
특별법범,소계,소계,841425,832342,874633,983318,1078998,964506,966437,1058114,1078666,1067688,1165048,942275,900350,1007886,1178066,1039884,850114
특별법범,소계,가정의례에 관한 법률,552,294,70,98,50,65,11,1,-,-,-,-,-,-,-,-,-
특별법범,소계,건설기계관리법,916,8,7,-,-,-,-,-,-,-,-,-,-,-,1428,895,658
특별법범,소계,건설산업기본법,-,-,-,-,-,-,-,-,-,-,261,369,228,175,210,265,521
특별법범,소계,건설업법,500,584,432,254,78,27,12,3,2,-,-,-,-,-,-,-,-
특별법범,소계,건설폐기물의재활용 촉진에관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370
특별법범,소계,건축법,9791,9222,7674,7791,6947,6513,6437,6869,8118,8157,8405,5174,4983,4418,4806,5014,4301
특별법범,소계,게임산업진흥에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,1134,24590,17398,17085,10572
특별법범,소계,경범죄처벌법,92,77,63,97,96,35,33,65,43,56,73,78,118,101,182,226,182
특별법범,소계,경찰공무원법,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
특별법범,소계,경찰관직무집행법,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,계량법,39,1,-,1,2,4,2,1,2,2,-,-,-,-,-,-,-
특별법범,소계,계량에 관한 법률,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
특별법범,소계,고압가스안전관리법,54,70,106,53,31,99,71,61,78,71,59,67,45,65,63,29,53
특별법범,소계,골재채취법,56,72,75,77,84,136,117,109,127,1536,1008,772,84,179,97,80,85
특별법범,소계,공공기관의 개인정보보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,35,54,51,96,121,69,89
특별법범,소계,공연법,16,19,20,20,6,6,8,11,9,6,-,7,1,2,3,1,4
특별법범,소계,공유수면관리법,-,-,-,-,-,-,-,-,-,-,1347,923,351,1348,465,1288,1449
특별법범,소계,공중위생관리법,-,-,-,-,-,-,-,-,-,-,506,285,430,458,429,355,425
특별법범,소계,공중위생법,2363,3533,3380,3659,5659,2672,204,128,92,125,-,-,-,-,-,-,-
