죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,소계,중기관리법,-,-,-,3,2,2,-,-,-,1,-,-,-,-,-,-,-
특별법범,소계,증권거래법,-,-,-,-,-,-,-,-,-,-,44,44,33,34,48,41,13
특별법범,소계,지방세법,-,-,-,-,-,-,-,-,-,-,713,499,427,368,137,18,7
특별법범,소계,지방의회의원선거법,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,지방자치단체의장선거법,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,지하수법,-,-,-,-,-,-,-,-,-,-,42,38,18,15,11,22,13
특별법범,소계,직업안정 및 고용촉진에 관한 법률,199,17,7,8,2,2,1,2,1,1,-,-,-,-,-,-,-
특별법범,소계,직업안정법,233,453,1083,853,971,892,864,1001,1023,826,2001,1186,2497,1305,948,1531,748
특별법범,소계,집회 및 시위에 관한 법률,279,207,3388,1193,1016,1128,663,645,600,537,532,723,689,603,894,705,413
특별법범,소계,철도법,24,27,13,69,23,24,48,100,257,602,1089,433,15,2,5,1,-
특별법범,소계,철도안전법,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
특별법범,소계,청소년보호법,-,-,-,5697,15165,19281,19223,17101,15373,11498,9731,6690,6227,8689,8446,8307,8219
특별법범,소계,청소년성보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,2867,1843,1616,1737,2150,2314,1529
특별법범,소계,총포·도검·화약류단속법,836,509,624,539,464,531,626,759,668,1038,603,458,373,627,470,971,636
특별법범,소계,축산물가공처리법,-,-,-,-,-,-,-,-,-,-,1144,1517,751,515,565,450,367
특별법범,소계,축산물위생처리법,237,141,225,258,130,16,9,1,3,-,-,-,-,-,-,-,-
특별법범,소계,출입국관리법,13,29,49,143,289,247,262,359,298,296,457,1302,1699,1526,2632,2727,2493
특별법범,소계,컴퓨터프로그램보호법,9,19,17,582,100,1421,874,1610,1408,448,1494,771,1352,1508,2543,1720,34
특별법범,소계,토양환경보전법,-,-,-,-,-,-,-,-,-,-,5,5,10,3,7,6,4
특별법범,소계,토지수용법,-,-,9,5,1,3,-,5,2,3,-,-,-,-,-,-,-
특별법범,소계,통신비밀보호법,-,-,-,-,-,-,-,-,-,-,43,102,70,57,56,62,59
특별법범,소계,특가법(관세),8,2,-,-,2,-,3,-,2,1,7,1,1,4,10,1,-
특별법범,소계,특가법(국고손실),1,-,-,1,-,-,-,3,-,-,1,219,2,-,1,2,1
특별법범,소계,특가법(도주차량),10500,12367,17870,18236,19911,19191,21785,19083,17404,19950,15324,14473,15412,14613,13258,13693,13771
특별법범,소계,특가법(마약),1,1,2,1,-,-,-,-,30,6,-,-,-,-,1,1,-
특별법범,소계,특가법(범죄단체조직),14,1,1,1,1,14,9,5,7,1,7,18,5,6,-,5,-
특별법범,소계,특가법(보복범죄등),26,27,28,25,40,57,94,76,71,51,65,63,71,86,87,139,124
특별법범,소계,특가법(산림),11,5,1,2,1,3,7,21,9,21,13,23,59,19,26,31,11
특별법범,소계,특가법(외국인을 위한 재산취득),-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
특별법범,소계,특가법(위험운전치사상),-,-,-,-,-,-,-,-,-,-,-,-,-,-,7344,8408,8849
특별법범,소계,특가법(조세),-,2,-,1,1,11,7,15,9,14,13,18,28,42,65,116,188
특별법범,소계,특가법(향정),-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1
특별법범,소계,특경법(무인가단기금융업),2,-,-,-,-,-,1,-,1,-,1,-,-,-,1,-,-
특별법범,소계,특경법(보고의무),-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-
특별법범,소계,특경법(사금융알선등),3,-,1,-,1,2,1,2,4,2,13,10,7,13,11,11,8
특별법범,소계,특경법(재산국외도피),3,1,3,2,1,1,61,2,-,1,-,3,1,-,1,3,3
특별법범,소계,특경법(저축관련부당행위),-,1,-,-,2,-,1,-,-,1,-,1,-,-,-,-,-
특별법범,소계,특허법,30,31,45,61,107,105,120,157,183,164,237,268,302,505,300,382,262
특별법범,소계,폐기물관리법,953,1283,1632,3864,4290,1561,4368,4025,2168,2764,1159,1368,4885,2385,1576,2185,463
특별법범,소계,풍속영업의 규제에 관한 법률,11416,8917,10273,9449,15230,6412,907,1174,844,728,578,256,117,106,86,175,96
특별법범,소계,하수도법,4,6,12,10,6,20,2,2,7,3,4,2,3,9,86,79,64
특별법범,소계,하천법,226,187,197,200,155,147,176,223,204,184,157,171,155,125,124,144,126
특별법범,소계,학교보건법,-,-,-,-,-,-,-,-,-,-,412,1087,849,517,404,255,189
특별법범,소계,학원의설립·운영 및 과외교섭에 관한법률,-,-,-,-,-,-,-,-,-,-,247,276,182,239,436,3600,2341
특별법범,소계,학원의설립·운영에관한법률,565,279,234,243,366,545,240,98,27,29,-,-,-,-,-,-,-
특별법범,소계,항만운송사업법,-,-,-,-,-,-,-,-,-,-,95,339,215,1343,1543,1154,28
특별법범,소계,해양오염방지법,354,340,490,1058,1312,1689,1469,1722,1160,995,874,978,2155,2104,-,-,-
특별법범,소계,해양환경관리법,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1392,655,1599
특별법범,소계,향정신성의 약품관리법,458,779,837,1126,2231,2930,2456,2843,3202,1869,-,-,-,-,-,-,-
특별법범,소계,향토예비군설치법,41086,34886,33087,35114,30763,21190,18860,23780,25115,25371,25913,18514,18790,17025,14874,14672,11219
특별법범,소계,형사소송법,11,6,4,13,7,10,3,8,19,10,-,-,-,-,-,-,-
특별법범,소계,형시효등에 관한 법률,-,-,-,-,2,-,-,11,-,-,-,-,-,-,-,-,-
특별법범,소계,형의실효등에 관한 법률,1,2,3,1,-,2,1,-,4,2,-,4,3,-,-,-,-
특별법범,소계,화물자동차운수사업법,-,-,-,-,-,-,-,-,-,-,316,324,1244,525,1248,956,1403
특별법범,소계,화염병사용등의 처벌에 관한 법률,10,42,42,110,6,8,6,36,31,6,14,7,5,2,3,1,4
특별법범,소계,환경범죄의 단속에 관한 특별조치법,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,2
특별법범,소계,환경범죄의 처벌에 관한 특별조치법,3,3,3,2,3,7,1,3,-,1,2,2,7,-,-,-,-
특별법범,소계,환경보전법,16,22,20,13,5,4,8,5,2,1,-,-,-,-,-,-,-
특별법범,소계,후천성면역결핍증예방법,-,-,-,2,1,-,-,-,4,1,1,1,4,-,-,-,-
특별법범,소계,기타특별법,13213,16894,17473,32240,45046,59552,102138,169727,239677,292883,15687,14175,16649,18605,26144,29980,24688
