대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,강간,유혹,463,327,343,391,424,414,324,268,252,269,344,293,304,314,444,476,838
형법범,강력범,강간,우발적,2123,1705,1767,1686,1900,2269,2196,2107,1954,2006,2527,2681,3208,3331,3760,3869,6147
형법범,강력범,강간,현실불만,24,18,16,19,18,21,29,18,14,11,22,10,24,31,50,48,78
형법범,강력범,강간,부주의,47,53,90,94,83,112,79,79,59,85,48,47,57,57,85,105,196
형법범,강력범,강간,기타,2755,2006,2353,2438,2694,2686,2597,2464,2320,2472,3186,3326,4122,4186,4021,4295,7411
형법범,강력범,방화,이욕,38,43,26,28,40,53,54,46,51,62,24,12,14,9,12,14,113
형법범,강력범,방화,사행심,3,5,11,2,3,2,2,-,2,-,3,3,4,-,8,5,4
형법범,강력범,방화,보복,47,37,35,50,57,54,55,63,38,59,65,69,64,49,1,1,1
형법범,강력범,방화,가정불화,103,82,83,94,87,132,129,145,135,135,155,123,121,128,79,46,94
형법범,강력범,방화,호기심,3,1,5,19,13,14,4,19,10,9,24,49,63,52,80,67,56
형법범,강력범,방화,유혹,1,-,-,1,1,1,5,3,1,1,5,5,1,-,7,4,2
형법범,강력범,방화,우발적,185,153,185,191,308,308,386,415,385,538,612,675,631,649,815,793,646
형법범,강력범,방화,현실불만,112,96,94,97,177,141,125,162,157,168,194,181,149,164,241,233,183
형법범,강력범,방화,부주의,13,16,17,22,31,29,18,21,23,12,20,18,11,24,23,31,15
형법범,강력범,방화,기타,182,163,229,243,425,284,309,346,333,433,444,481,428,483,442,482,340
형법범,절도범,소계,이욕,22267,20148,19751,20335,28156,27224,26733,24623,25769,23964,12746,13015,13012,15196,17350,21761,36131
형법범,절도범,소계,사행심,1002,859,854,944,974,887,915,822,623,512,1225,1510,1659,1618,2078,3424,10
형법범,절도범,소계,보복,107,88,71,86,112,116,95,98,91,95,97,107,111,118,7,24,2023
형법범,절도범,소계,가정불화,101,90,57,45,65,82,69,67,74,61,78,90,102,95,56,57,75
형법범,절도범,소계,호기심,6020,7301,7701,8924,9011,6187,6641,5003,6226,6061,7232,8563,9763,10952,9430,9420,8058
형법범,절도범,소계,유혹,1033,856,873,1290,1648,1416,1479,1160,1474,1229,1557,1623,2128,2753,3528,4776,3207
형법범,절도범,소계,우발적,7674,7777,7552,7479,9953,9492,9894,9555,9521,9843,13051,14782,18000,22798,27783,41186,34070
형법범,절도범,소계,현실불만,225,173,239,263,226,192,195,163,167,203,214,254,329,403,541,809,567
형법범,절도범,소계,부주의,463,624,707,851,1057,1167,1057,871,895,1102,579,706,803,1015,1550,2103,2144
