대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,게임산업진흥에 관한 법률,소계,현실불만,,,,,,,,,,,,,,8,9,21,5
특별법범,게임산업진흥에 관한 법률,소계,부주의,,,,,,,,,,,,,78,1323,1513,1863,1278
특별법범,게임산업진흥에 관한 법률,소계,기타,,,,,,,,,,,,,849,20313,15564,17543,8775
특별법범,경범죄처벌법,소계,이욕,9,10,6,10,23,1,7,2,10,7,1,3,6,,6,5,33
특별법범,경범죄처벌법,소계,사행심,,,,1,,,1,,,,,,,,,,
특별법범,경범죄처벌법,소계,보복,1,1,,2,2,,1,1,,,,1,,,1,,
특별법범,경범죄처벌법,소계,가정불화,,,,,,,1,1,,,,1,,1,,,
특별법범,경범죄처벌법,소계,호기심,3,4,2,,2,1,,,,,,,1,,1,,1
특별법범,경범죄처벌법,소계,유혹,1,,1,,,,,1,,,,,,,,,
특별법범,경범죄처벌법,소계,우발적,18,21,14,12,15,2,3,8,8,4,6,6,10,12,39,25,27
특별법범,경범죄처벌법,소계,현실불만,1,,1,6,3,,1,2,,2,1,,2,2,2,9,8
특별법범,경범죄처벌법,소계,부주의,1,2,4,5,2,,2,4,1,3,1,2,3,7,4,11,11
특별법범,경범죄처벌법,소계,기타,52,45,42,65,53,27,26,37,28,38,56,59,104,92,137,180,124
특별법범,경찰관직무집행법,소계,계,,,,,,1,,,,,,,,,,,
특별법범,경찰관직무집행법,소계,우발적,,,,,,1,,,,,,,,,,,
특별법범,계량법,소계,이욕,12,,,,,4,,,,,,,,,,,
특별법범,계량법,소계,사행심,1,,,,,,,,,,,,,,,,
특별법범,계량법,소계,우발적,1,,,,,1,,,,,,,,,,,
특별법범,계량법,소계,부주의,4,,,,,2,,,,,,,,,,,
특별법범,계량법,소계,기타,33,2,1,1,1,5,1,,,2,,,,,,,
특별법범,계량에 관한 법률,소계,기타,,,,,,,,,,,,,,2,,,
특별법범,고압가스안전관리법,소계,이욕,11,16,14,11,5,9,10,15,10,10,3,4,2,6,3,1,24
특별법범,고압가스안전관리법,소계,사행심,,,,,,,,,1,,,,,,,1,
특별법범,고압가스안전관리법,소계,호기심,,,,1,,1,,,,,,,,,,,
특별법범,고압가스안전관리법,소계,우발적,,,1,1,,3,,,4,1,,,2,1,,2,
특별법범,고압가스안전관리법,소계,부주의,20,18,51,16,5,41,34,24,20,22,21,12,12,14,21,13,12
특별법범,고압가스안전관리법,소계,기타,24,48,65,40,24,66,48,42,55,52,50,62,38,59,61,18,42
특별법범,골재채취법,소계,이욕,23,22,30,43,32,20,19,18,11,80,57,41,12,10,9,8,41
특별법범,골재채취법,소계,사행심,,1,3,,2,,2,2,,2,9,3,1,,1,,
특별법범,골재채취법,소계,보복,,,,,,,,,,,,1,,,,,
특별법범,골재채취법,소계,호기심,,,7,5,,,,,,,1,,,,,,
특별법범,골재채취법,소계,유혹,,,,,,,,,1,,1,,,2,,,
특별법범,골재채취법,소계,우발적,1,2,1,,1,,,3,4,,,2,,8,2,2,
특별법범,골재채취법,소계,현실불만,,1,,,,,,,,,,,,,,,
특별법범,골재채취법,소계,부주의,5,18,4,8,9,10,16,11,14,8,13,17,10,17,29,18,23
특별법범,골재채취법,소계,기타,43,42,39,41,58,88,68,70,102,174,131,94,81,123,75,66,64
특별법범,공공기관의 개인정보보호에 관한 법률,소계,이욕,,,,,,,,,,,,1,,3,2,,36
특별법범,공공기관의 개인정보보호에 관한 법률,소계,사행심,,,,,,,,,,,,,3,,,,
특별법범,공공기관의 개인정보보호에 관한 법률,소계,가정불화,,,,,,,,,,,1,,,1,,,1
특별법범,공공기관의 개인정보보호에 관한 법률,소계,호기심,,,,,,,,,,,3,,,18,13,,3
특별법범,공공기관의 개인정보보호에 관한 법률,소계,유혹,,,,,,,,,,,1,1,2,1,,,
특별법범,공공기관의 개인정보보호에 관한 법률,소계,우발적,,,,,,,,,,,2,,1,1,5,2,3
특별법범,공공기관의 개인정보보호에 관한 법률,소계,현실불만,,,,,,,,,,,1,1,,1,1,,2
특별법범,공공기관의 개인정보보호에 관한 법률,소계,부주의,,,,,,,,,,,1,4,7,9,14,12,14
특별법범,공공기관의 개인정보보호에 관한 법률,소계,기타,,,,,,,,,,,70,113,93,99,110,79,127
특별법범,공연법,소계,이욕,5,10,7,7,2,2,5,3,6,2,,2,,,,,
특별법범,공연법,소계,우발적,4,,,1,,,,,1,,,,,,,,
특별법범,공연법,소계,부주의,1,6,3,4,,4,2,5,1,1,,2,,,,,1
특별법범,공연법,소계,기타,10,10,11,19,4,3,4,6,5,3,,6,1,5,2,3,5
특별법범,공유수면관리법,소계,이욕,,,,,,,,,,,99,91,74,78,68,65,109
특별법범,공유수면관리법,소계,사행심,,,,,,,,,,,6,2,,4,3,7,
특별법범,공유수면관리법,소계,보복,,,,,,,,,,,,1,2,1,,,
특별법범,공유수면관리법,소계,가정불화,,,,,,,,,,,1,1,,,1,,
특별법범,공유수면관리법,소계,호기심,,,,,,,,,,,,,3,,1,,2
특별법범,공유수면관리법,소계,유혹,,,,,,,,,,,,,1,,,,
특별법범,공유수면관리법,소계,우발적,,,,,,,,,,,4,3,2,13,5,3,4
특별법범,공유수면관리법,소계,현실불만,,,,,,,,,,,,,1,,1,,
특별법범,공유수면관리법,소계,부주의,,,,,,,,,,,36,30,40,67,87,62,49
특별법범,공유수면관리법,소계,기타,,,,,,,,,,,194,256,228,393,248,180,167
특별법범,공중위생관리법,소계,이욕,,,,,,,,,,,106,58,63,79,67,62,173
특별법범,공중위생관리법,소계,사행심,,,,,,,,,,,4,1,2,,,1,
특별법범,공중위생관리법,소계,호기심,,,,,,,,,,,2,,2,,,1,
특별법범,공중위생관리법,소계,유혹,,,,,,,,,,,2,5,,1,1,,1
특별법범,공중위생관리법,소계,우발적,,,,,,,,,,,7,1,3,9,16,10,10
특별법범,공중위생관리법,소계,현실불만,,,,,,,,,,,,,1,,1,2,1
특별법범,공중위생관리법,소계,부주의,,,,,,,,,,,56,22,68,83,121,134,108
특별법범,공중위생관리법,소계,기타,,,,,,,,,,,389,168,308,358,321,223,227
특별법범,공중위생법,소계,이욕,1245,1820,1568,1777,2505,1331,66,54,44,35,,,,,,,
특별법범,공중위생법,소계,사행심,31,38,49,80,56,36,1,4,,1,,,,,,,
특별법범,공중위생법,소계,보복,,,2,,1,,1,,,,,,,,,,
특별법범,공중위생법,소계,호기심,3,7,17,29,25,5,1,2,1,,,,,,,,
특별법범,공중위생법,소계,유혹,2,15,4,15,53,12,,,,1,,,,,,,
특별법범,공중위생법,소계,우발적,27,49,58,76,124,59,4,,5,3,,,,,,,
특별법범,공중위생법,소계,현실불만,1,2,4,3,1,,1,,1,,,,,,,,
특별법범,공중위생법,소계,부주의,251,408,422,540,877,487,34,9,11,8,,,,,,,
특별법범,공중위생법,소계,기타,1094,1591,1698,1738,2699,1362,134,44,31,51,,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,이욕,,,,30,309,31,279,25,886,78,64,10,1,,,,
특별법범,공직선거 및 선거부정방지법,소계,사행심,,,,,26,,8,,4,,2,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,보복,,,,,5,,6,,16,,5,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,가정불화,,,,,,,,,1,,6,,1,,,,
특별법범,공직선거 및 선거부정방지법,소계,호기심,,,,1,16,2,4,,8,2,6,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,유혹,,,,,15,,7,1,44,3,8,1,,,,,
특별법범,공직선거 및 선거부정방지법,소계,우발적,,,,12,115,2,50,2,95,6,104,1,3,,,,
특별법범,공직선거 및 선거부정방지법,소계,현실불만,,,,15,13,,38,1,54,8,100,,,,,,
특별법범,공직선거 및 선거부정방지법,소계,부주의,,,,7,290,6,95,4,377,26,131,15,15,1,,,
특별법범,공직선거 및 선거부정방지법,소계,기타,,,,53,2184,205,1890,110,4022,441,2675,254,131,1,1,,2
특별법범,공직선거법,소계,이욕,,,,,,,,,,,,,19,5,474,11,1200
특별법범,공직선거법,소계,사행심,,,,,,,,,,,,,2,2,2,,
특별법범,공직선거법,소계,보복,,,,,,,,,,,,,7,2,,,2
특별법범,공직선거법,소계,가정불화,,,,,,,,,,,,,6,2,2,,
특별법범,공직선거법,소계,호기심,,,,,,,,,,,,,2,8,3,,8
특별법범,공직선거법,소계,유혹,,,,,,,,,,,,,28,,13,4,7
특별법범,공직선거법,소계,우발적,,,,,,,,,,,,,136,72,107,24,101
특별법범,공직선거법,소계,현실불만,,,,,,,,,,,,,44,74,68,5,26
특별법범,공직선거법,소계,부주의,,,,,,,,,,,,,237,26,189,24,255
특별법범,공직선거법,소계,기타,,,,,,,,,,,,,3461,623,2603,208,1545
특별법범,관세법,소계,이욕,14,10,21,1,12,9,1,,4,4,2,1,26,2,4,2,5
특별법범,관세법,소계,사행심,,,,,,,,,,,,1,1,9,,,
특별법범,관세법,소계,보복,,,,,,,,,,,,,,1,,,
특별법범,관세법,소계,호기심,,,1,,,,,,,,,,,,,,
특별법범,관세법,소계,유혹,,1,,,,,,,,,3,,1,1,,,
특별법범,관세법,소계,우발적,,,,,,,,,,,,,,,,1,
특별법범,관세법,소계,부주의,,,,,,,,,,,,,1,,2,,
특별법범,관세법,소계,기타,2,5,1,1,8,4,7,2,6,1,11,14,16,37,7,26,17
특별법범,교통사고처리특례법,소계,이욕,,,,,,,,,,,172,163,98,245,308,255,9108
특별법범,교통사고처리특례법,소계,사행심,,,,,,,,,,,144,126,193,179,130,126,9
특별법범,교통사고처리특례법,소계,보복,,,,,,,,,,,196,130,119,89,111,56,66
특별법범,교통사고처리특례법,소계,가정불화,,,,,,,,,,,41,47,35,27,24,15,20
특별법범,교통사고처리특례법,소계,호기심,,,,,,,,,,,134,84,120,153,167,158,118
특별법범,교통사고처리특례법,소계,유혹,,,,,,,,,,,98,140,146,224,176,138,119
특별법범,교통사고처리특례법,소계,우발적,,,,,,,,,,,4391,4927,5119,5811,5458,5784,5242
특별법범,교통사고처리특례법,소계,현실불만,,,,,,,,,,,32,34,26,36,30,24,28
특별법범,교통사고처리특례법,소계,부주의,,,,,,,,,,,122784,96333,91278,88379,78712,76614,73080
특별법범,교통사고처리특례법,소계,기타,,,,,,,,,,,89755,96461,104517,105492,109913,124865,117959
특별법범,교통사고특례법,소계,이욕,1080,1120,859,699,804,1093,974,1681,2417,3289,,,,,,,
특별법범,교통사고특례법,소계,사행심,16,16,19,15,22,11,10,7,10,13,,,,,,,
특별법범,교통사고특례법,소계,보복,2,4,8,1,3,2,2,2,5,1,,,,,,,
특별법범,교통사고특례법,소계,가정불화,8,1,3,5,4,11,6,6,7,4,,,,,,,
특별법범,교통사고특례법,소계,호기심,77,72,2120,3147,1070,152,218,589,418,149,,,,,,,
특별법범,교통사고특례법,소계,유혹,56,150,148,149,198,203,99,409,451,182,,,,,,,
특별법범,교통사고특례법,소계,우발적,13845,13650,10221,6388,6634,4393,4442,6580,6541,4019,,,,,,,
특별법범,교통사고특례법,소계,현실불만,183,192,199,130,141,268,304,258,171,217,,,,,,,
특별법범,교통사고특례법,소계,부주의,192001,188927,204360,192563,178839,203996,208869,181823,159554,156435,,,,,,,
특별법범,교통사고특례법,소계,기타,47878,34442,31816,29104,27365,34365,46126,48601,46182,51613,,,,,,,
특별법범,구국가보안법,소계,이욕,11,3,6,3,1,3,1,,,,,,,,,,
특별법범,구국가보안법,소계,현실불만,59,28,65,67,65,46,26,13,8,,,,,,,,
특별법범,구국가보안법,소계,부주의,,,,,,,,,,1,,,,,,,
특별법범,구국가보안법,소계,기타,30,15,24,24,20,11,10,4,2,1,,,,,,,
특별법범,국가보안법,소계,이욕,13,5,18,37,15,12,9,2,1,,,,1,,,,19
특별법범,국가보안법,소계,호기심,,,1,1,2,,,,,,1,,,,,1,
특별법범,국가보안법,소계,유혹,,,,1,1,,,,,,,,,,,,
특별법범,국가보안법,소계,우발적,1,2,3,3,1,,1,3,1,,,,,,,,
특별법범,국가보안법,소계,현실불만,233,140,208,348,238,141,44,22,13,19,38,11,10,12,14,10,10
특별법범,국가보안법,소계,부주의,,,1,1,,,,1,,,,,,,,,
특별법범,국가보안법,소계,기타,87,67,144,149,131,79,50,22,20,14,49,28,28,38,19,26,45
특별법범,국민건강보험법,소계,이욕,,,,,,,,,,,,1,,1,,9,7
특별법범,국민건강보험법,소계,우발적,,,,,,,,,,,,,,,,1,1
특별법범,국민건강보험법,소계,부주의,,,,,,,,,,,1,,1,4,2,8,2
특별법범,국민건강보험법,소계,기타,,,,,,,,,,,8,12,7,25,33,44,23
특별법범,국민연금법,소계,이욕,,,,,,,,,,,6,3,7,1,2,1,10
특별법범,국민연금법,소계,가정불화,,,,,,,,,,,1,,,,,,
특별법범,국민연금법,소계,우발적,,,,,,,,,,,1,2,,,,,1
특별법범,국민연금법,소계,현실불만,,,,,,,,,,,,,,1,,,
특별법범,국민연금법,소계,부주의,,,,,,,,,,,7,3,8,2,5,1,4
특별법범,국민연금법,소계,기타,,,,,,,,,,,168,78,82,33,33,26,23
특별법범,국토의계획 및 이용에 관한 법률,소계,이욕,,,,,,,,,,,72,118,87,60,71,69,340
특별법범,국토의계획 및 이용에 관한 법률,소계,사행심,,,,,,,,,,,,10,1,6,8,4,
특별법범,국토의계획 및 이용에 관한 법률,소계,보복,,,,,,,,,,,1,2,,2,2,,6
특별법범,국토의계획 및 이용에 관한 법률,소계,가정불화,,,,,,,,,,,1,1,,1,,1,
특별법범,국토의계획 및 이용에 관한 법률,소계,호기심,,,,,,,,,,,2,2,,,,,
특별법범,국토의계획 및 이용에 관한 법률,소계,유혹,,,,,,,,,,,1,1,2,,1,8,
특별법범,국토의계획 및 이용에 관한 법률,소계,우발적,,,,,,,,,,,12,22,22,11,26,20,19
특별법범,국토의계획 및 이용에 관한 법률,소계,현실불만,,,,,,,,,,,1,2,1,4,1,3,4
특별법범,국토의계획 및 이용에 관한 법률,소계,부주의,,,,,,,,,,,163,197,174,168,281,228,192
특별법범,국토의계획 및 이용에 관한 법률,소계,기타,,,,,,,,,,,1607,2644,1917,1791,1338,968,700
특별법범,국회의원 선거법,소계,기타,1,,1,,,,,,,,,,,,,,
특별법범,근로기준법,소계,이욕,3,7,4,10,11,61,34,35,15,9,1,3,2,1,1,2,9
특별법범,근로기준법,소계,사행심,,,,,,,1,,,,,,,,,,
특별법범,근로기준법,소계,우발적,,1,,1,,,2,1,,,1,,2,,,,1
특별법범,근로기준법,소계,현실불만,,,,,,,,,,,1,,,,,,
특별법범,근로기준법,소계,부주의,,2,1,6,4,27,13,21,6,5,1,,4,1,6,9,5
특별법범,근로기준법,소계,기타,4,13,25,19,21,108,44,40,49,20,24,37,35,34,34,41,29
특별법범,낚시어선업법,소계,이욕,,,,,,,,,,,107,102,72,50,55,61,77
특별법범,낚시어선업법,소계,사행심,,,,,,,,,,,33,2,,,11,1,
특별법범,낚시어선업법,소계,가정불화,,,,,,,,,,,,1,,,,,
특별법범,낚시어선업법,소계,호기심,,,,,,,,,,,,,,,1,1,
특별법범,낚시어선업법,소계,유혹,,,,,,,,,,,1,,2,10,,,1
특별법범,낚시어선업법,소계,우발적,,,,,,,,,,,1,13,8,3,3,2,4
특별법범,낚시어선업법,소계,부주의,,,,,,,,,,,31,52,44,27,24,29,33
특별법범,낚시어선업법,소계,기타,,,,,,,,,,,127,145,119,120,129,99,88
특별법범,내수면어업법,소계,이욕,,,,,,,,,,,8,31,26,22,27,21,29
특별법범,내수면어업법,소계,사행심,,,,,,,,,,,2,7,,,11,6,
특별법범,내수면어업법,소계,보복,,,,,,,,,,,,,,,,,1
특별법범,내수면어업법,소계,가정불화,,,,,,,,,,,,,,1,,,
특별법범,내수면어업법,소계,호기심,,,,,,,,,,,8,12,7,9,13,8,6
특별법범,내수면어업법,소계,유혹,,,,,,,,,,,1,3,2,4,7,1,1
특별법범,내수면어업법,소계,우발적,,,,,,,,,,,20,13,15,4,22,24,6
특별법범,내수면어업법,소계,부주의,,,,,,,,,,,21,13,15,12,28,49,17
특별법범,내수면어업법,소계,기타,,,,,,,,,,,206,184,174,183,205,197,70
특별법범,노동쟁의조정법,소계,이욕,18,,,,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,호기심,,,,3,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,현실불만,23,1,,,,,,,,,,,,,,,
특별법범,노동쟁의조정법,소계,기타,14,9,9,,,,,,,,,,,,,,
특별법범,노동조합 및 노동관계 조정법,소계,이욕,,,,,,,,,,,,,,,,,4
특별법범,노동조합 및 노동관계 조정법,소계,보복,,,,,,,,,,,,,,1,,,
특별법범,노동조합 및 노동관계 조정법,소계,우발적,,,,,,,,,,,,,1,,,,
특별법범,노동조합 및 노동관계 조정법,소계,현실불만,,,,,,,,,,,,23,2,,5,,
특별법범,노동조합 및 노동관계 조정법,소계,기타,,,,,,,,,,,,39,11,36,2,11,5
특별법범,농산물품질관리법,소계,이욕,,,,,,,,,,,83,34,7,8,54,39,13
특별법범,농산물품질관리법,소계,사행심,,,,,,,,,,,1,4,,,2,3,
특별법범,농산물품질관리법,소계,호기심,,,,,,,,,,,,,,1,,,
특별법범,농산물품질관리법,소계,유혹,,,,,,,,,,,1,2,1,,2,1,
특별법범,농산물품질관리법,소계,우발적,,,,,,,,,,,3,2,,,4,3,2
특별법범,농산물품질관리법,소계,부주의,,,,,,,,,,,23,8,10,1,34,58,14
특별법범,농산물품질관리법,소계,기타,,,,,,,,,,,257,105,52,44,135,96,49
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,이욕,45,1,24,8,12,34,115,48,9,242,12,9,5,2,2,13,61
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,사행심,1,1,,1,,,,,,,,,,,,,
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,보복,,,,,,,,,,,1,1,,,,,
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,유혹,,,,,,,,,,,1,,,,,,
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,우발적,,,,,1,1,1,,1,,4,,3,,,3,
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,부주의,1,1,1,2,4,6,1,1,5,10,4,3,10,8,5,18,5
특별법범,농수산물 유통 및 가격안정에 관한 법률,소계,기타,15,2,12,44,63,8,119,84,59,309,85,111,58,34,117,57,47
특별법범,농지법,소계,이욕,,,,,,,,,,,64,55,64,89,67,35,169
특별법범,농지법,소계,사행심,,,,,,,,,,,2,2,3,1,7,7,
특별법범,농지법,소계,보복,,,,,,,,,,,1,3,,1,,,
특별법범,농지법,소계,가정불화,,,,,,,,,,,,1,,,,,1
특별법범,농지법,소계,호기심,,,,,,,,,,,2,,,,,1,
특별법범,농지법,소계,유혹,,,,,,,,,,,12,11,11,,1,2,2
특별법범,농지법,소계,우발적,,,,,,,,,,,3,15,10,15,21,15,5
특별법범,농지법,소계,현실불만,,,,,,,,,,,1,1,4,,1,,
특별법범,농지법,소계,부주의,,,,,,,,,,,147,145,140,129,157,177,120
특별법범,농지법,소계,기타,,,,,,,,,,,1351,1216,1373,1253,1017,744,583
특별법범,농지의 보전 및 이용에 관한 법률,소계,이욕,83,108,32,4,3,1,,1,,2,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,사행심,9,,1,,,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,가정불화,1,,,,,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,호기심,1,3,1,1,,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,우발적,1,7,,,,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,현실불만,,1,,,,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,부주의,76,99,32,4,1,,,,,,,,,,,,
특별법범,농지의 보전 및 이용에 관한 법률,소계,기타,578,480,136,34,24,6,2,1,,2,,,,,,,
특별법범,담배사업법,소계,이욕,,,,,,,,,,,81,135,442,285,112,153,106
특별법범,담배사업법,소계,사행심,,,,,,,,,,,3,5,4,5,7,8,
특별법범,담배사업법,소계,보복,,,,,,,,,,,,,2,,,,2
특별법범,담배사업법,소계,가정불화,,,,,,,,,,,2,2,,,1,10,
특별법범,담배사업법,소계,유혹,,,,,,,,,,,2,3,1,3,2,1,1
특별법범,담배사업법,소계,우발적,,,,,,,,,,,11,6,10,3,7,6,4
특별법범,담배사업법,소계,현실불만,,,,,,,,,,,,,,,,1,
특별법범,담배사업법,소계,부주의,,,,,,,,,,,39,24,55,30,37,86,21
특별법범,담배사업법,소계,기타,,,,,,,,,,,305,301,607,418,245,282,110
특별법범,대기환경보전법,소계,이욕,220,242,223,163,131,232,1067,820,652,365,101,102,60,113,35,73,172
특별법범,대기환경보전법,소계,사행심,3,4,1,2,2,1,5,,1,,1,,2,18,1,2,
특별법범,대기환경보전법,소계,보복,,,,,,,,,,,4,3,1,,,,1
특별법범,대기환경보전법,소계,가정불화,,,,,,,,,1,,2,,,,,,
특별법범,대기환경보전법,소계,호기심,1,,20,18,1,3,1,5,3,5,2,7,2,3,,2,
특별법범,대기환경보전법,소계,유혹,1,,2,2,,,,3,2,1,1,,1,2,3,2,
특별법범,대기환경보전법,소계,우발적,17,8,7,8,2,7,71,128,61,18,26,6,20,12,11,13,5
특별법범,대기환경보전법,소계,현실불만,3,,1,1,1,1,4,2,,1,1,1,,,,4,
특별법범,대기환경보전법,소계,부주의,238,260,249,216,230,233,559,560,489,385,426,181,166,147,192,160,131
특별법범,대기환경보전법,소계,기타,1023,867,793,766,677,794,2173,1952,2009,1571,1577,964,919,815,457,453,294
특별법범,대마관리법,소계,이욕,83,69,40,65,65,106,184,129,167,119,,,,,,,
특별법범,대마관리법,소계,사행심,6,4,4,1,1,2,7,1,1,,,,,,,,
특별법범,대마관리법,소계,보복,,,,,,1,,,,,,,,,,,
특별법범,대마관리법,소계,가정불화,4,3,1,4,5,5,1,2,4,2,,,,,,,
특별법범,대마관리법,소계,호기심,338,321,214,205,351,438,352,196,182,154,,,,,,,
특별법범,대마관리법,소계,유혹,66,89,43,62,114,212,198,149,188,239,,,,,,,
특별법범,대마관리법,소계,우발적,45,54,31,24,42,54,75,50,66,58,,,,,,,
특별법범,대마관리법,소계,현실불만,28,14,5,9,20,28,37,12,18,21,,,,,,,
특별법범,대마관리법,소계,부주의,5,17,9,28,16,26,50,41,41,34,,,,,,,
특별법범,대마관리법,소계,기타,416,290,249,266,345,552,531,403,635,524,,,,,,,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,이욕,,,,,,,,,,,270,159,123,1216,2146,4897,1666
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,사행심,,,,,,,,,,,6,3,4,74,137,353,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,보복,,,,,,,,,,,1,,1,4,,72,53
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,가정불화,,,,,,,,,,,,,,2,1,3,2
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,호기심,,,,,,,,,,,,,,4,5,14,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,유혹,,,,,,,,,,,3,1,,26,31,81,15
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,우발적,,,,,,,,,,,6,3,7,47,73,345,20
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,현실불만,,,,,,,,,,,7,,1,4,4,18,
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,부주의,,,,,,,,,,,23,16,16,91,208,817,93
특별법범,대부업의 등록 및 금융이용자보호에 관한 법률,소계,기타,,,,,,,,,,,931,550,669,3301,4583,10519,2106
특별법범,대통령 선거법,소계,현실불만,2,,,,,,,,,,,,,,,,
특별법범,대통령 선거법,소계,기타,2,3,,,,,,,,,,,,,,,
특별법범,도교법(교통사고),소계,이욕,6258,6094,6759,8463,10157,11116,6233,10547,7329,6476,,,,,,,
특별법범,도교법(교통사고),소계,사행심,288,102,158,278,215,126,76,36,23,30,,,,,,,
특별법범,도교법(교통사고),소계,보복,15,4,34,27,22,19,19,11,13,8,,,,,,,
특별법범,도교법(교통사고),소계,가정불화,74,69,77,69,96,116,148,80,48,60,,,,,,,
특별법범,도교법(교통사고),소계,호기심,1807,2670,5680,7181,4736,2307,1678,2192,1647,1983,,,,,,,
특별법범,도교법(교통사고),소계,유혹,777,1897,1971,2678,3074,3787,1089,2467,3510,1632,,,,,,,
특별법범,도교법(교통사고),소계,우발적,20806,27315,29284,44901,47745,31213,16212,19470,22298,13633,,,,,,,
특별법범,도교법(교통사고),소계,현실불만,281,363,638,541,746,691,500,429,569,545,,,,,,,
특별법범,도교법(교통사고),소계,부주의,107206,129672,157135,193716,195421,169229,171880,157641,141144,111285,,,,,,,
특별법범,도교법(교통사고),소계,기타,91880,98402,107792,172062,211279,179735,156028,184310,195081,169909,,,,,,,
특별법범,도로교통법(공동위험행위),소계,이욕,,,,,,,,,,,,,,,,1,73
특별법범,도로교통법(공동위험행위),소계,사행심,,,,,,,,,,,,,,,,1,
특별법범,도로교통법(공동위험행위),소계,호기심,,,,,,,,,,,,,,,68,97,125
특별법범,도로교통법(공동위험행위),소계,유혹,,,,,,,,,,,,,,,7,16,4
특별법범,도로교통법(공동위험행위),소계,우발적,,,,,,,,,,,,,,,60,87,47
특별법범,도로교통법(공동위험행위),소계,현실불만,,,,,,,,,,,,,,,5,4,8
특별법범,도로교통법(공동위험행위),소계,부주의,,,,,,,,,,,,,,,71,195,41
특별법범,도로교통법(공동위험행위),소계,기타,,,,,,,,,,,,,,,116,440,90
특별법범,도로교통법(교통사고),소계,이욕,,,,,,,,,,,154,275,132,235,253,138,2035
특별법범,도로교통법(교통사고),소계,사행심,,,,,,,,,,,44,75,67,54,51,30,106
특별법범,도로교통법(교통사고),소계,보복,,,,,,,,,,,54,68,45,40,68,28,19
특별법범,도로교통법(교통사고),소계,가정불화,,,,,,,,,,,36,53,26,23,16,7,3
특별법범,도로교통법(교통사고),소계,호기심,,,,,,,,,,,110,297,168,324,268,64,50
특별법범,도로교통법(교통사고),소계,유혹,,,,,,,,,,,115,346,193,227,162,52,61
특별법범,도로교통법(교통사고),소계,우발적,,,,,,,,,,,2898,4845,3511,3923,3488,1509,1256
특별법범,도로교통법(교통사고),소계,현실불만,,,,,,,,,,,25,57,23,41,24,13,6
특별법범,도로교통법(교통사고),소계,부주의,,,,,,,,,,,25417,28428,22916,22824,19428,8053,7652
특별법범,도로교통법(교통사고),소계,기타,,,,,,,,,,,25554,36987,31023,30789,26376,14434,10724
특별법범,도로교통법(무면허운전),소계,이욕,,,,,,,,,,,402,384,212,429,1139,779,8568
특별법범,도로교통법(무면허운전),소계,사행심,,,,,,,,,,,89,71,61,102,168,268,19
특별법범,도로교통법(무면허운전),소계,보복,,,,,,,,,,,185,81,72,123,725,253,129
특별법범,도로교통법(무면허운전),소계,가정불화,,,,,,,,,,,85,34,22,31,83,33,12
특별법범,도로교통법(무면허운전),소계,호기심,,,,,,,,,,,886,709,1104,1746,1623,1363,1185
특별법범,도로교통법(무면허운전),소계,유혹,,,,,,,,,,,720,428,351,788,1278,704,488
특별법범,도로교통법(무면허운전),소계,우발적,,,,,,,,,,,9581,7395,5754,10832,22638,15213,8455
특별법범,도로교통법(무면허운전),소계,현실불만,,,,,,,,,,,39,37,25,38,164,46,13
특별법범,도로교통법(무면허운전),소계,부주의,,,,,,,,,,,31711,20444,16609,28071,49236,31579,19308
특별법범,도로교통법(무면허운전),소계,기타,,,,,,,,,,,66971,49659,35778,49400,80753,49418,23213
특별법범,도로교통법(사고후미조치),소계,이욕,,,,,,,,,,,,,,,1,6,939
